Text
"Ranking IBO 2000 ( Turkey ) 
Naam  Land  Pract  Theory   Xu Wang  China  152,55  164,97  gold  
Dong -Hun Lee  Korea  149,05  164,64  gold  
Kuan -Chuan Tsou  Taiwan  150,12  160,42  gold  
Ye-Hyun Lee  Korea  150,00  151,13  gold  
Jia Yang  Taiwan  135,40  165,42  gold  
Hsiang -Chih Lu  Taiwan  148,80  149,43  gold  
Troung Quang Huy  Vietnam  133,95  159,43  gold  
Sun-Young Kim  Korea  130,55  162,20  gold  
Gleb Savelyev  Russian Fed.  143,36  144,07  gold  
Pavel Flegontov  Russian Fed.  143,30  143,57  gold  
Maxim Nemchinov  Belarus  125,05  159,35  gold  
Zhentao Song  China  145,75  135,28  gold  
Adriy Slo nchak  Ukraine  140,50  138,97  gold  
Timothy Nilson -Brown  Australia  124,05  155,92  gold  
Joon Sun Kim  Korea  125,35  152,52  gold  
Yusuf Özuysal  Turkey  120,50  156,37  gold  
Leonidas Apostolides  Germany  130,55  142,52  silver  
Olexandr Kostov  Ukraine  122,50  145,21  silver  
Tharathorn Rim chala  Thailand  122,50  150,56  silver  
Jiangbin Ye  China  131,45  140,59  silver  
Sathaporn Manee  Thailand  120,10  148,95  silver  
Tansel Sitki Tung  Turkey  97,00  171,13  silver  
Daniel Gilbourd  Australia  122,95  146,01  silver  
Vitaiiy Kuznetsov  Ukraine  116,15  146,01  silver  
Ying -Chun Lo  Taiwan  115,07  146,28  silver  
Negar Faramarzi  Iran 120,60  137,99  silver  
Pongsakom Titachote  Thailand  116,20  141,09  silver  
Liangliang Xu  China  115,55  139,04  silver  
Vasiliy Gavrilok  Russian Fed.  127,80  125,75  silver  
Eva Deinum  Netherlands  128,80  124,67  silver  
Rupert Edward Griffiths  United  Kingdom  116,95  137,29  silver  
Münir Akkaya  Turkey  95,85  159,30  silver  
Nurmuhammedov Üsenkanov  Kyrgyzstan  136,10  112,03  silver  
Alexandr Yanofsky  Belarus  127,38  121,26  silver  
Yerbol Kurmangaliyev  Kazakhstan  99,30  150,47  silver  
Soroosh Alberzi  Iran 97,55  152,28  silver  
Martin Fikacek  Czech Rep  146,75  98,83  silver  
Cafer Özdemir  Turkey  87,75  161,86  silver  
Sahajal Dohooria  India  114,00  133,75  silver  
Martin Hasemeyer  Germany  126,05  120,61  silver  
Silvester de Nooijer  Netherlands  103,90  143,87  silver  
Maria Barker  Australia  116,35  128,96  silver  
Alisher Aliyev  Uzbekis tan 111,32  133,89  silver  
Mariëlle Winarto  Netherlands  126,65  116,90  silver  
Elisa Duitz  Germany  130,02  113,09  silver  
Vera Kudrasheva  Belarus  125,10  117,74  silver  
Olga V. Lisochenko  Ukraine  122,50  119,11  bronze  
Oliver Tam  Australia  104,15  138,19  bronze  
Piotr Skrzypczyk  Poland  107,85  134,00  bronze  
Alina Korbut  Russian Fed.  101,45  140,63  bronze"
"Anton Nesveldin  Kazakhstan  94,75  145,09  bronze  
Joanna Mïerzynska  Poland  111,15  127,28  bronze  
Luchezar Atanassov  Bulgaria  110,35  127,55  bronze  
Jahongir Turgunov  Uzbekistan  112,25  122,12  bronze  
Pallawi Torka  India  106,70  128,00  bronze  
Ljudmila Nikolova  Bulgaria  109,75  122,69  bronze  
Kuanysh Yergalivey  Kazakhstan  113,80  117,07  bronze  
Miroslav Srba  Czech Rep.  151,80  75,07  bronze  
Rachanon Murathanun  Thailand  89,50  136,87  bronze  
Reza Behroozi  Iran 86,95  137,80  bronze  
Nayuta Brand  Switzerland  119,40  102,91  bronze  
Jakup Straka  Czech Rep.  151,80  65,94  bronze  
Sergey Pryhozhy  Belarus  70,90  151,18  bronze  
lulian Sorin Hostiuc  Romania  95,70  124,15  bronze  
Eugenio Fernando Fernandez  Argentina  106,07  112,89  bronze  
Roxana Sarbulescu  Romania  115,75  102,14  bronze  
Tomas James Welsh  United Kingdom  116,95  100,36  bronze  
Ashok Sekhar  India  96,50  121,38  bronze  
Tran Cong Tu  Vietnam  108,70  108,29  bronze  
Zillah Louise Boraston  United Kingdom  98,00  118,42  bronze  
Christopher Gordon Wilson  United Kingdom  107,45  102,71  bronze  
Klara Hoffmannova  Czech Rep.  129,25  78,84  bronze  
Artis Apinis  Latvia  113,20  93,78  bronze  
Emilio Nicolas Scarinci  Argentina  94,55  113,67  bronze  
Vanya Dimitrova  Bulgaria  99,75  107,65  bronze  
Pavol Biath  Slovak Rep.  126,10  78,91  bronze  
Katarina Darulova  Slovak Rep.  113,70  89,33  bronze  
Ayaz Necefov  Azerbaijan  120,85  81,50  bronze  
Ezequiel Juritz  Argenti na 102,60  99,95  bronze  
Danflel Bak  Poland  97,80  104,88  bronze  
Benjamin Lux  Germany  103,45  98,55  bronze  
Nancy Saucedo Fabela  Mexico  101,60  99,55  bronze  
Putri Dianita  Indonesia  103,70  97,02  bronze  
Aziz Ashirov  Uzbekistan  65,00  138,16  bronze  
Swati Pandey  India  83,45  117,65  bronze  
Peter Desmet  Belgium  134,30  63,22  bronze  
Merja Matilainen  Finland  100,20  96,33  bronze  
Irene Trevino Frenk  Mexico  98,30  98,17  bronze  
Zuzana Koledova  Slovak Rep.  111,60  81,73  bronze  
Yerokhin Maxim  Kazakhstan  101,00  92,14  bronze  
Brenda Parker  lreland  109,20  83,04  bronze  
Chary Corayev  Turkmenistan  106, 35 85,27   Askar Kerimaliyev  Kyrgyzstan  117,15  73,27   Matthias Wenger  Switzerland  106,70  83,27   Karin Gillenius  Sweden  97,72  92,65   Tomas Doyie  lreland  96,95  91,85   Nguyen Thi Thanh  Vietnam  101,25  85,83   Michiel Bouwhuis  Netherlands  93,50  94,11   Dastan Siyayer  Kyrgyzstan  99,05  88,07   Fernando Sorroche  Argentina  78,95  107,44   Baiba Pizica  Latvia  118,60  64,27   Elisa Lyyrtö  Finland  113,60  69,20"
"Sarah Picardo  lreland  102,05  80,95   Andreas Nilsson  Sweden  103,05  77,79   Daniel Wegmann  Switzerlan d 113,75  66,11   Pontus Forsberg  Sweden  74,10  107,74   Tomas Kadlec  Slovak Rep.  111,45  63,83   Ali Mjtahed  Iran 62,80  115,33   Fredrik Odeen  Sweden  103,67  71,50   Erkin Rehimov  Azerbaijan  77,60  99,19   Marie Manandise  Belgium  108,40  65,44   Dimitri Teperik  Estonia  89,20  85,13   Todor Yuriev  Bulgaria  91,85  82,28   Behzad Alimuhammedov  Uzbekistan  73,75  100,02   Cyrille Prestianni  Belgium  108,05  61,29   Marco Yasseft Coeto  Mexico  93,80  76,29   Johanne Kase  Estonia  91,15  78,62   Amngeldi Rahmanov  Turkmenistan  100,55  68,44   Marina Platonova  Latvia  103,20  65,47   Vlad Padurariu  Romania  78,20  91,80   Dorjderem Sukhrogchaa  Mongolia  113,75  53,76   Mihail Petrov  Estonia  88,80  80,43   Sofie Hoorelbeke  Belgium  99,35  69,08   Juris lvulans  Latvia  87,20  81,16   Rospita Di an Tobing  lndonesia  98,00  68,91   Nina Martilla  Finland  113,70  47,44   Raluca Popescu  Romania  80,05  78,24   Daniel Rigney  lreland  85,05  68,79   Ade Kurniawan  lndonesia  96,10  56,21   Rizvan lmamaliyev  Azerbaijan  76,70  76,68   Arttu Jolma  Finland  70,75  82,48   Krzysztof Domagata  Poland  84,10  65,52   Mikk Gashkov  Estonia  100,45  45,22   Orhan Cavadov  Azerbaijan  57,25  91,41   Nguyen Thi Phu  Vietnam  67,25  80,01   lhias M. Nazarov  Turkmenistan  84,50  56,73   Alfredo Meneses Matildes  Mexico  75,40  64,71   lulian Nico lae Bujoreanu  Moldova  67,00  67,30   Nyornen R. Dewi  lndonesia  79,60  51,53   Liviu Nicon Ungur  Moldova  58,68  73,28   Adrian Andrei Cretu  Moldova  76,00  54,41   Guvanach Ovezmuradov  Turkmenistan  46,75  84,81   Anarmaa Shatkhuu  Mongolia  68,50  56,03   Darya Tirt isnaya  Kyrgyzstan  75,70  42,95   Simone Hegner  Switzerland  70,85  46,89   Fatemah Ali  Kuwait  66,25  49,39   lgor Alexandru Movileanu  Moldova  67,00  47,32   Mohammed Alfeeli  Kuwait  46,50  62,22   Nomingeril Monkhcoz  Mongolia  46,75  60,16   Eilaf Al -Shamaly  Kuwait  26,60  24,55"
