Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Arben Kryemadhi,Albania,,43.00,7.17%,336/353,5.10%,,,,,,,,
2024,Rubin Bekteshi,Albania,,6.50,1.08%,347/353,1.98%,,,,,,,,
2024,Blendi Avdolli,Albania,,0.00,0.00%,350/353,1.13%,,,,,,,,
2012,Ledio Berdellima,Albania,,87,14.50%,220/310,29.35%,,,,,,,,
2012,Arnold Drita,Albania,,29,4.83%,284/310,8.71%,,,,,,,,
2012,Christ Ligori,Albania,,12,2.00%,292/310,6.13%,,,,,,,,
2012,Rushan Xhaja,Albania,,5,0.83%,299/310,3.87%,,,,,,,,
2011,Ledio Berdellima,Albania,,86,14.33%,249/303,18.15%,,,,,,,,
2011,Mikele Shtembari,Albania,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Teodor Rupi,Albania,,0,0.00%,287/303,5.61%,,,,,,,,
2010,Klevis Mino,Albania,225,27.44%,263/297,11.78%,,,,,,,,,
2010,Ledio Berdellima,Albania,225,27.44%,263/297,11.78%,,,,,,,,,
2010,Iris Fuli,Albania,,,,,,,,,,,,,
2009,Ertjon Mecka,Albania,,,,,,,,,,,,,
2009,Andrea Neco,Albania,,,,,,,,,,,,,
2009,Enis Ulqinaku,Albania,,,,,,,,,,,,,
2008,Ledion Dyrmishi,Albania,,,,,,,,,,,,,
2008,Ergys Ristani,Albania,,,,,,,,,,,,,
2007,Erand Smakaj,Albania,,,,,,,,,,,,,
2007,Rezart Veliaj,Albania,,,,,,,,,,,,,
2005,Endri Hysenaj,Albania,,,,,,,,,,,,,
2005,Vamis Xhagjika,Albania,,,,,,,,,,,,,
2005,Todian Mishtaku,Albania,,,,,,,,,,,,,
2004,Edmond Gjondrekaj,Albania,,,,,,,,,,,,,
2004,Pandush Simo,Albania,,,,,,,,,,,,,
2004,Todian Mishtaku,Albania,,,,,,,,,,,,,
2004,Erildo Zyka,Albania,,,,,,,,,,,,,
2003,Filjor Broka,Albania,,,,,,,,,,,,,
2003,Ariel Apostoli,Albania,,,,,,,,,,,,,
2002,Ariel Apostoli,Albania,,,,,,,,,,,,,
2001,Iriad Kumbuli,Albania,,,,,,,,,,,,,
2001,Ervin Hoxha,Albania,,,,,,,,,,,,,
2001,Klodian Lula,Albania,,,,,,,,,,,,,
2001,Ilir Maci,Albania,,,,,,,,,,,,,
2000,Ermal Toto,Albania,,,,,,,,,,,,,
2000,Mar en Ruka,Albania,,,,,,,,,,,,,
1999,Dritan Hashorva,Albania,,,,,,,,,,,,,
1999,Ermal Toto,Albania,,,,,,,,,,,,,
