Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2011,Arif Ismail Alrais,United Arab Emirates,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Rashed Haroon Saleh,United Arab Emirates,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Rashid Ali Abdulrahman,United Arab Emirates,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Sultan Abdullah Alshehhi,United Arab Emirates,,0,0.00%,287/303,5.61%,,,,,,,,
2010,Omran Alrawahi,United Arab Emirates,240,29.27%,261/297,12.46%,,,,,,,,,
2010,Husain Alshehhi,United Arab Emirates,205,25.00%,267/297,10.44%,,,,,,,,,
2010,Rashed AlJaberi,United Arab Emirates,87,10.61%,282/297,5.39%,,,,,,,,,
2010,Ahmed Saif,United Arab Emirates,,,,,,,,,,,,,
2009,Omar Khalifa Al Muhiri,United Arab Emirates,,,,,,,,,,,,,
2009,Hamad Jassem Alhelo,United Arab Emirates,,,,,,,,,,,,,
2009,Husain Ali Salem Aaloos,United Arab Emirates,,,,,,,,,,,,,
2009,Ahmed Fahed Abdulla Ali,United Arab Emirates,,,,,,,,,,,,,
2008,Omar Khalifa Al Muhiri,United Arab Emirates,,,,,,,,,,,,,
2008,Husain Ali Salem Aaloos,United Arab Emirates,,,,,,,,,,,,,
2008,Ahmed Saif,United Arab Emirates,,,,,,,,,,,,,
2008,Omar Alnaqbi,United Arab Emirates,,,,,,,,,,,,,
2006,Majed Matar,United Arab Emirates,,,,,,,,,,,,,
2006,Omar Mohammad Al Riamy,United Arab Emirates,,,,,,,,,,,,,
2006,Ammar Almarzouqi,United Arab Emirates,,,,,,,,,,,,,
2006,Khaled Aljabri,United Arab Emirates,,,,,,,,,,,,,
2005,Majed Matar,United Arab Emirates,,,,,,,,,,,,,
2005,Omar Mohammad Al Riamy,United Arab Emirates,,,,,,,,,,,,,
2005,Ahmad Febry,United Arab Emirates,,,,,,,,,,,,,
2005,Yousef Fahad,United Arab Emirates,,,,,,,,,,,,,
2004,Ahmad Al Zabi,United Arab Emirates,,,,,,,,,,,,,
2004,Ahmad Al-Ardi,United Arab Emirates,,,,,,,,,,,,,
2004,Mahmoud Adi,United Arab Emirates,,,,,,,,,,,,,
2004,Yousef Fahad,United Arab Emirates,,,,,,,,,,,,,
2003,Abdullah Almaydoor,United Arab Emirates,,,,,,,,,,,,,
2003,Abdalazez Almoheere,United Arab Emirates,,,,,,,,,,,,,
2003,Mahmoud Adi,United Arab Emirates,,,,,,,,,,,,,
2003,Ahmad Al Zabi,United Arab Emirates,,,,,,,,,,,,,
