Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Eduardo Carranza Vélez,Argentina,,286.70,47.78%,93/353,73.94%,Bronze,,,,,,,
2024,Bianca Vicente,Argentina,,250.13,41.69%,139/353,60.91%,Bronze,,,,,,,
2024,Fabrizio Lautaro Brandellero,Argentina,,86.50,14.42%,309/353,12.75%,,,,,,,,
2024,Juan José Läderach,Argentina,,68.81,11.47%,325/353,8.22%,,,,,,,,
2023,Julián Máximo Cabrera,Argentina,,110.0,18.33%,235/350,33.14%,Honourable Mention,,,,,,,
2023,Ariel Fideleff,Argentina,,93.0,15.50%,247/350,29.71%,,,,,,,,
2023,Bianca Vicente,Argentina,,74.0,12.33%,273/350,22.29%,,,,,,,,
2023,Eduardo Carranza Vélez,Argentina,,51.5,8.58%,292/350,16.86%,,,,,,,,
2022,Lucas Hernán Tarche,Argentina,,115.75,19.29%,211/349,39.83%,Honourable Mention,,,,,,,
2022,Ulises López Pacholczak,Argentina,,89.26,14.88%,243/349,30.66%,,,,,,,,
2022,Juan Ignacio Cantarella,Argentina,,21.00,3.50%,333/349,4.87%,,,,,,,,
2022,Jeremías Figueiredo Paschmann,Argentina,,18.00,3.00%,336/349,4.01%,,,,,,,,
2021,Lucas Hernán Tarche,Argentina,,174,29.00%,227/351,35.61%,,,,,,,,
2021,Matías Ezequiel Raimundez,Argentina,,174,29.00%,227/351,35.61%,,,,,,,,
2021,Ulises López Pacholczak,Argentina,,174,29.00%,227/351,35.61%,,,,,,,,
2021,Joaquín Pablo Cruz,Argentina,,163,27.17%,252/351,28.49%,,,,,,,,
2020,Sebastián Mestre,Argentina,,189.00,31.50%,215/343,37.61%,,,,,,,,
2020,Joaquín Pablo Cruz,Argentina,,123.32,20.55%,262/343,23.91%,,,,,,,,
2020,Ariel Fideleff,Argentina,,96.64,16.11%,281/343,18.37%,,,,,,,,
2020,Luis Andrés Aseguinolaza,Argentina,,66.00,11.00%,303/343,11.95%,,,,,,,,
2019,Carlos Miguel Soto,Argentina,,399.75,66.62%,35/327,89.60%,Silver,,,,,,,
2019,Lautaro Lasorsa,Argentina,,227.80,37.97%,190/327,42.20%,,,,,,,,
2019,Sebastián Mestre,Argentina,,137.00,22.83%,265/327,19.27%,,,,,,,,
2019,Laura Elena Massaccesi,Argentina,,78.00,13.00%,297/327,9.48%,,,,,,,,
