Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Gagik Gevorgyan,Armenia,,304.75,50.79%,76/353,78.75%,Silver,,,,,,,
2024,Tsovak Yegoryan,Armenia,,222.50,37.08%,174/353,50.99%,Bronze,,,,,,,
2024,Hakob Ayvazyan,Armenia,,215.47,35.91%,178/353,49.86%,Honourable Mention,,,,,,,
2024,Aleks Grigoryan,Armenia,,213.33,35.55%,180/353,49.29%,Honourable Mention,,,,,,,
2023,Tsovak Yegoryan,Armenia,,195.0,32.50%,125/350,64.57%,Bronze,,,,,,,
2023,Samvel Abelyan,Armenia,,190.0,31.67%,130/350,63.14%,Bronze,,,,,,,
2023,Gagik Gevorgyan,Armenia,,153.0,25.50%,175/350,50.29%,Bronze,,,,,,,
2023,Hamlet Petrosyan,Armenia,,31.0,5.17%,315/350,10.29%,,,,,,,,
2022,Arayi Khalatyan,Armenia,,232.19,38.70%,106/349,69.91%,Bronze,,,,,,,
2022,Hamlet Petrosyan,Armenia,,191.50,31.92%,132/349,62.46%,Bronze,,,,,,,
2022,Samvel Abelyan,Armenia,,76.50,12.75%,251/349,28.37%,,,,,,,,
2022,Gagik Gevorgyan,Armenia,,65.00,10.83%,263/349,24.93%,,,,,,,,
2021,Aleksandr Abelyan,Armenia,,289,48.17%,85/351,76.07%,Silver,,,,,,,
2021,Emil Kostanyan,Armenia,,271,45.17%,101/351,71.51%,Bronze,,,,,,,
2021,Arayi Khalatyan,Armenia,,206,34.33%,167/351,52.71%,Bronze,,,,,,,
2021,Ani Khachatryan,Armenia,,136,22.67%,290/351,17.66%,,,,,,,,
2020,Emil Kostanyan,Armenia,,377.38,62.90%,65/343,81.34%,Silver,,,,,,,
2020,Samvel Andreasyan,Armenia,,355.18,59.20%,76/343,78.13%,Silver,,,,,,,
2020,Arayi Khalatyan,Armenia,,332.07,55.34%,88/343,74.64%,Bronze,,,,,,,
2020,Aleksandr Abelyan,Armenia,,322.71,53.78%,94/343,72.89%,Bronze,,,,,,,
2018,Vahan Martirosyan,Armenia,,170,28.33%,185/335,45.07%,,,,,,,,
2018,Aleksandr Abelyan,Armenia,,147,24.50%,212/335,37.01%,,,,,,,,
2018,Alen Adamyan,Armenia,,75,12.50%,263/335,21.79%,,,,,,,,
2018,Gagik Magakyan,Armenia,,58,9.67%,279/335,17.01%,,,,,,,,
2017,Khazhak Galstyan,Armenia,,209.61,34.94%,106/304,65.46%,Bronze,,,,,,,
2017,Hamlet Mikaelyan,Armenia,,111.12,18.52%,185/304,39.47%,,,,,,,,
2017,Gagik Magakyan,Armenia,,82.70,13.78%,213/304,30.26%,,,,,,,,
2017,Vahan Martirosyan,Armenia,,59.89,9.98%,242/304,20.72%,,,,,,,,
2016,Mushegh Shahinyan,Armenia,,258,43.00%,131/308,57.79%,Bronze,,,,,,,
2016,Levon Muradyan,Armenia,,254,42.33%,138/308,55.52%,Bronze,,,,,,,
2016,Ashot Matevosyan,Armenia,,225,37.50%,162/308,47.73%,,,,,,,,
2016,Karen Mkrtumyan,Armenia,,155,25.83%,213/308,31.17%,,,,,,,,
2015,Albert Gevorgyan,Armenia,,314.24,52.37%,90/322,72.36%,Bronze,,,,,,,
2015,Mushegh Shahinyan,Armenia,,217.13,36.19%,144/322,55.59%,Bronze,,,,,,,
2015,Eduard Grigoryan,Armenia,,211.00,35.17%,146/322,54.97%,Bronze,,,,,,,
2015,Martin Mirakyan,Armenia,,90.23,15.04%,249/322,22.98%,,,,,,,,
2014,Eduard Grigoryan,Armenia,,398,66.33%,50/311,84.24%,Silver,,,,,,,
2014,Mushegh Shahinyan,Armenia,,338,56.33%,79/311,74.92%,Silver,,,,,,,
2014,Tigran Galstyan,Armenia,,296,49.33%,105/311,66.56%,Bronze,,,,,,,
2014,Sparik Hayrapetyan,Armenia,,228,38.00%,147/311,53.05%,Bronze,,,,,,,
2013,Albert Sahakyan,Armenia,,286,47.67%,116/299,61.54%,Bronze,,,,,,,
2013,Eduard Grigoryan,Armenia,,185,30.83%,173/299,42.47%,,,,,,,,
2013,Edgar Minasyan,Armenia,,103,17.17%,223/299,25.75%,,,,,,,,
2013,Karen Hambardzumyan,Armenia,,98,16.33%,227/299,24.41%,,,,,,,,
2012,Tigran Mamikonyan,Armenia,,184,30.67%,119/310,61.94%,Bronze,,,,,,,
2012,Hrayr Harutyunyan,Armenia,,162,27.00%,148/310,52.58%,Bronze,,,,,,,
2012,Robert Davtyan,Armenia,,137,22.83%,176/310,43.55%,,,,,,,,
2012,Armen Vardanyan,Armenia,,117,19.50%,196/310,37.10%,,,,,,,,
2011,Armen Vardanyan,Armenia,,294,49.00%,134/303,56.11%,Bronze,,,,,,,
2011,Tigran Mamikonyan,Armenia,,262,43.67%,159/303,47.85%,,,,,,,,
2011,Eduard Grigoryan,Armenia,,245,40.83%,174/303,42.90%,,,,,,,,
