Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2023,Evan Lin,Australia,,343.5,57.25%,26/350,92.86%,Gold,,,,,,,
2023,Jerry Zirui Li,Australia,,275.5,45.92%,55/350,84.57%,Silver,,,,,,,
2023,Miles Conway,Australia,,241.0,40.17%,75/350,78.86%,Silver,,,,,,,
2023,Arthur Wenqi Sun,Australia,,135.0,22.50%,204/350,42.00%,Honourable Mention,,,,,,,
2022,Jerry Zirui Li,Australia,,396.88,66.15%,33/349,90.83%,Silver,,,,,,,
2022,Arthur Wenqi Sun,Australia,,302.07,50.34%,63/349,82.23%,Silver,,,,,,,
2022,Joshua Chen,Australia,,298.00,49.67%,65/349,81.66%,Silver,,,,,,,
2022,Evan Lin,Australia,,288.25,48.04%,71/349,79.94%,Silver,,,,,,,
2021,James King,Australia,,275,45.83%,95/351,73.22%,Bronze,,,,,,,
2021,Evan Lin,Australia,,261,43.50%,108/351,69.52%,Bronze,,,,,,,
2021,Joshua Chen,Australia,,203,33.83%,170/351,51.85%,Bronze,,,,,,,
2021,Brynly Mitchell,Australia,,171,28.50%,240/351,31.91%,,,,,,,,
2020,Tunan Shi,Australia,,373.62,62.27%,69/343,80.17%,Silver,,,,,,,
2020,Quang Ong,Australia,,312.43,52.07%,102/343,70.55%,Bronze,,,,,,,
2020,Junhua Chen,Australia,,299.09,49.85%,118/343,65.89%,Bronze,,,,,,,
2020,Isaiah Iliffe,Australia,,243.25,40.54%,164/343,52.48%,Bronze,,,,,,,
2019,Angus Ritossa,Australia,,459.26,76.54%,9/327,97.55%,Gold,,,,,,,
2019,Timmy Yao,Australia,,331.54,55.26%,80/327,75.84%,Silver,,,,,,,
2019,Ryan Wang,Australia,,306.93,51.16%,100/327,69.72%,Bronze,,,,,,,
2019,Tunan Shi,Australia,,263.60,43.93%,150/327,54.43%,Bronze,,,,,,,
2018,Jerry Mao,Australia,,333,55.50%,31/335,91.04%,Silver,,,,,,,
2018,Albert Smith,Australia,,330,55.00%,32/335,90.75%,Silver,,,,,,,
2018,Angus Ritossa,Australia,,326,54.33%,33/335,90.45%,Silver,,,,,,,
2018,Jacob Smith,Australia,,102,17.00%,246/335,26.87%,,,,,,,,
2017,Richard Gong,Australia,,410.36,68.39%,10/304,97.04%,Gold,,,,,,,
2017,Jerry Mao,Australia,,369.24,61.54%,22/304,93.09%,Gold,,,,,,,
2017,Charles Jameson,Australia,,277.19,46.20%,60/304,80.59%,Silver,,,,,,,
2017,Angus Ritossa,Australia,,86.03,14.34%,209/304,31.58%,,,,,,,,
2016,Jerry Mao,Australia,,402,67.00%,33/308,89.61%,Silver,,,,,,,
2016,Declan McDonnell,Australia,,382,63.67%,41/308,87.01%,Silver,,,,,,,
2016,Richard Gong,Australia,,370,61.67%,48/308,84.74%,Silver,,,,,,,
2016,Belinda Shi,Australia,,245,40.83%,147/308,52.60%,Bronze,,,,,,,
2015,Ishraq Huda,Australia,,548.42,91.40%,5/322,98.76%,Gold,,,,,,,
2015,Michael Chen,Australia,,378.45,63.08%,53/322,83.85%,Silver,,,,,,,
2015,Jerry Mao,Australia,,310.55,51.76%,92/322,71.74%,Bronze,,,,,,,
2015,Declan McDonnell,Australia,,310.53,51.76%,93/322,71.43%,Bronze,,,,,,,
2014,Ishraq Huda,Australia,,600,100.00%,1/311,100.00%,Gold,,,,,,,
2014,Oliver Fisher,Australia,,530,88.33%,5/311,98.71%,Gold,,,,,,,
2014,Michael Chen,Australia,,435,72.50%,36/311,88.75%,Silver,,,,,,,
2014,Ray Li,Australia,,348,58.00%,73/311,76.85%,Silver,,,,,,,
2013,Ray Li,Australia,,479,79.83%,26/299,91.64%,Silver,,,,,,,
2013,James Payor,Australia,,433,72.17%,45/299,85.28%,Silver,,,,,,,
2013,Michael Chen,Australia,,413,68.83%,57/299,81.27%,Silver,,,,,,,
2013,Ishraq Huda,Australia,,313,52.17%,98/299,67.56%,Bronze,,,,,,,
2013,Joshua Lau,Australia 2,,318,53.00%,,,Bronze*,,,,,,,
2013,Nicholas Laver,Australia 2,,316,52.67%,,,Bronze*,,,,,,,
2013,Austin Tankiang,Australia 2,,215,35.83%,,,,,,,,,,
2013,Adrian Goldwaser,Australia 2,,140,23.33%,,,,,,,,,,
2012,Joshua Lau,Australia,,287,47.83%,47/310,85.16%,Silver,,,,,,,
2012,Michael Chen,Australia,,201,33.50%,100/310,68.06%,Bronze,,,,,,,
2012,Daniel Goldbach,Australia,,158,26.33%,154/310,50.65%,Bronze,,,,,,,
2012,Nicholas Laver,Australia,,139,23.17%,173/310,44.52%,,,,,,,,
2011,Evgeny Martynov,Australia,,377,62.83%,70/303,77.23%,Silver,,,,,,,
2011,Eliot Daniel Courtney,Australia,,326,54.33%,113/303,63.04%,Bronze,,,,,,,
2011,Robert Newey,Australia,,316,52.67%,117/303,61.72%,Bronze,,,,,,,
2011,Michael Chen,Australia,,308,51.33%,127/303,58.42%,Bronze,,,,,,,
2010,Evgeny Martynov,Australia,594,72.44%,104/297,65.32%,Bronze,,,,,,,,
2010,Luke Harrison,Australia,566,69.02%,124/297,58.59%,Bronze,,,,,,,,
2010,Robert Newey,Australia,514,62.68%,164/297,45.12%,,,,,,,,,
2010,Kenneth Kok Ming Wong,Australia,501,61.10%,172/297,42.42%,,,,,,,,,
2009,Evgeny Martynov,Australia,456,57.00%,95/301,68.77%,Bronze,,,,,,,,
2009,Daniel Berger,Australia,431,53.88%,113/301,62.79%,Bronze,,,,,,,,
2009,Kenneth Kok Ming Wong,Australia,417,52.12%,127/301,58.14%,Bronze,,,,,,,,
2009,David Tian,Australia,,,,,,,,,,,,,
2008,Jack Murray,Australia,,421,70.17%,9/283,97.17%,Gold,,,,,,,
2008,Harry Slatyer,Australia,,246,41.00%,60/283,79.15%,Silver,,,,,,,
2008,Jarrah Lacko,Australia,,243,40.50%,63/283,78.09%,Silver,,,,,,,
2008,Xi Chen,Australia,,127,21.17%,140/283,50.88%,Bronze,,,,,,,
2007,Chris Chen,Australia,,388,64.67%,24/285,91.93%,Gold,,,,,,,
2007,Jack Murray,Australia,,350,58.33%,37/285,87.37%,Silver,,,,,,,
2007,Angus McInnes,Australia,,262,43.67%,84/285,70.88%,Bronze,,,,,,,
2007,Alexander Mathews,Australia,,190,31.67%,140/285,51.23%,Bronze,,,,,,,
2006,Chris Chen,Australia,,414,69.00%,15/282,95.04%,Gold,,,,,,,
2006,Jarrah Lacko,Australia,,314,52.33%,75/282,73.76%,Silver,,,,,,,
2006,Alan Alpert,Australia,,,,,,,,,,,,,
2006,Jack Murray,Australia,,,,,,,,,,,,,
2005,Alexander Davies,Australia,,278,46.33%,135/276,51.45%,Bronze,,,,,,,
2005,Ramana Kumar,Australia,,,,,,,,,,,,,
2005,Chris Chen,Australia,,,,,,,,,,,,,
2005,Chris Leong,Australia,,,,,,,,,,,,,
2004,Christopher Butner,Australia,,,,,,,,,,,,,
2004,Giancarlo Salamanca,Australia,,,,,,,,,,,,,
2004,Patrick Coleman,Australia,,,,,,,,,,,,,
2004,Ramana Kumar,Australia,,,,,,,,,,,,,
2003,Giancarlo Salamanca,Australia,,218.9,36.48%,95/265,64.53%,Bronze,,,,,,,
2003,David Barr,Australia,,215.9,35.98%,97/265,63.77%,Bronze,,,,,,,
2003,Patrick Coleman,Australia,,213.1,35.52%,99/265,63.02%,Bronze,,,,,,,
2003,Alex Flint,Australia,,,,,,,,,,,,,
2002,David James Greenaway,Australia,,260,43.33%,42/276,85.14%,Silver,,,,,,,
2002,David Ananian-Cooper,Australia,,,,,,,,,,,,,
2002,Alex Flint,Australia,,,,,,,,,,,,,
2002,Clarence Dang,Australia,,,,,,,,,,,,,
2001,David Burburan,Australia,,254,42.33%,74/272,73.16%,Bronze,,,,,,,
2001,Adam Kerz,Australia,,216,36.00%,95/272,65.44%,Bronze,,,,,,,
2001,Cameron Patrick,Australia,,171,28.50%,119/272,56.62%,Bronze,,,,,,,
2001,Troy Cruickshank,Australia,,,,,,,,,,,,,
2000,Peter Hawkins,Australia,,353,50.43%,90/278,67.99%,Bronze,,,,,,,
2000,David James Greenaway,Australia,,297,42.43%,110/278,60.79%,Bronze,,,,,,,
2000,Min-Zhao Lee,Australia,,249,35.57%,137/278,51.08%,Bronze,,,,,,,
2000,David Liu,Australia,,,,,,,,,,,,,
1999,Peter Hawkins,Australia,,225,37.50%,69/253,73.12%,Bronze,,,,,,,
1999,Ka Shu Wong,Australia,,188,31.33%,96/253,62.45%,Bronze,,,,,,,
1999,David Cooper,Australia,,,,,,,,,,,,,
1999,Nigel Dahlenburg,Australia,,,,,,,,,,,,,
