Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Noé Zech,Belgium,,187.81,31.30%,213/353,39.94%,,,,,,,,
2024,Joaquim Schaeverbeke,Belgium,,172.50,28.75%,241/353,32.01%,,,,,,,,
2024,Alban Van Vyve,Belgium,,147.11,24.52%,263/353,25.78%,,,,,,,,
2024,Akram Zakine,Belgium,,110.85,18.48%,288/353,18.70%,,,,,,,,
2023,Zhiyi Luo,Belgium,,175.0,29.17%,150/350,57.43%,Bronze,,,,,,,
2023,Mikhail Skvortsov,Belgium,,58.0,9.67%,288/350,18.00%,,,,,,,,
2023,Alban Van Vyve,Belgium,,42.0,7.00%,310/350,11.71%,,,,,,,,
2023,Noé Zech,Belgium,,20.0,3.33%,330/350,6.00%,,,,,,,,
2022,Zhiyi Luo,Belgium,,205.00,34.17%,126/349,64.18%,Bronze,,,,,,,
2022,Pieterjan Vandecasteele,Belgium,,129.65,21.61%,195/349,44.41%,Honourable Mention,,,,,,,
2022,Petar Vitorac,Belgium,,120.00,20.00%,207/349,40.97%,,,,,,,,
2022,Vladislav Morozov,Belgium,,111.00,18.50%,217/349,38.11%,,,,,,,,
2021,Zhiyi Luo,Belgium,,203,33.83%,170/351,51.85%,Bronze,,,,,,,
2021,Vladislav Morozov,Belgium,,159,26.50%,258/351,26.78%,,,,,,,,
2021,Petar Vitorac,Belgium,,130,21.67%,299/351,15.10%,,,,,,,,
2021,Daniel Smolders,Belgium,,84,14.00%,330/351,6.27%,,,,,,,,
2020,Oscar Jocqué,Belgium,,360.24,60.04%,72/343,79.30%,Silver,,,,,,,
2020,Zhiyi Luo,Belgium,,168.32,28.05%,234/343,32.07%,,,,,,,,
2020,Jérôme Mayolet,Belgium,,85.00,14.17%,288/343,16.33%,,,,,,,,
2020,Petar Vitorac,Belgium,,71.00,11.83%,300/343,12.83%,,,,,,,,
2019,Oscar Jocqué,Belgium,,237.45,39.58%,172/327,47.71%,,,,,,,,
2019,Sebastian Weiermann,Belgium,,234.27,39.05%,176/327,46.48%,,,,,,,,
2019,Zhiyi Luo,Belgium,,203.68,33.95%,215/327,34.56%,,,,,,,,
2019,Jérôme Mayolet,Belgium,,152.00,25.33%,257/327,21.71%,,,,,,,,
2018,Arthur Massar,Belgium,,181,30.17%,172/335,48.96%,,,,,,,,
2018,Bruno Ploumhans,Belgium,,146,24.33%,216/335,35.82%,,,,,,,,
2018,Oscar Jocqué,Belgium,,116,19.33%,232/335,31.04%,,,,,,,,
2018,Sebastian Weiermann,Belgium,,114,19.00%,234/335,30.45%,,,,,,,,
2017,Bruno Ploumhans,Belgium,,173.41,28.90%,124/304,59.54%,Bronze,,,,,,,
2017,Arthur Massar,Belgium,,150.91,25.15%,141/304,53.95%,Bronze,,,,,,,
2017,Sebastian Weiermann,Belgium,,52.47,8.74%,255/304,16.45%,,,,,,,,
2017,Oscar Jocqué,Belgium,,48.00,8.00%,259/304,15.13%,,,,,,,,
2016,Damien Galant,Belgium,,278,46.33%,113/308,63.64%,Bronze,,,,,,,
2016,Corentin Simon,Belgium,,214,35.67%,168/308,45.78%,,,,,,,,
2016,Bruno Ploumhans,Belgium,,90,15.00%,257/308,16.88%,,,,,,,,
2016,Ruben Van Dijck,Belgium,,16,2.67%,300/308,2.92%,,,,,,,,
2015,Damien Galant,Belgium,,311.25,51.88%,91/322,72.05%,Bronze,,,,,,,
2015,Nico Ekkart,Belgium,,133.45,22.24%,203/322,37.27%,,,,,,,,
2015,Mattéo Couplet,Belgium,,115.41,19.23%,222/322,31.37%,,,,,,,,
2015,Robin Jadoul,Belgium,,79.56,13.26%,259/322,19.88%,,,,,,,,
2014,Damien Galant,Belgium,,174,29.00%,184/311,41.16%,,,,,,,,
2014,Jorik Jooken,Belgium,,101,16.83%,231/311,26.05%,,,,,,,,
2014,Damien Gonze,Belgium,,84,14.00%,248/311,20.58%,,,,,,,,
2014,Robbe Derks,Belgium,,78,13.00%,256/311,18.01%,,,,,,,,
2013,Floris Kint,Belgium,,290,48.33%,111/299,63.21%,Bronze,,,,,,,
2013,Victor Lecomte,Belgium,,264,44.00%,125/299,58.53%,Bronze,,,,,,,
2013,Simon Tihon,Belgium,,157,26.17%,186/299,38.13%,,,,,,,,
2013,Hannes Vandecasteele,Belgium,,136,22.67%,202/299,32.78%,,,,,,,,
2012,Floris Kint,Belgium,,237,39.50%,77/310,75.48%,Silver,,,,,,,
2012,Victor Lecomte,Belgium,,169,28.17%,143/310,54.19%,Bronze,,,,,,,
2012,Hannes Vandecasteele,Belgium,,61,10.17%,252/310,19.03%,,,,,,,,
2012,Benoît Vernier,Belgium,,60,10.00%,253/310,18.71%,,,,,,,,
2011,Benoit Legat,Belgium,,348,58.00%,97/303,68.32%,Bronze,,,,,,,
2011,Floris Kint,Belgium,,265,44.17%,153/303,49.83%,,,,,,,,
2011,Victor Lecomte,Belgium,,148,24.67%,229/303,24.75%,,,,,,,,
2011,Laurens Dewaele,Belgium,,69,11.50%,255/303,16.17%,,,,,,,,
2010,Benoit Legat,Belgium,459,55.98%,190/297,36.36%,,,,,,,,,
2010,Charles Hubain,Belgium,388,47.32%,220/297,26.26%,,,,,,,,,
2010,Guillaume Derval,Belgium,376,45.85%,228/297,23.57%,,,,,,,,,
2010,Joseph Lange,Belgium,303,36.95%,244/297,18.18%,,,,,,,,,
1992,Frederik De Vusser,Belgium,,195,97.50%,14/171,92.40%,Silver,,,,,,,
1992,Gilles Van Assche,Belgium,,125,62.50%,81/171,53.22%,Bronze,,,,,,,
1992,Frank Vandenberghen,Belgium,,,,,,,,,,,,,
