Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Debojoti Das Soumya,Bangladesh,,373.63,62.27%,25/353,93.20%,Gold,,,,,,,
2024,Jarif Rahman,Bangladesh,,242.19,40.37%,146/353,58.92%,Bronze,,,,,,,
2024,Akib Azmain Turja,Bangladesh,,217.97,36.33%,176/353,50.42%,Bronze,,,,,,,
2024,Desh Acharjee,Bangladesh,,160.00,26.67%,249/353,29.75%,,,,,,,,
2023,Debojoti Das Soumya,Bangladesh,,281.5,46.92%,47/350,86.86%,Silver,,,,,,,
2023,Farhan Ahmad,Bangladesh,,181.0,30.17%,144/350,59.14%,Bronze,,,,,,,
2023,Jarif Rahman,Bangladesh,,173.5,28.92%,154/350,56.29%,Bronze,,,,,,,
2023,Abrar Al Samit Araf,Bangladesh,,107.0,17.83%,240/350,31.71%,,,,,,,,
2022,Farhan Ahmad,Bangladesh,,308.96,51.49%,56/349,84.24%,Silver,,,,,,,
2022,Md Nafis Ul Haque Shifat,Bangladesh,,212.41,35.40%,121/349,65.62%,Bronze,,,,,,,
2022,Debojoti Das Soumya,Bangladesh,,211.51,35.25%,122/349,65.33%,Bronze,,,,,,,
2022,Jarif Rahman,Bangladesh,,109.72,18.29%,221/349,36.96%,Honourable Mention,,,,,,,
2021,Mamnoon Siam,Bangladesh,,302,50.33%,72/351,79.77%,Silver,,,,,,,
2021,Farhan Ahmad,Bangladesh,,297,49.50%,79/351,77.78%,Silver,,,,,,,
2021,Md Nafis Ul Haque Shifat,Bangladesh,,228,38.00%,138/351,60.97%,Bronze,,,,,,,
2021,Arman Ferdous,Bangladesh,,213,35.50%,155/351,56.13%,Bronze,,,,,,,
2020,Tasmeem Reza,Bangladesh,,328.00,54.67%,90/343,74.05%,Bronze,,,,,,,
2020,Rezwan Arefin,Bangladesh,,295.96,49.33%,120/343,65.31%,Bronze,,,,,,,
2020,Arman Ferdous,Bangladesh,,235.59,39.27%,171/343,50.44%,Bronze,,,,,,,
2020,Mamnoon Siam,Bangladesh,,192.55,32.09%,212/343,38.48%,,,,,,,,
2019,Rezwan Arefin,Bangladesh,,295.06,49.18%,114/327,65.44%,Bronze,,,,,,,
2019,Arman Ferdous,Bangladesh,,277.33,46.22%,135/327,59.02%,Bronze,,,,,,,
2019,Tasmeem Reza,Bangladesh,,252.65,42.11%,160/327,51.38%,Bronze,,,,,,,
2019,Mamnoon Siam,Bangladesh,,204.89,34.15%,212/327,35.47%,,,,,,,,
2018,Tasmeem Reza,Bangladesh,,303,50.50%,51/335,85.07%,Silver,,,,,,,
2018,Rezwan Arefin,Bangladesh,,205,34.17%,151/335,55.22%,Bronze,,,,,,,
2018,Mamnoon Siam,Bangladesh,,183,30.50%,170/335,49.55%,,,,,,,,
2018,Ruhan Habib,Bangladesh,,169,28.17%,186/335,44.78%,,,,,,,,
2017,Tasmeem Reza,Bangladesh,,237.03,39.51%,84/304,72.70%,Bronze,,,,,,,
2017,Jubayer Rahman,Bangladesh,,191.47,31.91%,113/304,63.16%,Bronze,,,,,,,
2017,Ruhan Habib,Bangladesh,,145.02,24.17%,146/304,52.30%,Bronze,,,,,,,
2017,Rubab Redwan Syed,Bangladesh,,138.43,23.07%,150/304,50.99%,Bronze,,,,,,,
2016,Rubab Redwan Syed,Bangladesh,,254,42.33%,138/308,55.52%,Bronze,,,,,,,
2016,Ruhan Habib,Bangladesh,,243,40.50%,149/308,51.95%,Bronze,,,,,,,
2016,Tasmeem Reza,Bangladesh,,237,39.50%,157/308,49.35%,,,,,,,,
2016,Jubayer Rahman,Bangladesh,,205,34.17%,178/308,42.53%,,,,,,,,
2015,Labib Md. Rashid,Bangladesh,,182.46,30.41%,165/322,49.07%,,,,,,,,
2015,Nur Muhammad Shafiullah,Bangladesh,,153.79,25.63%,183/322,43.48%,,,,,,,,
2015,Hasib Al Muhaimin,Bangladesh,,102.00,17.00%,235/322,27.33%,,,,,,,,
2015,Imran Hasan,Bangladesh,,90.00,15.00%,250/322,22.67%,,,,,,,,
2014,Bristy Sikder,Bangladesh,,216,36.00%,159/311,49.20%,,,,,,,,
2014,Labib Md. Rashid,Bangladesh,,202,33.67%,166/311,46.95%,,,,,,,,
2014,Hasib Al Muhaimin,Bangladesh,,167,27.83%,190/311,39.23%,,,,,,,,
2014,Tanmoy Mollik,Bangladesh,,89,14.83%,242/311,22.51%,,,,,,,,
2013,Dhananjoy Biswas,Bangladesh,,306,51.00%,104/299,65.55%,Bronze,,,,,,,
2013,Bristy Sikder,Bangladesh,,190,31.67%,171/299,43.14%,,,,,,,,
2013,Labib Md. Rashid,Bangladesh,,170,28.33%,181/299,39.80%,,,,,,,,
2013,Hasib Al Muhaimin,Bangladesh,,76,12.67%,240/299,20.07%,,,,,,,,
2012,Dhananjoy Biswas,Bangladesh,,219,36.50%,89/310,71.61%,Bronze,,,,,,,
2012,Bristy Sikder,Bangladesh,,169,28.17%,143/310,54.19%,Bronze,,,,,,,
2012,Md Nafis Sadique,Bangladesh,,124,20.67%,185/310,40.65%,,,,,,,,
2012,Nur Muhammad Shafiullah,Bangladesh,,116,19.33%,198/310,36.45%,,,,,,,,
2011,Fahim Zubayer,Bangladesh,,165,27.50%,223/303,26.73%,,,,,,,,
2011,Bristy Sikder,Bangladesh,,119,19.83%,241/303,20.79%,,,,,,,,
2010,Sakib Shafayat,Bangladesh,396,48.29%,212/297,28.96%,,,,,,,,,
2009,Mohammad Abirul Islam,Bangladesh,528,66.00%,58/301,81.06%,Silver,,,,,,,,
2008,Bushra Mahbub,Bangladesh,,,,,,,,,,,,,
2008,Mohammad Abirul Islam,Bangladesh,,,,,,,,,,,,,
2007,Iqram Mahmud,Bangladesh,,,,,,,,,,,,,
2006,Iqram Mahmud,Bangladesh,,,,,,,,,,,,,
2006,Tasnim Imran Sunny,Bangladesh,,,,,,,,,,,,,
2006,Tanvir Kaykobad,Bangladesh,,,,,,,,,,,,,
2005,Shahriar Rouf,Bangladesh,,,,,,,,,,,,,
2005,Khobaib Chowdhury,Bangladesh,,,,,,,,,,,,,
2005,Tanvir Kaykobad,Bangladesh,,,,,,,,,,,,,
2005,Md Mahbubul Hasan,Bangladesh,,,,,,,,,,,,,
