Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Daniel Koynov,Bulgaria,,353.61,58.94%,36/353,90.08%,Silver,,,,,,,
2024,Boris Mihov,Bulgaria,,344.17,57.36%,45/353,87.54%,Silver,,,,,,,
2024,Vesselin Markovich,Bulgaria,,319.71,53.28%,64/353,82.15%,Silver,,,,,,,
2024,Andrey Stefanov,Bulgaria,,289.31,48.22%,89/353,75.07%,Silver,,,,,,,
2023,Boris Mihov,Bulgaria,,224.0,37.33%,91/350,74.29%,Bronze,,,,,,,
2023,Aleksandar Gatev,Bulgaria,,217.5,36.25%,96/350,72.86%,Bronze,,,,,,,
2023,Atanas Dimitrov,Bulgaria,,169.0,28.17%,157/350,55.43%,Bronze,,,,,,,
2023,Vesselin Markovich,Bulgaria,,163.0,27.17%,165/350,53.14%,Bronze,,,,,,,
2022,Atanas Dimitrov,Bulgaria,,341.55,56.92%,47/349,86.82%,Silver,,,,,,,
2022,Deyan Hadzhi-Manich,Bulgaria,,280.51,46.75%,76/349,78.51%,Silver,,,,,,,
2022,Martin Kopchev,Bulgaria,,241.41,40.23%,99/349,71.92%,Bronze,,,,,,,
2022,Andon Todorov,Bulgaria,,235.25,39.21%,102/349,71.06%,Bronze,,,,,,,
2021,Martin Kopchev,Bulgaria,,339,56.50%,45/351,87.46%,Silver,,,,,,,
2021,Viktor Kozhuharov,Bulgaria,,328,54.67%,55/351,84.62%,Silver,,,,,,,
2021,Andon Todorov,Bulgaria,,317,52.83%,61/351,82.91%,Silver,,,,,,,
2021,Rumen Mihov,Bulgaria,,210,35.00%,158/351,55.27%,Bronze,,,,,,,
2020,Andon Todorov,Bulgaria,,455.00,75.83%,37/343,89.50%,Silver,,,,,,,
2020,Martin Kopchev,Bulgaria,,374.79,62.47%,68/343,80.47%,Silver,,,,,,,
2020,Georgi Petkov,Bulgaria,,354.39,59.06%,78/343,77.55%,Silver,,,,,,,
2020,Stoyan Malinin,Bulgaria,,224.96,37.49%,182/343,47.23%,,,,,,,,
2019,Radoslav Dimitrov,Bulgaria,,428.75,71.46%,21/327,93.88%,Gold,,,,,,,
2019,Aleksandar Krastev,Bulgaria,,373.96,62.33%,47/327,85.93%,Silver,,,,,,,
2019,Martin Kopchev,Bulgaria,,364.33,60.72%,54/327,83.79%,Silver,,,,,,,
2019,Viktor Kozhuharov,Bulgaria,,325.61,54.27%,86/327,74.01%,Bronze,,,,,,,
2018,Aleksandar Krastev,Bulgaria,,343,57.17%,24/335,93.13%,Gold,,,,,,,
2018,Radoslav Dimitrov,Bulgaria,,250,41.67%,107/335,68.36%,Bronze,,,,,,,
2018,Martin Kopchev,Bulgaria,,217,36.17%,138/335,59.10%,Bronze,,,,,,,
2018,Viktor Terziev,Bulgaria,,201,33.50%,159/335,52.84%,Bronze,,,,,,,
2017,Encho Mishinev,Bulgaria,,428.06,71.34%,7/304,98.03%,Gold,,,,,,,
2017,Viktor Terziev,Bulgaria,,172.57,28.76%,126/304,58.88%,Bronze,,,,,,,
2017,Radoslav Dimitrov,Bulgaria,,160.26,26.71%,135/304,55.92%,Bronze,,,,,,,
2017,Petar Nyagolov,Bulgaria,,148.04,24.67%,144/304,52.96%,Bronze,,,,,,,
