Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Faruk Ibrahimović,Bosnia and Herzegovina,,285.25,47.54%,98/353,72.52%,Bronze,,,,,,,
2024,Benjamin Mujkić,Bosnia and Herzegovina,,209.83,34.97%,185/353,47.88%,Honourable Mention,,,,,,,
2024,Adnan Osmić,Bosnia and Herzegovina,,176.33,29.39%,232/353,34.56%,,,,,,,,
2024,Faruk Demirović,Bosnia and Herzegovina,,163.81,27.30%,245/353,30.88%,Honourable Mention,,,,,,,
2023,Admir Zatega,Bosnia and Herzegovina,,144.0,24.00%,192/350,45.43%,Honourable Mention,,,,,,,
2023,Benjamin Mujkić,Bosnia and Herzegovina,,143.0,23.83%,195/350,44.57%,,,,,,,,
2023,Faruk Ibrahimović,Bosnia and Herzegovina,,105.0,17.50%,243/350,30.86%,,,,,,,,
2023,Alen Avdibegović,Bosnia and Herzegovina,,31.0,5.17%,315/350,10.29%,,,,,,,,
2022,Haris Imamovic,Bosnia and Herzegovina,,168.41,28.07%,157/349,55.30%,Bronze,,,,,,,
2022,Benjamin Mujkić,Bosnia and Herzegovina,,135.00,22.50%,188/349,46.42%,Honourable Mention,,,,,,,
2022,Faruk Ibrahimović,Bosnia and Herzegovina,,111.50,18.58%,216/349,38.40%,,,,,,,,
2022,Emira Ibrahimovic,Bosnia and Herzegovina,,33.35,5.56%,311/349,11.17%,,,,,,,,
2021,Benjamin Mujkić,Bosnia and Herzegovina,,199,33.17%,182/351,48.43%,,,,,,,,
2021,Admir Zatega,Bosnia and Herzegovina,,180,30.00%,221/351,37.32%,,,,,,,,
2021,Haris Imamovic,Bosnia and Herzegovina,,116,19.33%,312/351,11.40%,,,,,,,,
2021,Emira Ibrahimovic,Bosnia and Herzegovina,,101,16.83%,323/351,8.26%,,,,,,,,
2020,Haris Imamovic,Bosnia and Herzegovina,,270.32,45.05%,141/343,59.18%,Bronze,,,,,,,
2020,Admir Zatega,Bosnia and Herzegovina,,253.96,42.33%,152/343,55.98%,Bronze,,,,,,,
2020,Emira Ibrahimovic,Bosnia and Herzegovina,,70.00,11.67%,301/343,12.54%,,,,,,,,
2020,Alen Hodzic,Bosnia and Herzegovina,,32.00,5.33%,320/343,7.00%,,,,,,,,
2019,Admir Zatega,Bosnia and Herzegovina,,200.33,33.39%,218/327,33.64%,,,,,,,,
2019,Tarik Dzaka,Bosnia and Herzegovina,,130.39,21.73%,273/327,16.82%,,,,,,,,
2019,Haris Imamovic,Bosnia and Herzegovina,,116.80,19.47%,282/327,14.07%,,,,,,,,
2019,Hanka Goralija,Bosnia and Herzegovina,,37.00,6.17%,312/327,4.89%,,,,,,,,
2018,Muamer Parić,Bosnia and Herzegovina,,148,24.67%,211/335,37.31%,,,,,,,,
2018,Drago Šmitran,Bosnia and Herzegovina,,146,24.33%,216/335,35.82%,,,,,,,,
2018,Vladan Cvjetkovic,Bosnia and Herzegovina,,112,18.67%,236/335,29.85%,,,,,,,,
2018,Stevo Mitrić,Bosnia and Herzegovina,,54,9.00%,281/335,16.42%,,,,,,,,
2017,Azur Đonlagić,Bosnia and Herzegovina,,192.94,32.16%,112/304,63.49%,Bronze,,,,,,,
2017,Muamer Parić,Bosnia and Herzegovina,,74.65,12.44%,224/304,26.64%,,,,,,,,
2017,Nikola Novarlić,Bosnia and Herzegovina,,63.00,10.50%,237/304,22.37%,,,,,,,,
2017,Vladan Cvjetkovic,Bosnia and Herzegovina,,58.29,9.71%,244/304,20.07%,,,,,,,,
2016,Branko Fulurija,Bosnia and Herzegovina,,195,32.50%,188/308,39.29%,,,,,,,,
2016,Azur Đonlagić,Bosnia and Herzegovina,,137,22.83%,225/308,27.27%,,,,,,,,
