Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2021,Stanislau Damasevich,Belarus,,301,50.17%,75/351,78.92%,Silver,,,,,,,
2021,Andrei Kastsiany,Belarus,,277,46.17%,94/351,73.50%,Bronze,,,,,,,
2021,Dzianis Lahunou,Belarus,,263,43.83%,104/351,70.66%,Bronze,,,,,,,
2021,Ilya Kuchynski,Belarus,,209,34.83%,161/351,54.42%,Bronze,,,,,,,
2020,Andrei Mishchanka,Belarus,,345.32,57.55%,85/343,75.51%,Silver,,,,,,,
2020,Yaraslau Barysau,Belarus,,315.46,52.58%,98/343,71.72%,Bronze,,,,,,,
2020,Pavel Sankin,Belarus,,294.93,49.16%,121/343,65.01%,Bronze,,,,,,,
2020,Andrei Daletski,Belarus,,225.32,37.55%,180/343,47.81%,,,,,,,,
2019,Yaraslau Barysau,Belarus,,373.59,62.27%,48/327,85.63%,Silver,,,,,,,
2019,Siarhei Protski,Belarus,,342.28,57.05%,70/327,78.90%,Silver,,,,,,,
2019,Aliaksei Filinovich,Belarus,,288.82,48.14%,119/327,63.91%,Bronze,,,,,,,
2019,Kiryl Shyrma,Belarus,,263.36,43.89%,151/327,54.13%,Bronze,,,,,,,
2018,Aliaksandr Kernazhytski,Belarus,,430,71.67%,5/335,98.81%,Gold,,,,,,,
2018,Andrei Nekrashevich,Belarus,,359,59.83%,19/335,94.63%,Gold,,,,,,,
2018,Stanislau Tsitsianok,Belarus,,302,50.33%,54/335,84.18%,Silver,,,,,,,
2018,Mark Karneichyk,Belarus,,294,49.00%,60/335,82.39%,Silver,,,,,,,
2017,Artur Petukhouski,Belarus,,300.58,50.10%,42/304,86.51%,Silver,,,,,,,
2017,Aliaksandr Kernazhytski,Belarus,,286.29,47.72%,51/304,83.55%,Silver,,,,,,,
2017,Kiryl Hulin,Belarus,,248.85,41.48%,78/304,74.67%,Bronze,,,,,,,
2017,Fedar Karabeinikau,Belarus,,220.01,36.67%,101/304,67.11%,Bronze,,,,,,,
2016,Mikhail Natalevich,Belarus,,388,64.67%,40/308,87.34%,Silver,,,,,,,
