Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Gabriel Alberto Cruz Nogales,Bolivia,95.50,15.92%,298/353,15.86%,,,,,,,,,
2024,Shamir Leonardo Terán Mustafá,Bolivia,83.00,13.83%,313/353,11.61%,,,,,,,,,
2024,Agustin Leonardo Arnez Alcocer,Bolivia,51.00,8.50%,334/353,5.67%,,,,,,,,,
2024,Lin Ming Ou Xu,Bolivia,,,,,,,,,,,,,
2023,Gilberto Rodrigo Pierre Gosset Gonzales,Bolivia,84.0,14.00%,262/350,25.43%,,,,,,,,,
2023,Shamir Leonardo Terán Mustafá,Bolivia,44.0,7.33%,308/350,12.29%,,,,,,,,,
2023,Gabriel Alberto Cruz Nogales,Bolivia,27.0,4.50%,320/350,8.86%,,,,,,,,,
2023,Matias Jimenez Alcocer,Bolivia,9.0,1.50%,338/350,3.71%,,,,,,,,,
2022,Daner Zein Tonconi Mendoza,Bolivia,49.00,8.17%,285/349,18.62%,,,,,,,,,
2022,Alejandro Castro,Bolivia,36.00,6.00%,303/349,13.47%,,,,,,,,,
2022,Gilberto Rodrigo Pierre Gosset Gonzales,Bolivia,36.00,6.00%,303/349,13.47%,,,,,,,,,
2022,Shamir Leonardo Terán Mustafá,Bolivia,12.75,2.12%,342/349,2.29%,,,,,,,,,
2021,Nicolas Mateo Valdivia Viscarra,Bolivia,174,29.00%,227/351,35.61%,,,,,,,,,
2021,Marco Andrés Cusicanqui León,Bolivia,151,25.17%,274/351,22.22%,,,,,,,,,
2021,Daner Zein Tonconi Mendoza,Bolivia,128,21.33%,302/351,14.25%,,,,,,,,,
2021,Gilberto Rodrigo Pierre Gosset Gonzales,Bolivia,105,17.50%,321/351,8.83%,,,,,,,,,
2020,Nicolas Mateo Valdivia Viscarra,Bolivia,112.64,18.77%,266/343,22.74%,,,,,,,,,
2020,Daner Zein Tonconi Mendoza,Bolivia,89.00,14.83%,285/343,17.20%,,,,,,,,,
2020,Roger Danilo Enriquez Corrales,Bolivia,70.00,11.67%,301/343,12.54%,,,,,,,,,
2020,Jose Alberto Copas Lima,Bolivia,21.00,3.50%,330/343,4.08%,,,,,,,,,
2019,Daner Zein Tonconi Mendoza,Bolivia,78.00,13.00%,297/327,9.48%,,,,,,,,,
2019,Fabricio Javier Cabrera Gordillo,Bolivia,35.00,5.83%,315/327,3.98%,,,,,,,,,
2019,Roger Danilo Enriquez Corrales,Bolivia,32.00,5.33%,317/327,3.36%,,,,,,,,,
2018,Pablo Miguel Delgado Borda,Bolivia,62,10.33%,270/335,19.70%,,,,,,,,,
2018,Luis Javier Quispe Ramirez,Bolivia,47,7.83%,289/335,14.03%,,,,,,,,,
2018,Marcelo Leonardo Flores Zeballos,Bolivia,30,5.00%,306/335,8.96%,,,,,,,,,
2018,Roger Danilo Enriquez Corrales,Bolivia,10,1.67%,320/335,4.78%,,,,,,,,,
2017,Diego Alejandro Angulo Ramirez,Bolivia,67.50,11.25%,233/304,23.68%,,,,,,,,,
2017,Pablo Miguel Delgado Borda,Bolivia,33.00,5.50%,282/304,7.57%,,,,,,,,,
2017,Ronaldo Franco Jaldin,Bolivia,33.00,5.50%,282/304,7.57%,,,,,,,,,
2017,Luis Javier Quispe Ramirez,Bolivia,20.00,3.33%,294/304,3.62%,,,,,,,,,
2016,Miguel Angel Ortiz Merida,Bolivia,152,25.33%,220/308,28.90%,,,,,,,,,
2015,Miguel Angel Ortiz Merida,Bolivia,77.40,12.90%,261/322,19.25%,,,,,,,,,
2015,Diego Alejandro Angulo Ramirez,Bolivia,63.00,10.50%,276/322,14.60%,,,,,,,,,
2015,Marcelo Alejandro Zeballos Guzman,Bolivia,47.00,7.83%,290/322,10.25%,,,,,,,,,
2015,Ronaldo Franco Jaldin,Bolivia,17.00,2.83%,313/322,3.11%,,,,,,,,,
2014,Mauricio Wilde Monasterios,Bolivia,62,10.33%,272/311,12.86%,,,,,,,,,
2014,Javier Moises Vela Guzman,Bolivia,45,7.50%,283/311,9.32%,,,,,,,,,
2014,Isabella Stefany Defilippis Villarroel,Bolivia,31,5.17%,295/311,5.47%,,,,,,,,,
2014,Ronaldo Franco Jaldin,Bolivia,8,1.33%,305/311,2.25%,,,,,,,,,
2013,Mauricio Wilde Monasterios,Bolivia,58,9.67%,255/299,15.05%,,,,,,,,,
2013,Rodolfo Jesus Prieto Maldonado,Bolivia,40,6.67%,275/299,8.36%,,,,,,,,,
2013,Cesar Andres Quiroga Coronado,Bolivia,26,4.33%,284/299,5.35%,,,,,,,,,
2012,Alex Pizarro Jiménez,Bolivia,94,15.67%,213/310,31.61%,,,,,,,,,
2012,Diego Gabriel Nuñez Duran,Bolivia,45,7.50%,264/310,15.16%,,,,,,,,,
2012,Fabian Caihuara Sossa,Bolivia,34,5.67%,274/310,11.94%,,,,,,,,,
2012,Sergio Koller Vargas,Bolivia,34,5.67%,274/310,11.94%,,,,,,,,,
