Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Filipe Lalic,Brazil,,285.14,47.52%,99/353,72.24%,Bronze,,,,,,,
2024,Arthur Lobo Leite Lopes,Brazil,,257.64,42.94%,130/353,63.46%,Bronze,,,,,,,
2024,Pedro Suyama Leston Rey,Brazil,,230.85,38.48%,160/353,54.96%,Bronze,,,,,,,
2024,Maria Clara Fontes Silva,Brazil,,171.00,28.50%,242/353,31.73%,,,,,,,,
2023,Leonardo Valente Nascimento,Brazil,,264.0,44.00%,60/350,83.14%,Silver,,,,,,,
2023,Rafael Nascimento Soares,Brazil,,218.0,36.33%,94/350,73.43%,Bronze,,,,,,,
2023,Pedro Suyama Leston Rey,Brazil,,213.5,35.58%,103/350,70.86%,Bronze,,,,,,,
2023,Arthur Lobo Leite Lopes,Brazil,,208.5,34.75%,111/350,68.57%,Bronze,,,,,,,
2022,Leonardo Valente Nascimento,Brazil,,307.00,51.17%,57/349,83.95%,Silver,,,,,,,
2022,Rafael Nascimento Soares,Brazil,,270.61,45.10%,82/349,76.79%,Silver,,,,,,,
2022,Carolina Moura,Brazil,,265.27,44.21%,84/349,76.22%,Silver,,,,,,,
2022,Pedro Shinzato Chen,Brazil,,210.03,35.01%,124/349,64.76%,Bronze,,,,,,,
2021,Yan Matheus Tavares e Silva,Brazil,,302,50.33%,72/351,79.77%,Silver,,,,,,,
2021,Luiz Henrique Yuji Delgado Oda,Brazil,,301,50.17%,75/351,78.92%,Silver,,,,,,,
2021,Carolina Moura,Brazil,,286,47.67%,90/351,74.64%,Bronze,,,,,,,
2021,Pedro Shinzato Chen,Brazil,,252,42.00%,114/351,67.81%,Bronze,,,,,,,
2020,Carolina Moura,Brazil,,245.32,40.89%,162/343,53.06%,Bronze,,,,,,,
2020,Yan Matheus Tavares e Silva,Brazil,,242.97,40.49%,165/343,52.19%,Bronze,,,,,,,
2020,Willian Wang,Brazil,,230.32,38.39%,176/343,48.98%,,,,,,,,
2020,Igor Brito Andrade,Brazil,,188.00,31.33%,216/343,37.32%,,,,,,,,
2019,Frederico Bulhões de Souza Ribeiro,Brazil,,260.56,43.43%,154/327,53.21%,Bronze,,,,,,,
2019,Willian Wang,Brazil,,232.00,38.67%,181/327,44.95%,,,,,,,,
2019,Tiago Domingos Almeida Souza,Brazil,,220.34,36.72%,195/327,40.67%,,,,,,,,
2019,Pedro Lucas Lanaro Sponchiado,Brazil,,192.00,32.00%,228/327,30.58%,,,,,,,,
2018,Gabriel Simões,Brazil,,290,48.33%,69/335,79.70%,Silver,,,,,,,
2018,Ivan Carvalho,Brazil,,182,30.33%,171/335,49.25%,,,,,,,,
2018,Matheus Viana,Brazil,,152,25.33%,206/335,38.81%,,,,,,,,
2018,João Araújo,Brazil,,87,14.50%,254/335,24.48%,,,,,,,,
2017,Pedro Henrique Sacramento de Oliveira,Brazil,,360.92,60.15%,24/304,92.43%,Gold,,,,,,,
2017,Rogério Aristida Guimarães Junior,Brazil,,150.42,25.07%,142/304,53.62%,Bronze,,,,,,,
2017,Gabriel Simões,Brazil,,99.03,16.50%,197/304,35.53%,,,,,,,,
2017,William Kondo,Brazil,,91.00,15.17%,203/304,33.55%,,,,,,,,
2016,Rogério Aristida Guimarães Junior,Brazil,,330,55.00%,69/308,77.92%,Silver,,,,,,,
2016,Lucca Morais de Arruda Siaudzionis,Brazil,,328,54.67%,74/308,76.30%,Silver,,,,,,,
2016,Pedro Henrique Sacramento de Oliveira,Brazil,,138,23.00%,224/308,27.60%,,,,,,,,
2016,Carlos Vinícios Ferreira Santos,Brazil,,110,18.33%,244/308,21.10%,,,,,,,,
2015,Lucca Morais de Arruda Siaudzionis,Brazil,,251.13,41.85%,124/322,61.80%,Bronze,,,,,,,
2015,Arthur Pratti Dadalto,Brazil,,238.00,39.67%,135/322,58.39%,Bronze,,,,,,,
2015,Mateus Bezrutchka,Brazil,,185.11,30.85%,162/322,50.00%,,,,,,,,
2015,Murilo Corato Zanarella,Brazil,,165.00,27.50%,174/322,46.27%,,,,,,,,
2014,Arthur Ferreira do Nascimento,Brazil,,355,59.17%,68/311,78.46%,Silver,,,,,,,
2014,Mateus Bezrutchka,Brazil,,355,59.17%,68/311,78.46%,Silver,,,,,,,
