Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Bálint Rózsa,Canada,,423.64,70.61%,7/353,98.30%,Gold,,,,,,,
2024,Ryan Bai,Canada,,413.17,68.86%,12/353,96.88%,Gold,,,,,,,
2024,Daniel Ye,Canada,,187.70,31.28%,216/353,39.09%,Honourable Mention,,,,,,,
2024,Maxwell He,Canada,,159.00,26.50%,252/353,28.90%,,,,,,,,
2023,Ryan Bai,Canada,,391.0,65.17%,11/350,97.14%,Gold,,,,,,,
2023,Bálint Rózsa,Canada,,312.5,52.08%,35/350,90.29%,Silver,,,,,,,
2023,Warren Bei,Canada,,248.5,41.42%,67/350,81.14%,Silver,,,,,,,
2023,Mars Xiang,Canada,,216.0,36.00%,101/350,71.43%,Bronze,,,,,,,
2022,Zixiang Zhou,Canada,,532.00,88.67%,6/349,98.57%,Gold,,,,,,,
2022,Allen Pei,Canada,,394.89,65.81%,34/349,90.54%,Silver,,,,,,,
2022,Ryan Bai,Canada,,321.00,53.50%,51/349,85.67%,Silver,,,,,,,
2022,Edward Xiao,Canada,,256.14,42.69%,91/349,74.21%,Bronze,,,,,,,
2021,Zixiang Zhou,Canada,,470,78.33%,9/351,97.72%,Gold,,,,,,,
2021,Allen Pei,Canada,,357,59.50%,32/351,91.17%,Silver,,,,,,,
2021,Christopher Trevisan,Canada,,340,56.67%,44/351,87.75%,Silver,,,,,,,
2021,Thomas Guo,Canada,,262,43.67%,106/351,70.09%,Bronze,,,,,,,
2020,Thomas Guo,Canada,,506.94,84.49%,18/343,95.04%,Gold,,,,,,,
2020,Zixiang Zhou,Canada,,503.59,83.93%,20/343,94.46%,Gold,,,,,,,
2020,George Chen,Canada,,399.96,66.66%,56/343,83.97%,Silver,,,,,,,
2020,Christopher Trevisan,Canada,,345.94,57.66%,83/343,76.09%,Silver,,,,,,,
2019,Zixiang Zhou,Canada,,494.33,82.39%,3/327,99.39%,Gold,,,,,,,
2019,Victor Rong,Canada,,370.32,61.72%,51/327,84.71%,Silver,,,,,,,
2019,George Chen,Canada,,323.69,53.95%,88/327,73.39%,Bronze,,,,,,,
2019,Kevin Wan,Canada,,241.00,40.17%,171/327,48.01%,,,,,,,,
2018,Joey Yu,Canada,,336,56.00%,25/335,92.84%,Gold,,,,,,,
2018,Victor Rong,Canada,,310,51.67%,46/335,86.57%,Silver,,,,,,,
2018,Zixiang Zhou,Canada,,289,48.17%,70/335,79.40%,Silver,,,,,,,
2018,Ava Pun,Canada,,287,47.83%,72/335,78.81%,Silver,,,,,,,
2017,Jason Yuen,Canada,,399.68,66.61%,13/304,96.05%,Gold,,,,,,,
2017,Brian Chau,Canada,,385.54,64.26%,17/304,94.74%,Gold,,,,,,,
2017,Leo Feng,Canada,,180.99,30.16%,120/304,60.86%,Bronze,,,,,,,
2017,Joey Yu,Canada,,135.76,22.63%,153/304,50.00%,,,,,,,,
2016,Yikuan Li,Canada,,487,81.17%,7/308,98.05%,Gold,,,,,,,
2016,Kevin Sun,Canada,,413,68.83%,27/308,91.56%,Silver,,,,,,,
2016,Farbod Yadegarian,Canada,,301,50.17%,94/308,69.81%,Bronze,,,,,,,
2016,Jeffrey Xiao,Canada,,295,49.17%,102/308,67.21%,Bronze,,,,,,,
2015,Jacob Jackson,Canada,,506.45,84.41%,9/322,97.52%,Gold,,,,,,,
2015,Yikuan Li,Canada,,363.45,60.58%,61/322,81.37%,Silver,,,,,,,
2015,Yi Xiao Zhang,Canada,,247.55,41.26%,127/322,60.87%,Bronze,,,,,,,
2015,Farbod Yadegarian,Canada,,229.55,38.26%,141/322,56.52%,Bronze,,,,,,,
2014,Jacob Jackson,Canada,,476,79.33%,15/311,95.50%,Gold,,,,,,,
2014,Yikuan Li,Canada,,296,49.33%,105/311,66.56%,Bronze,,,,,,,
2014,Zihao Zhang,Canada,,264,44.00%,122/311,61.09%,Bronze,,,,,,,
2014,Yi Xiao Zhang,Canada,,208,34.67%,164/311,47.59%,,,,,,,,
2013,Calvin Deng,Canada,,397,66.17%,61/299,79.93%,Silver,,,,,,,
2013,Andy Huang,Canada,,301,50.17%,106/299,64.88%,Bronze,,,,,,,
2013,Yuanhao Wei,Canada,,253,42.17%,133/299,55.85%,Bronze,,,,,,,
2013,Angus Kong,Canada,,174,29.00%,179/299,40.47%,,,,,,,,
2012,Daniel Hui,Canada,,298,49.67%,45/310,85.81%,Silver,,,,,,,
2012,Geoffry Song,Canada,,247,41.17%,69/310,78.06%,Silver,,,,,,,
2012,Vitalik Buterin,Canada,,224,37.33%,87/310,72.26%,Bronze,,,,,,,
2012,Angus Kong,Canada,,32,5.33%,282/310,9.35%,,,,,,,,
2011,Ziting Yu,Canada,,383,63.83%,68/303,77.89%,Silver,,,,,,,
2011,Daniel Hui,Canada,,354,59.00%,92/303,69.97%,Bronze,,,,,,,
2011,Cyril Zhang,Canada,,314,52.33%,122/303,60.07%,Bronze,,,,,,,
2011,Kevin Yeo,Canada,,278,46.33%,147/303,51.82%,Bronze,,,,,,,
