Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Jovian Soejono,Switzerland,,295.70,49.28%,82/353,77.05%,Silver,,,,,,,
2024,Elias Bauer,Switzerland,,279.35,46.56%,105/353,70.54%,Bronze,,,,,,,
2024,Yaël Arn,Switzerland,,230.00,38.33%,162/353,54.39%,Bronze,,,,,,,
2024,Ursus Wigger,Switzerland,,184.50,30.75%,222/353,37.39%,Honourable Mention,,,,,,,
2023,Elias Bauer,Switzerland,,229.0,38.17%,89/350,74.86%,Bronze,,,,,,,
2023,Josia John,Switzerland,,147.0,24.50%,185/350,47.43%,Honourable Mention,,,,,,,
2023,Jasmin Studer,Switzerland,,119.5,19.92%,222/350,36.86%,,,,,,,,
2023,Linus Lüchinger,Switzerland,,107.0,17.83%,240/350,31.71%,Honourable Mention,,,,,,,
2022,Elias Bauer,Switzerland,,175.00,29.17%,148/349,57.88%,Bronze,,,,,,,
2022,Josia John,Switzerland,,173.25,28.88%,152/349,56.73%,Bronze,,,,,,,
2022,Linus Lüchinger,Switzerland,,110.00,18.33%,219/349,37.54%,,,,,,,,
2022,Lukas Münzel,Switzerland,,90.00,15.00%,242/349,30.95%,,,,,,,,
2021,Joël Huber,Switzerland,,390,65.00%,22/351,94.02%,Gold,,,,,,,
2021,Josia John,Switzerland,,200,33.33%,178/351,49.57%,,,,,,,,
2021,Ema Skottova,Switzerland,,187,31.17%,200/351,43.30%,,,,,,,,
2021,Alberts Reisons,Switzerland,,181,30.17%,218/351,38.18%,,,,,,,,
2020,Joël Huber,Switzerland,,399.86,66.64%,58/343,83.38%,Silver,,,,,,,
2020,Tobias Feigenwinter,Switzerland,,269.94,44.99%,142/343,58.89%,Bronze,,,,,,,
2020,Lukas Münzel,Switzerland,,172.93,28.82%,232/343,32.65%,,,,,,,,
2020,Jonas Meier,Switzerland,,132.00,22.00%,253/343,26.53%,,,,,,,,
2019,Nicolas Camenisch,Switzerland,,275.54,45.92%,137/327,58.41%,Bronze,,,,,,,
2019,Joël Huber,Switzerland,,252.89,42.15%,159/327,51.68%,Bronze,,,,,,,
2019,Christopher Burckhardt,Switzerland,,200.00,33.33%,219/327,33.33%,,,,,,,,
2019,Valentin Imbach,Switzerland,,147.71,24.62%,258/327,21.41%,,,,,,,,
2018,Nicolas Camenisch,Switzerland,,209,34.83%,148/335,56.12%,Bronze,,,,,,,
2018,Bibin Muttappillil,Switzerland,,164,27.33%,191/335,43.28%,,,,,,,,
2018,Valentin Imbach,Switzerland,,115,19.17%,233/335,30.75%,,,,,,,,
