Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Matias Francisco Nova Baza,Chile,123.81,20.64%,278/353,21.53%,,,,,,,,,
2024,Edgardo León,Chile,103.00,17.17%,291/353,17.85%,,,,,,,,,
2024,Han Yang,Chile,79.00,13.17%,317/353,10.48%,,,,,,,,,
2024,Francisco Pinhao,Chile,70.31,11.72%,324/353,8.50%,,,,,,,,,
2023,Diego Emilio Rebollo García,Chile,73.0,12.17%,275/350,21.71%,,,,,,,,,
2023,Matias Felipe Oteiza Vargas,Chile,51.5,8.58%,292/350,16.86%,,,,,,,,,
2023,Matias Francisco Nova Baza,Chile,27.5,4.58%,319/350,9.14%,,,,,,,,,
2023,Leandro Parada,Chile,0.0,0.00%,343/350,2.29%,,,,,,,,,
2022,Diego Arias,Chile,52.00,8.67%,280/349,20.06%,,,,,,,,,
2022,Marcelo Lemus,Chile,45.75,7.62%,291/349,16.91%,,,,,,,,,
2022,Alex Blanchard,Chile,24.75,4.12%,326/349,6.88%,,,,,,,,,
2022,Diego Emilio Rebollo García,Chile,18.00,3.00%,336/349,4.01%,,,,,,,,,
2021,Ignacio Muñoz,Chile,206,34.33%,167/351,52.71%,Bronze,,,,,,,,
2021,Diego Arias,Chile,164,27.33%,249/351,29.34%,,,,,,,,,
2021,Marcelo Lemus,Chile,65,10.83%,340/351,3.42%,,,,,,,,,
2021,Diego Emilio Rebollo García,Chile,24,4.00%,350/351,0.57%,,,,,,,,,
2020,Ignacio Muñoz,Chile,208.46,34.74%,197/343,42.86%,,,,,,,,,
2020,Vicente Opazo,Chile,117.00,19.50%,264/343,23.32%,,,,,,,,,
2020,Luciano Massa,Chile,74.00,12.33%,296/343,13.99%,,,,,,,,,
2020,Jorge Bravo,Chile,31.00,5.17%,323/343,6.12%,,,,,,,,,
2019,Mauricio Cari,Chile,212.03,35.34%,204/327,37.92%,,,,,,,,,
2019,Diego Salas,Chile,158.00,26.33%,250/327,23.85%,,,,,,,,,
2019,Ignacio Muñoz,Chile,155.00,25.83%,251/327,23.55%,,,,,,,,,
2019,Hans Kühn,Chile,109.00,18.17%,288/327,12.23%,,,,,,,,,
2018,Willem Stuijt,Chile,248,41.33%,109/335,67.76%,Bronze,,,,,,,,
2018,Daniel Báez,Chile,204,34.00%,154/335,54.33%,Bronze,,,,,,,,
2018,Ignacio Muñoz,Chile,167,27.83%,189/335,43.88%,,,,,,,,,
2018,Luciano Massa,Chile,154,25.67%,201/335,40.30%,,,,,,,,,
2017,Javier Oliva,Chile,116.92,19.49%,176/304,42.43%,,,,,,,,,
2017,Alexis Espinoza,Chile,112.00,18.67%,182/304,40.46%,,,,,,,,,
2017,Willem Stuijt,Chile,86.40,14.40%,207/304,32.24%,,,,,,,,,
2017,Luciano Massa,Chile,33.00,5.50%,282/304,7.57%,,,,,,,,,
2016,Javier Oliva,Chile,154,25.67%,215/308,30.52%,,,,,,,,,
2016,Willem Stuijt,Chile,109,18.17%,245/308,20.78%,,,,,,,,,
2016,Alexis Espinoza,Chile,76,12.67%,267/308,13.64%,,,,,,,,,
2016,Benjamin Aguilar,Chile,30,5.00%,292/308,5.52%,,,,,,,,,
2015,Javier Oliva,Chile,150.42,25.07%,187/322,42.24%,,,,,,,,,
2015,Nicolás Mosnaim,Chile,92.57,15.43%,242/322,25.16%,,,,,,,,,
2015,Benjamin Aguilar,Chile,63.00,10.50%,276/322,14.60%,,,,,,,,,
2015,Leandro Cerna,Chile,37.00,6.17%,299/322,7.45%,,,,,,,,,
2014,Nicolás Mosnaim,Chile,105,17.50%,225/311,27.97%,,,,,,,,,
2014,Robinson Alexis Castro Fernández,Chile,79,13.17%,252/311,19.29%,,,,,,,,,
2014,Lucas Cabello,Chile,76,12.67%,258/311,17.36%,,,,,,,,,
2014,Nicolás Mariangel,Chile,74,12.33%,261/311,16.40%,,,,,,,,,
2013,Robinson Alexis Castro Fernández,Chile,222,37.00%,144/299,52.17%,Bronze,,,,,,,,
2013,Gabriel Alejandro Norambuena Guzmán,Chile,62,10.33%,250/299,16.72%,,,,,,,,,
2013,Pedro Pablo Gallardo Robinson,Chile,12,2.00%,288/299,4.01%,,,,,,,,,
2013,Nicolás Sebastián Orellana Ortiz,Chile,4,0.67%,291/299,3.01%,,,,,,,,,
2012,Gabriel Alejandro Norambuena Guzmán,Chile,12,2.00%,292/310,6.13%,,,,,,,,,
2012,Cristobal Miranda,Chile,0,0.00%,300/310,3.55%,,,,,,,,,
2012,Jorge Lobos,Chile,0,0.00%,300/310,3.55%,,,,,,,,,
2009,Francisco  Hernández Vargas,Chile,,,,,,,,,,,,,
2009,Daniel  Acuña,Chile,,,,,,,,,,,,,
2009,Jürgen Haysen Palacios,Chile,,,,,,,,,,,,,
2009,Rene  Tapia,Chile,,,,,,,,,,,,,
2008,Jürgen Haysen Palacios,Chile,,,,,,,,,,,,,
2008,Matías Durán Niedbalski,Chile,,,,,,,,,,,,,
2008,Francisco  Hernández Vargas,Chile,,,,,,,,,,,,,
2008,Manuel Pérez Silva,Chile,,,,,,,,,,,,,
2007,Romina Huenchunao,Chile,,,,,,,,,,,,,
2007,Constanza Contreras,Chile,,,,,,,,,,,,,
2007,Cristobal Leiva,Chile,,,,,,,,,,,,,
2007,Israel Leiva,Chile,,,,,,,,,,,,,
2006,Simón Andrés González Santander,Chile,,,,,,,,,,,,,
2006,Juan Patricio Correa Poblete,Chile,,,,,,,,,,,,,
2006,Luis Alberto Herrera González,Chile,,,,,,,,,,,,,
2005,Luis Jimenez,Chile,,,,,,,,,,,,,
2005,Pedro Oyarzun,Chile,,,,,,,,,,,,,
2005,Rodrigo Fuentes,Chile,,,,,,,,,,,,,
2004,Velin Alexandrov,Chile,,,,,,,,,,,,,
2004,Eduardo Mella,Chile,,,,,,,,,,,,,
2004,Jose Lòpez,Chile,,,,,,,,,,,,,
2003,Patricio Arenas,Chile,,,,,,,,,,,,,
2003,Velin Alexandrov,Chile,,,,,,,,,,,,,
1998,Carlos Alexis Moyi Abarza,Chile,,0,0.00%,222/241,8.30%,,,,,,,,
1998,Christopher Gustavo Collins Del Fierro,Chile,,0,0.00%,222/241,8.30%,,,,,,,,
1998,David Nicolas Manilla Tello,Chile,,0,0.00%,222/241,8.30%,,,,,,,,
1998,Jose Antonio Castillo Venenciano,Chile,,0,0.00%,222/241,8.30%,,,,,,,,
