Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Kangyang Zhou,China,,600.00,100.00%,1/353,100.00%,Gold,,,,,,,
2024,Yuchong Guo,China,,419.17,69.86%,8/353,98.02%,Gold,,,,,,,
2024,Luotian Huang,China,,322.61,53.77%,60/353,83.29%,Silver,,,,,,,
2024,Jiyu Shen,China,,0.00,0.00%,,,,,,,,,,
2023,Tingqiang Xu,China,,580.0,96.67%,1/350,100.00%,Gold,,,,,,,
2023,Siyuan Cheng,China,,579.0,96.50%,2/350,99.71%,Gold,,,,,,,
2023,Langrui Qi,China,,422.0,70.33%,6/350,98.57%,Gold,,,,,,,
2023,Yiping Liu,China,,416.5,69.42%,8/350,98.00%,Gold,,,,,,,
2022,Jiangqi Dai,China,,600.00,100.00%,1/349,100.00%,Gold,,,,,,,
2022,Shaoxuan Tang,China,,600.00,100.00%,1/349,100.00%,Gold,,,,,,,
2022,Hangrui Zhou,China,,555.00,92.50%,3/349,99.43%,Gold,,,,,,,
2022,Junkai Zhang,China,,555.00,92.50%,3/349,99.43%,Gold,,,,,,,
2021,Mingyang Deng,China,,600,100.00%,1/351,100.00%,Gold,,,,,,,
2021,Yi Qian,China,,537,89.50%,2/351,99.72%,Gold,,,,,,,
2021,Chenxin Dai,China,,505,84.17%,3/351,99.43%,Gold,,,,,,,
2021,Haoxiang Yu,China,,497,82.83%,4/351,99.15%,Gold,,,,,,,
2020,Yuxiang Luo,China,,592.62,98.77%,3/343,99.42%,Gold,,,,,,,
2020,Yuyang Zhou,China,,592.62,98.77%,3/343,99.42%,Gold,,,,,,,
2020,Zhanpeng Wang,China,,592.62,98.77%,3/343,99.42%,Gold,,,,,,,
2020,Mingrun Jiang,China,,592.24,98.71%,7/343,98.25%,Gold,,,,,,,
2019,Ziqian Zhong,China,,491.46,81.91%,4/327,99.08%,Gold,,,,,,,
2019,Junzhao Yang,China,,482.39,80.40%,5/327,98.78%,Gold,,,,,,,
2019,Jiaxuan Gao,China,,433.11,72.19%,20/327,94.19%,Gold,,,,,,,
2019,Xiuhan Wang,China,,372.59,62.10%,49/327,85.32%,Silver,,,,,,,
2018,Maolong Yang,China,,469,78.17%,2/335,99.70%,Gold,,,,,,,
2018,Zhenting Zhu,China,,466,77.67%,3/335,99.40%,Gold,,,,,,,
2018,Jianglun Chen,China,,428,71.33%,6/335,98.51%,Gold,,,,,,,
2018,Xuandi Ren,China,,344,57.33%,23/335,93.43%,Gold,,,,,,,
2017,Mingkuan Xu,China,,524.20,87.37%,2/304,99.67%,Gold,,,,,,,
2017,Zhixian Zhong,China,,357.72,59.62%,25/304,92.11%,Gold,,,,,,,
2017,Xiao Mao,China,,324.71,54.12%,33/304,89.47%,Silver,,,,,,,
