Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Santiago Guaneme Quintero,Colombia,,114.83,19.14%,285/353,19.55%,,,,,,,,
2024,Simón Martínez,Colombia,,77.00,12.83%,319/353,9.92%,,,,,,,,
2024,Belcar Santiago Cuentas-Zavala Infante,Colombia,,51.31,8.55%,333/353,5.95%,,,,,,,,
2024,Juan David Onofre Florián,Colombia,,41.00,6.83%,337/353,4.82%,,,,,,,,
2023,Miguel Sáenz,Colombia,,99.0,16.50%,246/350,30.00%,,,,,,,,
2023,Belcar Santiago Cuentas-Zavala Infante,Colombia,,82.0,13.67%,265/350,24.57%,,,,,,,,
2023,Juan Camilo Almanza Gamarra,Colombia,,27.0,4.50%,320/350,8.86%,,,,,,,,
2023,Juan David Onofre Florián,Colombia,,9.0,1.50%,338/350,3.71%,,,,,,,,
2022,Kiara González,Colombia,,30.00,5.00%,315/349,10.03%,,,,,,,,
2022,Miguel Sáenz,Colombia,,21.75,3.62%,331/349,5.44%,,,,,,,,
2022,Mauricio Bacca Peña,Colombia,,6.75,1.12%,344/349,1.72%,,,,,,,,
2022,Daniel Francisco Hello Puccini,Colombia,,5.00,0.83%,345/349,1.43%,,,,,,,,
2021,Alvaro Bacca,Colombia,,157,26.17%,265/351,24.79%,,,,,,,,
2021,Andrés David Carranza Moreno,Colombia,,111,18.50%,319/351,9.40%,,,,,,,,
2021,Miguel Sáenz,Colombia,,92,15.33%,328/351,6.84%,,,,,,,,
2021,Kiara González,Colombia,,57,9.50%,342/351,2.85%,,,,,,,,
2020,Oscar Sierra,Colombia,,203.32,33.89%,203/343,41.11%,,,,,,,,
2020,Alvaro Bacca,Colombia,,130.00,21.67%,259/343,24.78%,,,,,,,,
2020,Juan Martínez,Colombia,,73.00,12.17%,298/343,13.41%,,,,,,,,
2020,Juan Rios,Colombia,,10.00,1.67%,338/343,1.75%,,,,,,,,
2019,Oscar Sierra,Colombia,,204.08,34.01%,214/327,34.86%,,,,,,,,
2019,Cesar Diaz,Colombia,,174.93,29.16%,237/327,27.83%,,,,,,,,
2019,Alvaro Bacca,Colombia,,84.00,14.00%,293/327,10.70%,,,,,,,,
2018,Roger Trujillo,Colombia,,147,24.50%,212/335,37.01%,,,,,,,,
2018,Oscar Sierra,Colombia,,61,10.17%,273/335,18.81%,,,,,,,,
2018,Cesar Diaz,Colombia,,36,6.00%,300/335,10.75%,,,,,,,,
2018,Nicolas Galindo,Colombia,,21,3.50%,311/335,7.46%,,,,,,,,
2017,Roger Trujillo,Colombia,,64.67,10.78%,235/304,23.03%,,,,,,,,
2017,Andrés Pérez,Colombia,,46.16,7.69%,265/304,13.16%,,,,,,,,
2017,Pietro Ehrlich,Colombia,,43.01,7.17%,274/304,10.20%,,,,,,,,
2016,Roger Trujillo,Colombia,,191,31.83%,191/308,38.31%,,,,,,,,
2016,Juan Bedoya,Colombia,,113,18.83%,239/308,22.73%,,,,,,,,
2016,Andrés Pérez,Colombia,,52,8.67%,278/308,10.06%,,,,,,,,
2016,Nicolas Galindo,Colombia,,11,1.83%,302/308,2.27%,,,,,,,,
2015,Juan Bedoya,Colombia,,108.45,18.07%,228/322,29.50%,,,,,,,,
2015,Andrés Pérez,Colombia,,81.45,13.57%,257/322,20.50%,,,,,,,,
2015,Juan Chaves,Colombia,,79.33,13.22%,260/322,19.57%,,,,,,,,
2015,Roger Trujillo,Colombia,,30.00,5.00%,307/322,4.97%,,,,,,,,
2014,Juan Bedoya,Colombia,,79,13.17%,252/311,19.29%,,,,,,,,
2014,Juan Chaves,Colombia,,77,12.83%,257/311,17.68%,,,,,,,,
2014,Daniel Bocanegra,Colombia,,26,4.33%,300/311,3.86%,,,,,,,,
2013,Jaime Silva,Colombia,,348,58.00%,83/299,72.58%,Bronze,,,,,,,
2013,Diego Niquefa,Colombia,,242,40.33%,136/299,54.85%,Bronze,,,,,,,
2013,Alan Navarro,Colombia,,150,25.00%,194/299,35.45%,,,,,,,,
2013,Juan Sebastian Hoyos,Colombia,,85,14.17%,235/299,21.74%,,,,,,,,
2012,Diego Niquefa,Colombia,,167,27.83%,145/310,53.55%,Bronze,,,,,,,
2012,Jaime Silva,Colombia,,97,16.17%,211/310,32.26%,,,,,,,,
2012,Alan Navarro,Colombia,,51,8.50%,260/310,16.45%,,,,,,,,
2012,Manuel Vergara,Colombia,,12,2.00%,292/310,6.13%,,,,,,,,
2011,Rafael Mantilla,Colombia,,458,76.33%,32/303,89.77%,Silver,,,,,,,
2011,Jaime Silva,Colombia,,294,49.00%,134/303,56.11%,Bronze,,,,,,,
