Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
1992,Matej Ondrusek,Czechoslovakia,,200,100.00%,1/171,100.00%,Gold,,,,,,,
1992,Jan Kybic,Czechoslovakia,,190,95.00%,23/171,87.13%,Silver,,,,,,,
1992,Jan Kotas,Czechoslovakia,,185,92.50%,30/171,83.04%,Silver,,,,,,,
1992,Tomáš Vinař,Czechoslovakia,,,,,,,,,,,,,
1991,Igor Maly,Czechoslovakia,,196,98.00%,1/68,100.00%,Gold,,,,,,,
1991,Matej Ondrusek,Czechoslovakia,,136,68.00%,13/68,82.35%,Silver,,,,,,,
1991,Stepan Kasal,Czechoslovakia,,136,68.00%,13/68,82.35%,Silver,,,,,,,
1990,Miroslav Kocan,Czechoslovakia,,87,43.50%,20/100,81.00%,Bronze,,,,,,,
1990,Igor Maly,Czechoslovakia,,80,40.00%,24/100,77.00%,Bronze,,,,,,,
1990,Cizek,Czechoslovakia,,,,,,,,,,,,,
1990,Radim Krivanek,Czechoslovakia,,,,,,,,,,,,,
1989,Igor Maly,Czechoslovakia,95,95.00%,2/46,97.83%,Gold,,,,,,,,
1989,V. Solc,Czechoslovakia,58,58.00%,19/46,60.87%,,,,,,,,,
1989,S. Kasal,Czechoslovakia,56,56.00%,20/46,58.70%,,,,,,,,,
