Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Marco Antonio Escandón García,Cuba,,240.11,40.02%,150/353,57.79%,Bronze,,,,,,,
2024,Camilo Triana Barata,Cuba,,175.35,29.23%,233/353,34.28%,,,,,,,,
2024,Francis José Rodríguez Ronda,Cuba,,94.00,15.67%,301/353,15.01%,,,,,,,,
2024,Maité Morales Carreras,Cuba,,82.00,13.67%,315/353,11.05%,,,,,,,,
2023,Marco Antonio Escandón García,Cuba,,88.0,14.67%,255/350,27.43%,,,,,,,,
2023,Camilo Triana Barata,Cuba,,41.5,6.92%,311/350,11.43%,,,,,,,,
2022,Manuel Darío Oliver Ballesteros,Cuba,,347.39,57.90%,43/349,87.97%,Silver,,,,,,,
2022,Alberto Leyva Guerra,Cuba,,137.03,22.84%,186/349,46.99%,Honourable Mention,,,,,,,
2022,John Mauris López Ramos,Cuba,,52.25,8.71%,279/349,20.34%,,,,,,,,
2022,Ernesto David Serize Portela,Cuba,,22.00,3.67%,328/349,6.30%,,,,,,,,
2021,Manuel Darío Oliver Ballesteros,Cuba,,286,47.67%,90/351,74.64%,Bronze,,,,,,,
2021,Alain David Escarrá García,Cuba,,184,30.67%,213/351,39.60%,,,,,,,,
2021,Alberto Leyva Guerra,Cuba,,174,29.00%,227/351,35.61%,,,,,,,,
2021,Carlos Rolando Morell Rodríguez,Cuba,,134,22.33%,293/351,16.81%,,,,,,,,
2020,Humberto Yusta Gómez,Cuba,,249.14,41.52%,156/343,54.81%,Bronze,,,,,,,
2020,Manuel Darío Oliver Ballesteros,Cuba,,245.71,40.95%,161/343,53.35%,Bronze,,,,,,,
2020,Leonardo Daniel Artiles Montero,Cuba,,175.00,29.17%,226/343,34.40%,,,,,,,,
2020,Alberto Leyva Guerra,Cuba,,141.00,23.50%,247/343,28.28%,,,,,,,,
2019,Brayan Duran Medina,Cuba,,205.07,34.18%,211/327,35.78%,,,,,,,,
2018,David Manuel García Aguilera,Cuba,,294,49.00%,60/335,82.39%,Silver,,,,,,,
2018,Brayan Duran Medina,Cuba,,147,24.50%,212/335,37.01%,,,,,,,,
2018,Karel Díaz Vergara,Cuba,,76,12.67%,262/335,22.09%,,,,,,,,
2017,David Manuel García Aguilera,Cuba,,98.37,16.39%,199/304,34.87%,,,,,,,,
2016,Ernesto David Peña Herrera,Cuba,,179,29.83%,202/308,34.74%,,,,,,,,
2015,Alexander Bestard Rivera,Cuba,,156.45,26.07%,178/322,45.03%,,,,,,,,
2014,Lino Javier Megret Almaguer,Cuba,,103,17.17%,228/311,27.01%,,,,,,,,
2012,Yuri Alcántara Olivero,Cuba,,92,15.33%,214/310,31.29%,,,,,,,,
2010,Leandro Castillo Valdés,Cuba,514,62.68%,164/297,45.12%,,,,,,,,,
2010,Javier Noa Turnes,Cuba,315,38.41%,243/297,18.52%,,,,,,,,,
2009,Leandro Castillo Valdés,Cuba,408,51.00%,136/301,55.15%,Bronze,,,,,,,,
2009,Ramón Alejandro Reyes  Fajardo,Cuba,399,49.88%,147/301,51.50%,Bronze,,,,,,,,
2008,Abel Nieto Rodriguez,Cuba,,271,45.17%,44/283,84.81%,Silver,,,,,,,
2008,Alfonso Alfonso Peterssen,Cuba,,,,,,,,,,,,,
2007,Abel Nieto Rodriguez,Cuba,,,,,,,,,,,,,
2006,Enrique González Martín,Cuba,,,,,,,,,,,,,
2006,Ernesto Carvajal Lastre,Cuba,,,,,,,,,,,,,
2005,Daniel Rodríguez Sánchez,Cuba,,418,69.67%,55/276,80.43%,Silver,,,,,,,
2005,David Cuéllar Morales,Cuba,,334,55.67%,100/276,64.13%,Bronze,,,,,,,
2004,Daniel Rodríguez Sánchez,Cuba,,390,65.00%,52/291,82.47%,Silver,,,,,,,
2004,Raúl Delgado de la Cruz,Cuba,,300,50.00%,115/291,60.82%,Bronze,,,,,,,
2004,Reinier Marichal Pons,Cuba,,,,,,,,,,,,,
2002,Ronny López Trujillo,Cuba,,268,44.67%,36/276,87.32%,Silver,,,,,,,
2002,José David Rodríguez Velazco,Cuba,,181,30.17%,99/276,64.49%,Bronze,,,,,,,
2002,Yogerlán Ledesma Almanza,Cuba,,,,,,,,,,,,,
2002,Alberto Eliseo Pacheco Allende,Cuba,,,,,,,,,,,,,
2001,Ludwig Leonard Méndez,Cuba,,226,37.67%,89/272,67.65%,Bronze,,,,,,,
2001,Ronny López Trujillo,Cuba,,151,25.17%,132/272,51.84%,Bronze,,,,,,,
2001,Yasmany Molina Díaz,Cuba,,,,,,,,,,,,,
2001,Alberto Eliseo Pacheco Allende,Cuba,,,,,,,,,,,,,
2000,Oliver Fernández Gil,Cuba,,329,47.00%,98/278,65.11%,Bronze,,,,,,,
2000,Iosvany Moya Cruz,Cuba,,320,45.71%,100/278,64.39%,Bronze,,,,,,,
2000,David Rodríguez Luna,Cuba,,250,35.71%,129/278,53.96%,Bronze,,,,,,,
2000,Reinier Ortiz Vega,Cuba,,,,,,,,,,,,,
1999,Tomy Bolaños de la Coba,Cuba,,288,48.00%,40/253,84.58%,Silver,,,,,,,
1999,Michel González Blázquez,Cuba,,200,33.33%,81/253,68.38%,Bronze,,,,,,,
1999,Oliver Fernández Gil,Cuba,,190,31.67%,93/253,63.64%,Bronze,,,,,,,
1999,Eric Fleites Pérez,Cuba,,180,30.00%,100/253,60.87%,Bronze,,,,,,,
1998,Michel Pérez González,Cuba,,180,25.71%,155/241,36.10%,,,,,,,,
1997,Heriberto Betancourt Dieste,Cuba,,233,38.83%,88/221,60.63%,Bronze,,,,,,,
1996,Yosmany Sáez Concepción,Cuba,,115,57.50%,90/220,59.55%,Bronze,,,,,,,
1996,Maikel Rodríguez Rivero,Cuba,,88,44.00%,118/220,46.82%,,,,,,,,
1996,Hailem Dreis Carrasco Fuentes,Cuba,,74,37.00%,143/220,35.45%,,,,,,,,
1996,Nils Andrey Tellería Martínez,Cuba,,67,33.50%,156/220,29.55%,,,,,,,,
1995,Ian Miguel García Aranguren,Cuba,,139,69.50%,34/210,84.29%,Silver,,,,,,,
1994,Ian Miguel García Aranguren,Cuba,,81,40.50%,63/189,67.20%,Bronze,,,,,,,
1994,Zenin Oganecu Blanco,Cuba,,71,35.50%,79/189,58.73%,Bronze,,,,,,,
1993,Ian Miguel García Aranguren,Cuba,,158,79.00%,41/155,74.19%,Bronze,,,,,,,
1993,Abel la Rosa Silva,Cuba,,133,66.50%,65/155,58.71%,Bronze,,,,,,,
1993,Rolando Miguel Lorenzo Vera,Cuba,,129,64.50%,70/155,55.48%,Bronze,,,,,,,
1993,Fernando Cabrera Almedo,Cuba,,,,,,,,,,,,,
1992,Ramón Rivas Díaz,Cuba,,154,77.00%,63/171,63.74%,Bronze,,,,,,,
1992,Mayelín Borrego Hernández,Cuba,,148,74.00%,68/171,60.82%,Bronze,,,,,,,
1992,Alcides Morales Guedes,Cuba,,,,,,,,,,,,,
1992,Oscar López Pedraza,Cuba,,,,,,,,,,,,,
1991,Humberto Orgambides del Rosario,Cuba,,122,61.00%,27/68,61.76%,Bronze,,,,,,,
1991,Rubén Ramírez Padrón,Cuba,,111,55.50%,38/68,45.59%,Bronze,,,,,,,
1991,Rasiel Gutiérrez Pérez,Cuba,,85,42.50%,51/68,26.47%,,,,,,,,
1990,Abdul Martínez Castro,Cuba,,82,41.00%,22/100,79.00%,Bronze,,,,,,,
1990,Ademar González,Cuba,,,,,,,,,,,,,
1990,Marcos Saavedra,Cuba,,,,,,,,,,,,,
1990,José Luis Navarro,Cuba,,,,,,,,,,,,,
1989,Ludwing O'Hallorans,Cuba,,60,60.00%,18/46,63.04%,Bronze,,,,,,,
1989,Moisés Argüeyez,Cuba,,45,45.00%,25/46,47.83%,,,,,,,,
1989,Vidal Rodríguez,Cuba,,30,30.00%,31/46,34.78%,,,,,,,,
