Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Mariza Paspalli,Cyprus,,269.11,44.85%,121/353,66.01%,Bronze,,,,,,,
2024,Theofanis Orfanou,Cyprus,,267.97,44.66%,122/353,65.72%,Bronze,,,,,,,
2024,Antreas Knais,Cyprus,,190.31,31.72%,209/353,41.08%,,,,,,,,
2024,Antreas Leonidou,Cyprus,,151.81,25.30%,260/353,26.63%,Honourable Mention,,,,,,,
2023,Theofanis Orfanou,Cyprus,,269.0,44.83%,56/350,84.29%,Silver,,,,,,,
2023,Demetris Chrysostomou,Cyprus,,133.0,22.17%,207/350,41.14%,Honourable Mention,,,,,,,
2023,Antreas Knais,Cyprus,,122.0,20.33%,220/350,37.43%,,,,,,,,
2023,Antreas Leonidou,Cyprus,,80.0,13.33%,267/350,24.00%,,,,,,,,
2022,Theofanis Orfanou,Cyprus,,219.42,36.57%,116/349,67.05%,Bronze,,,,,,,
2022,Demetris Chrysostomou,Cyprus,,146.00,24.33%,177/349,49.57%,Honourable Mention,,,,,,,
2022,Christos Falas,Cyprus,,128.00,21.33%,199/349,43.27%,Honourable Mention,,,,,,,
2022,Panagiotis Chatzikostas,Cyprus,,45.35,7.56%,292/349,16.62%,,,,,,,,
2021,Charalampos Georgiou,Cyprus,,262,43.67%,106/351,70.09%,Bronze,,,,,,,
2021,Demetris Chrysostomou,Cyprus,,210,35.00%,158/351,55.27%,Bronze,,,,,,,
2021,Christos Falas,Cyprus,,169,28.17%,243/351,31.05%,,,,,,,,
2021,Theofanis Orfanou,Cyprus,,157,26.17%,265/351,24.79%,,,,,,,,
2020,Charalampos Georgiou,Cyprus,,316.94,52.82%,97/343,72.01%,Bronze,,,,,,,
2020,Demetris Chrysostomou,Cyprus,,225.32,37.55%,180/343,47.81%,,,,,,,,
2020,Christos Falas,Cyprus,,165.00,27.50%,236/343,31.49%,,,,,,,,
2020,Konstantinos Tziapouras,Cyprus,,112.64,18.77%,266/343,22.74%,,,,,,,,
2019,Andreas Kalavas,Cyprus,,229.91,38.32%,185/327,43.73%,,,,,,,,
2019,Charalampos Georgiou,Cyprus,,204.60,34.10%,213/327,35.17%,,,,,,,,
2019,Angelos Assos,Cyprus,,186.00,31.00%,230/327,29.97%,,,,,,,,
2018,Charalampos Georgiou,Cyprus,,176,29.33%,176/335,47.76%,,,,,,,,
2018,Angelos Assos,Cyprus,,132,22.00%,223/335,33.73%,,,,,,,,
2018,Evripidis Papaevripidis,Cyprus,,52,8.67%,284/335,15.52%,,,,,,,,
2018,Andreas Kalavas,Cyprus,,15,2.50%,313/335,6.87%,,,,,,,,
2017,Angelos Pelecanos,Cyprus,,277.56,46.26%,59/304,80.92%,Silver,,,,,,,
2017,Angelos Assos,Cyprus,,134.42,22.40%,156/304,49.01%,,,,,,,,
2017,Aristeidis Tziapouras,Cyprus,,133.92,22.32%,157/304,48.68%,,,,,,,,
2017,Evripidis Papaevripidis,Cyprus,,58.00,9.67%,245/304,19.74%,,,,,,,,
2016,Angelos Pelecanos,Cyprus,,258,43.00%,131/308,57.79%,Bronze,,,,,,,
2016,Angelos Assos,Cyprus,,208,34.67%,174/308,43.83%,,,,,,,,
2016,Evripidis Papaevripidis,Cyprus,,136,22.67%,226/308,26.95%,,,,,,,,
2016,Aristeidis Tziapouras,Cyprus,,41,6.83%,283/308,8.44%,,,,,,,,
2015,Angelos Pelecanos,Cyprus,,195.45,32.58%,153/322,52.80%,Bronze,,,,,,,
2015,Evripidis Papaevripidis,Cyprus,,55.00,9.17%,286/322,11.49%,,,,,,,,
2015,Giorgos Gavriil,Cyprus,,40.00,6.67%,296/322,8.39%,,,,,,,,
2015,Adamos Ttofari,Cyprus,,27.00,4.50%,309/322,4.35%,,,,,,,,
2014,Michalis Psalios,Cyprus,,215,35.83%,161/311,48.55%,,,,,,,,
2014,Angelos Pelecanos,Cyprus,,144,24.00%,203/311,35.05%,,,,,,,,
2014,Adamos Ttofari,Cyprus,,139,23.17%,207/311,33.76%,,,,,,,,
2014,Andreas Theocharous,Cyprus,,103,17.17%,228/311,27.01%,,,,,,,,
2013,Michalis Psalios,Cyprus,,172,28.67%,180/299,40.13%,,,,,,,,
2013,Giorgos Gavriil,Cyprus,,72,12.00%,241/299,19.73%,,,,,,,,
2013,Panayiotis Panayiotou,Cyprus,,49,8.17%,268/299,10.70%,,,,,,,,
2013,Angelos Pelecanos,Cyprus,,44,7.33%,272/299,9.36%,,,,,,,,
2012,Panayiotis Panayiotou,Cyprus,,74,12.33%,236/310,24.19%,,,,,,,,
2012,Andreas Stavrou,Cyprus,,52,8.67%,259/310,16.77%,,,,,,,,
2012,Michalis Psalios,Cyprus,,45,7.50%,264/310,15.16%,,,,,,,,
2012,Savvas Mitsikouridis,Cyprus,,12,2.00%,292/310,6.13%,,,,,,,,
2011,Ioanna Mousikou,Cyprus,,53,8.83%,262/303,13.86%,,,,,,,,
2011,Marios Hadjimichael,Cyprus,,36,6.00%,270/303,11.22%,,,,,,,,
2011,Elias Galiounas,Cyprus,,26,4.33%,275/303,9.57%,,,,,,,,
2011,Antonis Pishias,Cyprus,,0,0.00%,287/303,5.61%,,,,,,,,
2010,Marios Hadjimichael,Cyprus,326,39.76%,241/297,19.19%,,,,,,,,,
2010,Georgios Illampas,Cyprus,63,7.68%,284/297,4.71%,,,,,,,,,
2010,Ioanna Mousikou,Cyprus,60,7.32%,285/297,4.38%,,,,,,,,,
