Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Antonín Maloň,Czech Republic,,329.14,54.86%,52/353,85.55%,Silver,,,,,,,
2024,Jan Slíva,Czech Republic,,236.50,39.42%,154/353,56.66%,Bronze,,,,,,,
2024,Patrik Číhal,Czech Republic,,223.00,37.17%,172/353,51.56%,Bronze,,,,,,,
2024,David Hromádka,Czech Republic,,215.31,35.88%,179/353,49.58%,Honourable Mention,,,,,,,
2023,Benjamin Swart,Czech Republic,,279.0,46.50%,50/350,86.00%,Silver,,,,,,,
2023,Štěpán Mikéska,Czech Republic,,188.5,31.42%,133/350,62.29%,Bronze,,,,,,,
2023,Antonín Maloň,Czech Republic,,133.0,22.17%,207/350,41.14%,Honourable Mention,,,,,,,
2023,Erik Ježek,Czech Republic,,114.5,19.08%,228/350,35.14%,,,,,,,,
2022,Benjamin Swart,Czech Republic,,231.61,38.60%,108/349,69.34%,Bronze,,,,,,,
2022,Daniel Skýpala,Czech Republic,,148.00,24.67%,173/349,50.72%,Bronze,,,,,,,
2022,Robert Jaworski,Czech Republic,,103.00,17.17%,231/349,34.10%,,,,,,,,
2022,Lukáš Tomoszek,Czech Republic,,86.00,14.33%,245/349,30.09%,,,,,,,,
2021,Jiří Kalvoda,Czech Republic,,380,63.33%,26/351,92.88%,Gold,,,,,,,
2021,Viktor Fukala,Czech Republic,,253,42.17%,113/351,68.09%,Bronze,,,,,,,
2021,Ondřej Sladký,Czech Republic,,245,40.83%,126/351,64.39%,Bronze,,,,,,,
2021,Magdaléna Mišinová,Czech Republic,,133,22.17%,295/351,16.24%,,,,,,,,
2020,Jiří Kalvoda,Czech Republic,,466.62,77.77%,32/343,90.96%,Silver,,,,,,,
2020,Jonáš Havelka,Czech Republic,,261.71,43.62%,149/343,56.85%,Bronze,,,,,,,
2020,Ondřej Sladký,Czech Republic,,249.43,41.57%,155/343,55.10%,Bronze,,,,,,,
2020,Karel Chwistek,Czech Republic,,132.00,22.00%,253/343,26.53%,,,,,,,,
2019,Jiří Kalvoda,Czech Republic,,400.70,66.78%,33/327,90.21%,Silver,,,,,,,
2019,Josef Minařík,Czech Republic,,341.33,56.89%,72/327,78.29%,Silver,,,,,,,
2019,Michal Jireš,Czech Republic,,286.08,47.68%,124/327,62.39%,Bronze,,,,,,,
2019,Radek Olšák,Czech Republic,,133.20,22.20%,268/327,18.35%,,,,,,,,
2018,Josef Minařík,Czech Republic,,269,44.83%,87/335,74.33%,Bronze,,,,,,,
2018,Pavel Hudec,Czech Republic,,244,40.67%,111/335,67.16%,Bronze,,,,,,,
2018,Michal Jireš,Czech Republic,,220,36.67%,133/335,60.60%,Bronze,,,,,,,
2018,Martin Kurečka,Czech Republic,,92,15.33%,252/335,25.07%,,,,,,,,
2017,Filip Bialas,Czech Republic,,371.25,61.88%,20/304,93.75%,Gold,,,,,,,
2017,Richard Hladík,Czech Republic,,260.16,43.36%,69/304,77.63%,Silver,,,,,,,
2017,Jakub Suchánek,Czech Republic,,163.00,27.17%,131/304,57.24%,Bronze,,,,,,,
2017,Jan Priessnitz,Czech Republic,,147.34,24.56%,145/304,52.63%,Bronze,,,,,,,
2016,Václav Volhejn,Czech Republic,,432,72.00%,15/308,95.45%,Gold,,,,,,,
2016,Filip Bialas,Czech Republic,,341,56.83%,62/308,80.19%,Silver,,,,,,,
2016,Richard Hladík,Czech Republic,,240,40.00%,154/308,50.32%,Bronze,,,,,,,
2016,Ronald Luc,Czech Republic,,197,32.83%,185/308,40.26%,,,,,,,,
2015,Filip Bialas,Czech Republic,,245.55,40.92%,129/322,60.25%,Bronze,,,,,,,
2015,Václav Rozhoň,Czech Republic,,226.45,37.74%,142/322,56.21%,Bronze,,,,,,,
2015,Matěj Konečný,Czech Republic,,162.00,27.00%,175/322,45.96%,,,,,,,,
2015,Dalimil Hájek,Czech Republic,,132.45,22.07%,205/322,36.65%,,,,,,,,
2014,Jan-Sebastian Fabík,Czech Republic,,338,56.33%,79/311,74.92%,Silver,,,,,,,
2014,Ondřej Hübsch,Czech Republic,,321,53.50%,86/311,72.67%,Bronze,,,,,,,
2014,Martin Raszyk,Czech Republic,,297,49.50%,99/311,68.49%,Bronze,,,,,,,
2014,Dominik Smrž,Czech Republic,,186,31.00%,178/311,43.09%,,,,,,,,
2013,Štěpán Šimsa,Czech Republic,,313,52.17%,98/299,67.56%,Bronze,,,,,,,
2013,Martin Raszyk,Czech Republic,,250,41.67%,135/299,55.18%,Bronze,,,,,,,
2013,Ondřej Hlavatý,Czech Republic,,170,28.33%,181/299,39.80%,,,,,,,,
2013,Mark Karpilovskij,Czech Republic,,125,20.83%,208/299,30.77%,,,,,,,,
2012,Jiří Eichler,Czech Republic,,266,44.33%,54/310,82.90%,Silver,,,,,,,
2012,Štěpán Šimsa,Czech Republic,,197,32.83%,101/310,67.74%,Bronze,,,,,,,
2012,Ondřej Hübsch,Czech Republic,,192,32.00%,111/310,64.52%,Bronze,,,,,,,
2012,Martin Zikmund,Czech Republic,,125,20.83%,183/310,41.29%,,,,,,,,
2011,Filip Hlásek,Czech Republic,,467,77.83%,30/303,90.43%,Silver,,,,,,,
2011,Hynek Jemelík,Czech Republic,,419,69.83%,50/303,83.83%,Silver,,,,,,,
2011,Jakub Zika,Czech Republic,,391,65.17%,66/303,78.55%,Silver,,,,,,,
2011,Lukáš Folwarczný,Czech Republic,,242,40.33%,177/303,41.91%,,,,,,,,
2010,David Klaska,Czech Republic,709,86.46%,8/297,97.64%,Gold,,,,,,,,
2010,Hynek Jemelík,Czech Republic,693,84.51%,16/297,94.95%,Gold,,,,,,,,
2010,Vlastimil Dort,Czech Republic,656,80.00%,49/297,83.84%,Silver,,,,,,,,
2010,Jan Polášek,Czech Republic,596,72.68%,101/297,66.33%,Bronze,,,,,,,,
2009,David Klaska,Czech Republic,497,62.12%,73/301,76.08%,Silver,,,,,,,,
2009,Vlastimil Dort,Czech Republic,458,57.25%,94/301,69.10%,Bronze,,,,,,,,
2009,Hynek Jemelík,Czech Republic,403,50.38%,140/301,53.82%,Bronze,,,,,,,,
2009,Karel  Tesař,Czech Republic,,,,,,,,,,,,,
2008,Miroslav Klimoš,Czech Republic,,267,44.50%,47/283,83.75%,Silver,,,,,,,
2008,Roman Smrž,Czech Republic,,229,38.17%,71/283,75.27%,Silver,,,,,,,
2008,Vojtěch Tůma,Czech Republic,,,,,,,,,,,,,
2008,Jan Matějka,Czech Republic,,,,,,,,,,,,,
2007,Josef Pihera,Czech Republic,,333,55.50%,42/285,85.61%,Silver,,,,,,,
2007,Miroslav Klimoš,Czech Republic,,316,52.67%,53/285,81.75%,Silver,,,,,,,
2007,Roman Smrž,Czech Republic,,310,51.67%,58/285,80.00%,Silver,,,,,,,
2007,Pavel Klavík,Czech Republic,,277,46.17%,77/285,73.33%,Bronze,,,,,,,
2006,Josef Pihera,Czech Republic,,339,56.50%,57/282,80.14%,Silver,,,,,,,
2006,Daniel Marek,Czech Republic,,296,49.33%,85/282,70.21%,Bronze,,,,,,,
2006,Michal Vaner,Czech Republic,,219,36.50%,144/282,49.29%,Bronze,,,,,,,
2006,Jan Hrnčíř,Czech Republic,,,,,,,,,,,,,
2005,Daniel Marek,Czech Republic,,375,62.50%,82/276,70.65%,Bronze,,,,,,,
2005,Ondřej Bílka,Czech Republic,,316,52.67%,112/276,59.78%,Bronze,,,,,,,
2005,Zbyněk Falt,Czech Republic,,,,,,,,,,,,,
2005,Jan Bulánek,Czech Republic,,,,,,,,,,,,,
2004,Petr Škoda,Czech Republic,,370,61.67%,67/291,77.32%,Silver,,,,,,,
2004,Daniel Marek,Czech Republic,,365,60.83%,73/291,75.26%,Silver,,,,,,,
2004,Martin Vejnar,Czech Republic,,,,,,,,,,,,,
2004,Tomáš Gavenčiak,Czech Republic,,,,,,,,,,,,,
2003,Milan Straka,Czech Republic,,375.5,62.58%,14/265,95.09%,Gold,,,,,,,
2003,Pavel Čížek,Czech Republic,,306.1,51.02%,43/265,84.15%,Silver,,,,,,,
2003,Tomáš Gavenčiak,Czech Republic,,195.0,32.50%,111/265,58.49%,Bronze,,,,,,,
2003,Jan Kadlec,Czech Republic,,,,,,,,,,,,,
2002,Josef Cibulka,Czech Republic,,307,51.17%,20/276,93.12%,Gold,,,,,,,
2002,Pavel Čížek,Czech Republic,,160,26.67%,119/276,57.25%,Bronze,,,,,,,
2002,Jiří Štěpánek,Czech Republic,,,,,,,,,,,,,
2002,Milan Straka,Czech Republic,,,,,,,,,,,,,
2001,Pavel Čížek,Czech Republic,,344,57.33%,36/272,87.13%,Silver,,,,,,,
2001,Miloslav Trmač,Czech Republic,,237,39.50%,84/272,69.49%,Bronze,,,,,,,
2001,Marek Sulovský,Czech Republic,,197,32.83%,100/272,63.60%,Bronze,,,,,,,
2001,Roman Krejčík,Czech Republic,,,,,,,,,,,,,
2000,Pavel Charvát,Czech Republic,,380,54.29%,75/278,73.38%,Bronze,,,,,,,
2000,Jakub Bystroň,Czech Republic,,320,45.71%,100/278,64.39%,Bronze,,,,,,,
2000,Jiří Svoboda,Czech Republic,,300,42.86%,106/278,62.23%,Bronze,,,,,,,
2000,Ondřej Rucký,Czech Republic,,,,,,,,,,,,,
1999,Zdeněk Dvořák,Czech Republic,,376,62.67%,10/253,96.44%,Gold,,,,,,,
1999,Pavel Nejedlý,Czech Republic,,200,33.33%,81/253,68.38%,Bronze,,,,,,,
1999,Michal Illich,Czech Republic,,199,33.17%,86/253,66.40%,Bronze,,,,,,,
1999,Jozef Zlomek,Czech Republic,,190,31.67%,93/253,63.64%,Bronze,,,,,,,
1998,Michal Illich,Czech Republic,,560,80.00%,36/241,85.48%,Silver,,,,,,,
1998,Zdeněk Dvořák,Czech Republic,,420,60.00%,85/241,65.15%,Bronze,,,,,,,
1998,Pavel Nejedlý,Czech Republic,,340,48.57%,114/241,53.11%,Bronze,,,,,,,
1998,Jan Kára,Czech Republic,,330,47.14%,116/241,52.28%,Bronze,,,,,,,
1997,Mikuláš Patočka,Czech Republic,,370,61.67%,19/221,91.86%,Gold,,,,,,,
1997,Filip Kábrt,Czech Republic,,284,47.33%,60/221,73.30%,Bronze,,,,,,,
1997,Jan Kratochvíl,Czech Republic,,263,43.83%,69/221,69.23%,Bronze,,,,,,,
1997,Aleš Přívětivý,Czech Republic,,229,38.17%,90/221,59.73%,Bronze,,,,,,,
1996,Daniel Kráľ,Czech Republic,,196,98.00%,1/220,100.00%,Gold,,,,,,,
1996,Tomáš Tichý,Czech Republic,,133,66.50%,71/220,68.18%,Bronze,,,,,,,
1996,Stanislav Mikeš,Czech Republic,,116,58.00%,84/220,62.27%,Bronze,,,,,,,
1996,Robert Špalek,Czech Republic,,111,55.50%,95/220,57.27%,Bronze,,,,,,,
1995,Jiří Hájek,Czech Republic,,168,84.00%,6/210,97.62%,Gold,,,,,,,
1995,Martin Mareš,Czech Republic,,164,82.00%,7/210,97.14%,Gold,,,,,,,
1995,Robert Špalek,Czech Republic,,152,76.00%,16/210,92.86%,Gold,,,,,,,
1995,Pavel Machek,Czech Republic,,151,75.50%,18/210,91.90%,Gold,,,,,,,
1995,Helena Kupková,Czech Republic,,80,40.00%,119/210,43.81%,,,,,,,,
1994,Martin Mareš,Czech Republic,,162,81.00%,6/189,97.35%,Gold,,,,,,,
1994,Robert Špalek,Czech Republic,,121,60.50%,24/189,87.83%,Silver,,,,,,,
1994,Daniel Škarda,Czech Republic,,101,50.50%,43/189,77.78%,Silver,,,,,,,
1994,Petr Novák,Czech Republic,,75,37.50%,72/189,62.43%,Bronze,,,,,,,
1993,Martin Mareš,Czech Republic,,200,100.00%,1/155,100.00%,Gold,,,,,,,
1993,Vít Novák,Czech Republic,,175,87.50%,15/155,90.97%,Silver,,,,,,,
1993,Jana Syrovátková,Czech Republic,,167,83.50%,31/155,80.65%,Silver,,,,,,,
1993,Jiří Vaníček,Czech Republic,,,,,,,,,,,,,
