Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Maksym Shvedchenko,Germany,,286.13,47.69%,95/353,73.37%,Bronze,,,,,,,
2024,Simon Bachran,Germany,,263.64,43.94%,125/353*,64.87%,Bronze,,,,,,,
2024,Shuheng Wei,Germany,,173.20,28.87%,236/353,33.43%,Honourable Mention,,,,,,,
2024,Samuel Leber,Germany,,84.00,14.00%,312/353,11.90%,,,,,,,,
2023,Johann Gaulke,Germany,,267.0,44.50%,57/350,84.00%,Silver,,,,,,,
2023,Finn Rudolph,Germany,,247.0,41.17%,70/350,80.29%,Silver,,,,,,,
2023,Raphael Gaedtke,Germany,,233.5,38.92%,83/350,76.57%,Silver,,,,,,,
2023,Boldizsár Mann,Germany,,194.0,32.33%,127/350,64.00%,Bronze,,,,,,,
2022,Lucas Schwebler,Germany,,335.93,55.99%,50/349,85.96%,Silver,,,,,,,
2022,Leandro Conte,Germany,,181.15,30.19%,141/349,59.89%,Bronze,,,,,,,
2022,Johann Gaulke,Germany,,152.00,25.33%,170/349,51.58%,Bronze,,,,,,,
2022,Niklas Leinert,Germany,,142.00,23.67%,180/349,48.71%,Honourable Mention,,,,,,,
2021,Marc Strufe,Germany,,273,45.50%,100/351,71.79%,Bronze,,,,,,,
2021,Saleh Pourabbasi,Germany,,203,33.83%,170/351,51.85%,Bronze,,,,,,,
2021,Lucas Schwebler,Germany,,195,32.50%,187/351,47.01%,,,,,,,,
2021,Bumjun Kim,Germany,,189,31.50%,195/351,44.73%,,,,,,,,
2020,Marc Strufe,Germany,,292.10,48.68%,125/343,63.85%,Bronze,,,,,,,
2020,Lorenzo Conti,Germany,,248.07,41.34%,159/343,53.94%,Bronze,,,,,,,
2020,Yasmine Briefs,Germany,,231.97,38.66%,173/343,49.85%,,,,,,,,
2020,Bumjun Kim,Germany,,224.18,37.36%,183/343,46.94%,,,,,,,,
2019,Vincent de Bakker,Germany,,300.15,50.02%,107/327,67.58%,Bronze,,,,,,,
2019,Erik Sünderhauf,Germany,,279.88,46.65%,133/327,59.63%,Bronze,,,,,,,
2019,Lennart Ferlemann,Germany,,272.58,45.43%,138/327,58.10%,Bronze,,,,,,,
2019,Luis Bahners,Germany,,194.33,32.39%,227/327,30.89%,,,,,,,,
2018,Tobias Schindler,Germany,,287,47.83%,72/335,78.81%,Silver,,,,,,,
2018,Erik Sünderhauf,Germany,,217,36.17%,138/335,59.10%,Bronze,,,,,,,
2018,Florian Jüngermann,Germany,,213,35.50%,146/335,56.72%,Bronze,,,,,,,
2018,Janine Lohse,Germany,,154,25.67%,201/335,40.30%,,,,,,,,
2017,Lukas Michel,Germany,,411.57,68.59%,9/304,97.37%,Gold,,,,,,,
2017,Marian Dietz,Germany,,281.14,46.86%,54/304,82.57%,Silver,,,,,,,
2017,Nicolas Faross,Germany,,113.65,18.94%,179/304,41.45%,,,,,,,,
2017,Robert Hönig,Germany,,112.66,18.78%,181/304,40.79%,,,,,,,,
2016,Nicolas Faross,Germany,,252,42.00%,141/308,54.55%,Bronze,,,,,,,
2016,Marian Dietz,Germany,,186,31.00%,195/308,37.01%,,,,,,,,
2016,Nico Gründel,Germany,,77,12.83%,266/308,13.96%,,,,,,,,
2016,Viktor Yuschuk,Germany,,41,6.83%,283/308,8.44%,,,,,,,,
2015,Anan Schütt,Germany,,314.45,52.41%,89/322,72.67%,Bronze,,,,,,,
2015,Felix Bauckholt,Germany,,283.55,47.26%,102/322,68.63%,Bronze,,,,,,,
2015,Julian Dörfler,Germany,,279.07,46.51%,104/322,68.01%,Bronze,,,,,,,
2015,Philip Wellnitz,Germany,,133.55,22.26%,202/322,37.58%,,,,,,,,
2014,Felix Bauckholt,Germany,,449,74.83%,24/311,92.60%,Gold,,,,,,,
2014,Manuel Gundlach,Germany,,297,49.50%,99/311,68.49%,Bronze,,,,,,,
2014,Gregor Matl,Germany,,245,40.83%,132/311,57.88%,Bronze,,,,,,,
2014,Philip Wellnitz,Germany,,244,40.67%,133/311,57.56%,Bronze,,,,,,,
2013,Julian Baldus,Germany,,386,64.33%,69/299,77.26%,Silver,,,,,,,
2013,Lukas Köbis,Germany,,190,31.67%,171/299,43.14%,,,,,,,,
2013,Lucas Elbert,Germany,,134,22.33%,203/299,32.44%,,,,,,,,
2013,Paul Jungeblut,Germany,,133,22.17%,204/299,32.11%,,,,,,,,
2012,Tobias Lenz,Germany,,263,43.83%,56/310,82.26%,Silver,,,,,,,
2012,Julian Labeit,Germany,,174,29.00%,136/310,56.45%,Bronze,,,,,,,
