Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Sebastian Meineche Falk,Denmark,,224.20,37.37%,170/353,52.12%,Bronze,,,,,,,
2024,Daniel Holm Rasmussen,Denmark,,187.47,31.25%,217/353,38.81%,,,,,,,,
2024,Gustav Bille Gørtz,Denmark,,179.31,29.89%,229/353,35.41%,Honourable Mention,,,,,,,
2024,Frederik Vase Haraldsson,Denmark,,172.61,28.77%,240/353,32.29%,Honourable Mention,,,,,,,
2023,Luna Skjernaa Mygind,Denmark,,174.5,29.08%,152/350,56.86%,Bronze,,,,,,,
2023,Gustav Bille Gørtz,Denmark,,115.0,19.17%,226/350,35.71%,,,,,,,,
2023,Nicolai Robinson,Denmark,,90.0,15.00%,252/350,28.29%,,,,,,,,
2023,Daniel Holm Rasmussen,Denmark,,69.5,11.58%,278/350,20.86%,,,,,,,,
2022,Thor Eriksen,Denmark,,182.75,30.46%,139/349,60.46%,Bronze,,,,,,,
2022,Lorenzo Ferrari,Denmark,,138.00,23.00%,185/349,47.28%,Honourable Mention,,,,,,,
2022,Elias Lolck,Denmark,,124.25,20.71%,202/349,42.41%,Honourable Mention,,,,,,,
2022,Malte Rosenkilde,Denmark,,116.15,19.36%,210/349,40.11%,Honourable Mention,,,,,,,
2021,Thor Eriksen,Denmark,,185,30.83%,212/351,39.89%,,,,,,,,
2021,Elias Lolck,Denmark,,180,30.00%,221/351,37.32%,,,,,,,,
2021,Daniel Birn,Denmark,,134,22.33%,293/351,16.81%,,,,,,,,
2021,Luis Sebastian Galán,Denmark,,133,22.17%,295/351,16.24%,,,,,,,,
2020,William Bille Meyling,Denmark,,227.87,37.98%,178/343,48.40%,,,,,,,,
2020,Christian Bertram,Denmark,,221.43,36.91%,185/343,46.36%,,,,,,,,
2020,Markus Mathiasen,Denmark,,196.14,32.69%,209/343,39.36%,,,,,,,,
2020,Thor Eriksen,Denmark,,85.00,14.17%,288/343,16.33%,,,,,,,,
2019,Christian Bertram,Denmark,,232.26,38.71%,178/327,45.87%,,,,,,,,
2019,William Bille Meyling,Denmark,,130.58,21.76%,272/327,17.13%,,,,,,,,
2019,Luis Sebastian Galán,Denmark,,120.00,20.00%,280/327,14.68%,,,,,,,,
2019,Alexander Skovsende,Denmark,,116.00,19.33%,283/327,13.76%,,,,,,,,
2018,Christian Bertram,Denmark,,160,26.67%,195/335,42.09%,,,,,,,,
2018,David Rasmussen Lolck,Denmark,,143,23.83%,218/335,35.22%,,,,,,,,
2018,Alexander Skovsende,Denmark,,122,20.33%,228/335,32.24%,,,,,,,,
2018,Oliver Stenberg Jakobsen,Denmark,,37,6.17%,298/335,11.34%,,,,,,,,
2017,Alice Ryhl,Denmark,,182.79,30.46%,119/304,61.18%,Bronze,,,,,,,
2017,Ask Kunding,Denmark,,132.53,22.09%,162/304,47.04%,,,,,,,,
2017,Markus Krabbe Larsen,Denmark,,124.76,20.79%,167/304,45.39%,,,,,,,,
2017,Christian Bertram,Denmark,,71.12,11.85%,230/304,24.67%,,,,,,,,
2016,Carl Dybdahl,Denmark,,301,50.17%,94/308,69.81%,Bronze,,,,,,,
2016,Markus Krabbe Larsen,Denmark,,186,31.00%,195/308,37.01%,,,,,,,,
2016,Oscar Peulicke,Denmark,,74,12.33%,270/308,12.66%,,,,,,,,
2016,Alice Ryhl,Denmark,,24,4.00%,294/308,4.87%,,,,,,,,
2015,Sebastian Blunt,Denmark,,118.45,19.74%,214/322,33.85%,,,,,,,,
2015,Carl Dybdahl,Denmark,,108.42,18.07%,232/322,28.26%,,,,,,,,
2015,Markus Krabbe Larsen,Denmark,,92.74,15.46%,241/322,25.47%,,,,,,,,
2015,Oscar Peulicke,Denmark,,74.00,12.33%,264/322,18.32%,,,,,,,,
2014,Carl Dybdahl,Denmark,,118,19.67%,216/311,30.87%,,,,,,,,
2014,Michael Vesterli,Denmark,,94,15.67%,236/311,24.44%,,,,,,,,
2014,Anton Christensen,Denmark,,59,9.83%,274/311,12.22%,,,,,,,,
2013,Jakob Bæk Tejs Knudsen,Denmark,,323,53.83%,96/299,68.23%,Bronze,,,,,,,
2013,Svend Christian Svendsen,Denmark,,237,39.50%,139/299,53.85%,Bronze,,,,,,,
2013,Simon Hørup Eskildsen,Denmark,,139,23.17%,200/299,33.44%,,,,,,,,
2013,Nikolaj Simling Kristensen,Denmark,,55,9.17%,261/299,13.04%,,,,,,,,
2012,Jakob Bæk Tejs Knudsen,Denmark,,176,29.33%,131/310,58.06%,Bronze,,,,,,,
