Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Pierre Rouchès,Dominican Republic,129.83,21.64%,275/353,22.38%,,,,,,,,,
2024,Baldwin Huang,Dominican Republic,85.81,14.30%,311/353,12.18%,,,,,,,,,
2024,Andrew Batista García,Dominican Republic,31.00,5.17%,340/353,3.97%,,,,,,,,,
2024,Adriano Augusto Hernández Rodríguez,Dominican Republic,15.00,2.50%,343/353,3.12%,,,,,,,,,
2023,Raimond Vargas Hernandez,Dominican Republic,11.0,1.83%,337/350,4.00%,,,,,,,,,
2023,Diana Lantigua Bello,Dominican Republic,0.0,0.00%,343/350,2.29%,,,,,,,,,
2022,Jair Rafael Santana Benzan,Dominican Republic,59.75,9.96%,268/349,23.50%,,,,,,,,,
2021,Alejandro Jose Malla Martinez,Dominican Republic,146,24.33%,279/351,20.80%,,,,,,,,,
2021,Jair Rafael Santana Benzan,Dominican Republic,120,20.00%,307/351,12.82%,,,,,,,,,
2021,Iraira Rivera,Dominican Republic,57,9.50%,342/351,2.85%,,,,,,,,,
2021,Divanny Perez,Dominican Republic,32,5.33%,349/351,0.85%,,,,,,,,,
2020,Jair Rafael Santana Benzan,Dominican Republic,62.00,10.33%,305/343,11.37%,,,,,,,,,
2020,Dionicio Sebastian Elías,Dominican Republic,32.00,5.33%,320/343,7.00%,,,,,,,,,
2020,Alejandro Jose Malla Martinez,Dominican Republic,21.00,3.50%,330/343,4.08%,,,,,,,,,
2019,Arturo Aurelio Hernandez Rodriguez,Dominican Republic,64.00,10.67%,303/327,7.65%,,,,,,,,,
2018,Paul Anthony Ramirez Cabrera,Dominican Republic,30,5.00%,306/335,8.96%,,,,,,,,,
2018,Viktor Alexandrovich Rozenko Voitenko,Dominican Republic,30,5.00%,306/335,8.96%,,,,,,,,,
2018,Carlos Bienvenido Ogando Montás,Dominican Republic,14,2.33%,314/335,6.57%,,,,,,,,,
2018,Arturo Aurelio Hernandez Rodriguez,Dominican Republic,12,2.00%,318/335,5.37%,,,,,,,,,
2016,Michael José Gonzales Bardales,Dominican Republic,203,33.83%,180/308,41.88%,,,,,,,,,
2016,Kelvin Xavier García Tiburcio,Dominican Republic,32,5.33%,291/308,5.84%,,,,,,,,,
2015,Michael José Gonzales Bardales,Dominican Republic,92.45,15.41%,243/322,24.84%,,,,,,,,,
2015,Alejandra Martinez Jimenez,Dominican Republic,46.00,7.67%,294/322,9.01%,,,,,,,,,
2015,Manuel David Sanchez Suero,Dominican Republic,20.00,3.33%,311/322,3.73%,,,,,,,,,
