Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Ahmed Gamal,Egypt,,265.39,44.23%,124/353,65.16%,Bronze,,,,,,,
2024,Moez Mahmoud,Egypt,,256.83,42.80%,131/353,63.17%,Bronze,,,,,,,
2024,Abdelmaged Nour,Egypt,,251.20,41.87%,135/353,62.04%,Bronze,,,,,,,
2024,Ismail Fateen,Egypt,,165.33,27.55%,244/353,31.16%,,,,,,,,
2024,Yahia Emara,Egypt 2,,289.39,48.23%,,,Silver*,,,,,,,
2024,Mina Fouad,Egypt 2,,260.39,43.40%,,,Bronze*,,,,,,,
2024,Tarek Ahmed,Egypt 2,,223.00,37.17%,,,Bronze*,,,,,,,
2024,Nour Moubarak,Egypt 2,,160.50,26.75%,,,,,,,,,,
2023,Abdelmaged Nour,Egypt,,217.5,36.25%,96/350,72.86%,Bronze,,,,,,,
2023,Mohamed Bakry,Egypt,,213.0,35.50%,104/350,70.57%,Bronze,,,,,,,
2023,Yahia Elhawy,Egypt,,170.0,28.33%,156/350,55.71%,Bronze,,,,,,,
2023,Yahia Emara,Egypt,,164.5,27.42%,162/350,54.00%,Bronze,,,,,,,
2022,Abdelmaged Nour,Egypt,,164.12,27.35%,160/349,54.44%,Bronze,,,,,,,
2022,Mohamed Bakry,Egypt,,163.35,27.23%,162/349,53.87%,Bronze,,,,,,,
2022,Salman Elgamal,Egypt,,141.00,23.50%,183/349,47.85%,Honourable Mention,,,,,,,
2022,Ahmad Moursi,Egypt,,51.50,8.58%,281/349,19.77%,,,,,,,,
2021,Osama Alkhodairy,Egypt,,226,37.67%,139/351,60.68%,Bronze,,,,,,,
2021,Hazem Issa,Egypt,,207,34.50%,165/351,53.28%,Bronze,,,,,,,
2021,Mohamed Bakry,Egypt,,189,31.50%,195/351,44.73%,,,,,,,,
2021,Ahmad Moursi,Egypt,,186,31.00%,210/351,40.46%,,,,,,,,
2020,Mohamed Ehab,Egypt,,399.93,66.66%,57/343,83.67%,Silver,,,,,,,
2020,Mohamed Bakry,Egypt,,306.00,51.00%,110/343,68.22%,Bronze,,,,,,,
2020,Hazem Issa,Egypt,,286.75,47.79%,130/343,62.39%,Bronze,,,,,,,
2020,Osama Alkhodairy,Egypt,,258.16,43.03%,151/343,56.27%,Bronze,,,,,,,
2019,Mohamed Ehab,Egypt,,329.18,54.86%,82/327,75.23%,Silver,,,,,,,
2019,Osama Alkhodairy,Egypt,,241.75,40.29%,169/327,48.62%,,,,,,,,
2019,Hazem Issa,Egypt,,175.91,29.32%,236/327,28.13%,,,,,,,,
2019,Mahmoud Adel,Egypt,,162.07,27.01%,248/327,24.46%,,,,,,,,
2018,Mohamed Ehab,Egypt,,228,38.00%,128/335,62.09%,Bronze,,,,,,,
2018,Mahmoud Adel,Egypt,,147,24.50%,212/335,37.01%,,,,,,,,
2018,Mahmoud Badawy,Egypt,,125,20.83%,226/335,32.84%,,,,,,,,
2018,Mohamed Otefi,Egypt,,106,17.67%,241/335,28.36%,,,,,,,,
2016,Mahmoud Badawy,Egypt,,277,46.17%,114/308,63.31%,Bronze,,,,,,,
2016,Ahmed ElBatanony,Egypt,,239,39.83%,155/308,50.00%,,,,,,,,
2016,Sherif Nafee,Egypt,,112,18.67%,242/308,21.75%,,,,,,,,
2016,Ayman Gamal,Egypt,,62,10.33%,276/308,10.71%,,,,,,,,
2015,Yousef Ibrahim Salama,Egypt,,334.00,55.67%,78/322,76.09%,Silver,,,,,,,
2015,Nouran AbdElAziz,Egypt,,73.00,12.17%,265/322,18.01%,,,,,,,,
2015,Ahmed Morsy,Egypt,,63.00,10.50%,276/322,14.60%,,,,,,,,
2014,Mohamed Essam,Egypt,,171,28.50%,185/311,40.84%,,,,,,,,
2014,Ahmed Morsy,Egypt,,98,16.33%,234/311,25.08%,,,,,,,,
2014,Nouran AbdElAziz,Egypt,,63,10.50%,269/311,13.83%,,,,,,,,
2014,Yara AbdElLatif,Egypt,,53,8.83%,278/311,10.93%,,,,,,,,
2013,Omar Obeya,Egypt,,257,42.83%,130/299,56.86%,Bronze,,,,,,,
2013,Yousef Ibrahim Salama,Egypt,,222,37.00%,144/299,52.17%,Bronze,,,,,,,
2013,Mohamed Essam,Egypt,,111,18.50%,218/299,27.42%,,,,,,,,
2013,Ahmed Sherif,Egypt,,83,13.83%,236/299,21.40%,,,,,,,,
2012,Hosam Abd Elraouf,Egypt,,170,28.33%,140/310,55.16%,Bronze,,,,,,,
2012,Yousef Ibrahim Salama,Egypt,,157,26.17%,155/310,50.32%,Bronze,,,,,,,
2012,Omar Obeya,Egypt,,112,18.67%,201/310,35.48%,,,,,,,,
2012,Ziad Ouf,Egypt,,92,15.33%,214/310,31.29%,,,,,,,,
2011,Omar Ahmed Ali ElAzazy,Egypt,,428,71.33%,46/303,85.15%,Silver,,,,,,,
2011,Emad Farag  William,Egypt,,407,67.83%,57/303,81.52%,Silver,,,,,,,
2011,Ahmed Salem Ezzat,Egypt,,366,61.00%,82/303,73.27%,Bronze,,,,,,,
2011,Ahmed Mohamed Kamel,Egypt,,172,28.67%,220/303,27.72%,,,,,,,,
2010,Emad Farag  William,Egypt,656,80.00%,49/297,83.84%,Silver,,,,,,,,
2010,Omar Ahmed Ali ElAzazy,Egypt,562,68.54%,130/297,56.57%,Bronze,,,,,,,,
2010,Ahmed Salem Ezzat,Egypt,521,63.54%,158/297,47.14%,,,,,,,,,
2010,Hosam Zarara,Egypt,460,56.10%,187/297,37.37%,,,,,,,,,
2009,Ahmed Salem Ezzat,Egypt,482,60.25%,80/301,73.75%,Bronze,,,,,,,,
2009,Omar Ahmed Ali ElAzazy,Egypt,469,58.62%,87/301,71.43%,Bronze,,,,,,,,
2009,Emad Farag  William,Egypt,401,50.12%,142/301,53.16%,Bronze,,,,,,,,
2009,Islam Diaa El Din  El-Tayar,Egypt,,,,,,,,,,,,,
2008,Ahmed Salem Ezzat,Egypt,,175,29.17%,103/283,63.96%,Bronze,,,,,,,
2008,Omar Ahmed Ali ElAzazy,Egypt,,,,,,,,,,,,,
2008,Mohamed Abo Gindia,Egypt,,,,,,,,,,,,,
2008,Emad Farag  William,Egypt,,,,,,,,,,,,,
2008,Mohamed Hassan,Egypt 2,,,,,,,,,,,,,
2008,Islam Diaa El Din  El-Tayar,Egypt 2,,,,,,,,,,,,,
2008,Hader Morsy,Egypt 2,,,,,,,,,,,,,
2008,Ahmed Mohamed Kamel,Egypt 2,,,,,,,,,,,,,
2007,Mohamed Tawfik,Egypt,,,,,,,,,,,,,
2007,Mohamed Nour,Egypt,,,,,,,,,,,,,
2007,Ahmed Naguib,Egypt,,,,,,,,,,,,,
2007,Radwa Metwali,Egypt,,,,,,,,,,,,,
2006,Ahmed Naguib,Egypt,,228,38.00%,138/282,51.42%,Bronze,,,,,,,
2006,Moustafa Hosni,Egypt,,,,,,,,,,,,,
2006,Mostafa Ezzat Mohamed  Elbatsh,Egypt,,,,,,,,,,,,,
