Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Alejandro Vivero Puga,Spain,,402.16,67.03%,16/353,95.75%,Gold,,,,,,,
2024,Javier Badesa Pérez,Spain,,326.81,54.47%,53/353,85.27%,Silver,,,,,,,
2024,Daniel Nieto Pérez,Spain,,191.00,31.83%,208/353,41.36%,Honourable Mention,,,,,,,
2024,Héctor Verdeal Rodríguez,Spain,,123.61,20.60%,279/353,21.25%,,,,,,,,
2023,Innokentiy Kaurov,Spain,,238.5,39.75%,77/350,78.29%,Silver,,,,,,,
2023,Alejandro Vivero Puga,Spain,,230.0,38.33%,88/350,75.14%,Silver,,,,,,,
2023,Darío Martínez Ramírez,Spain,,224.5,37.42%,90/350,74.57%,Bronze,,,,,,,
2023,Pablo Sáez Reyes,Spain,,199.5,33.25%,121/350,65.71%,Bronze,,,,,,,
2022,Sergio Domínguez Alonso,Spain,,150.44,25.07%,171/349,51.29%,Bronze,,,,,,,
2022,Darío Martínez Ramírez,Spain,,133.00,22.17%,193/349,44.99%,Honourable Mention,,,,,,,
2022,Manuel Torres Cid,Spain,,98.63,16.44%,234/349,33.24%,,,,,,,,
2022,Hugo Domínguez Santana,Spain,,93.40,15.57%,238/349,32.09%,,,,,,,,
2021,Darío Martínez Ramírez,Spain,,184,30.67%,213/351,39.60%,,,,,,,,
2021,Bernat Pagès Vives,Spain,,181,30.17%,218/351,38.18%,,,,,,,,
2021,Oscar Garries Urbina,Spain,,130,21.67%,299/351,15.10%,,,,,,,,
2021,Joan Cintas Navarro,Spain,,112,18.67%,318/351,9.69%,,,,,,,,
2020,Javier Nistal Salas,Spain,,300.62,50.10%,117/343,66.18%,Bronze,,,,,,,
2020,Oscar Balcells Obeso,Spain,,239.71,39.95%,168/343,51.31%,Bronze,,,,,,,
2020,Víctor Conchello Vendrell,Spain,,217.00,36.17%,189/343,45.19%,,,,,,,,
2020,Blanca Huergo Muñoz,Spain,,179.32,29.89%,222/343,35.57%,,,,,,,,
2019,Javier Nistal Salas,Spain,,237.08,39.51%,173/327,47.40%,,,,,,,,
2019,Izan Beltrán Ferreiro,Spain,,197.44,32.91%,223/327,32.11%,,,,,,,,
2019,Martín Rodríguez Muñoz,Spain,,56.00,9.33%,305/327,7.03%,,,,,,,,
2019,Vicent Baeza Esteve,Spain,,17.50,2.92%,322/327,1.83%,,,,,,,,
2018,Alexander Vidal Zhukova,Spain,,213,35.50%,146/335,56.72%,Bronze,,,,,,,
2018,Felix Moreno Peñarrubia,Spain,,187,31.17%,167/335,50.45%,Bronze,,,,,,,
2018,Javier López-Contreras González,Spain,,157,26.17%,198/335,41.19%,,,,,,,,
2018,Max Balsells I Pamies,Spain,,102,17.00%,246/335,26.87%,,,,,,,,
2017,Jordi Guillem Rodríguez Manso,Spain,,109.76,18.29%,187/304,38.82%,,,,,,,,
2017,Alexander Vidal Zhukova,Spain,,72.67,12.11%,228/304,25.33%,,,,,,,,
2017,Javier López-Contreras González,Spain,,56.50,9.42%,250/304,18.09%,,,,,,,,
2017,Emilio Domínguez Sánchez,Spain,,27.00,4.50%,292/304,4.28%,,,,,,,,
2016,Jordi Guillem Rodríguez Manso,Spain,,245,40.83%,147/308,52.60%,Bronze,,,,,,,
2016,Jan Olivetti Auladell,Spain,,155,25.83%,213/308,31.17%,,,,,,,,
2016,Miquel Ortega Sánchez Colomer,Spain,,154,25.67%,215/308,30.52%,,,,,,,,
2016,Jordi Castellví Foguet,Spain,,97,16.17%,254/308,17.86%,,,,,,,,
2015,Joan Massachs Güell,Spain,,174.42,29.07%,169/322,47.83%,,,,,,,,
2015,Cesc Folch Aldehuelo,Spain,,170.00,28.33%,171/322,47.20%,,,,,,,,
2015,Miquel Ortega Sánchez Colomer,Spain,,141.00,23.50%,195/322,39.75%,,,,,,,,
