Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Kaarel Toomet,Estonia,,276.14,46.02%,111/353,68.84%,Bronze,,,,,,,
2024,Kristjan Lepp,Estonia,,269.81,44.97%,119/353,66.57%,Bronze,,,,,,,
2024,Arthur Harri Jaakko Antila,Estonia,,99.00,16.50%,295/353,16.71%,,,,,,,,
2024,Ralf Robert Paabo,Estonia,,96.00,16.00%,296/353,16.43%,,,,,,,,
2023,Ralf Robert Paabo,Estonia,,51.0,8.50%,294/350,16.29%,,,,,,,,
2023,Aleksander Karpov,Estonia,,46.0,7.67%,303/350,13.71%,,,,,,,,
2023,Kevin Akkermann,Estonia,,39.0,6.50%,313/350,10.86%,,,,,,,,
2023,Hans Gustav Kõljalg,Estonia,,21.0,3.50%,329/350,6.29%,,,,,,,,
2022,Marko Tsengov,Estonia,,129.75,21.62%,194/349,44.70%,Honourable Mention,,,,,,,
2022,Peeter Aleksander Randla,Estonia,,124.00,20.67%,203/349,42.12%,Honourable Mention,,,,,,,
2022,Olivia Tennisberg,Estonia,,99.00,16.50%,233/349,33.52%,,,,,,,,
2022,Kregor Ööbik,Estonia,,76.75,12.79%,250/349,28.65%,Honourable Mention,,,,,,,
2021,Andres Alumets,Estonia,,265,44.17%,103/351,70.94%,Bronze,,,,,,,
2021,Marko Tsengov,Estonia,,208,34.67%,163/351,53.85%,Bronze,,,,,,,
2021,Jaagup Tamme,Estonia,,187,31.17%,200/351,43.30%,,,,,,,,
2021,Kregor Ööbik,Estonia,,135,22.50%,292/351,17.09%,,,,,,,,
2020,Andres Alumets,Estonia,,274.00,45.67%,136/343,60.64%,Bronze,,,,,,,
2020,Jaagup Tamme,Estonia,,214.14,35.69%,191/343,44.61%,,,,,,,,
2020,Marko Tsengov,Estonia,,211.93,35.32%,193/343,44.02%,,,,,,,,
2020,Olivia Tennisberg,Estonia,,158.00,26.33%,239/343,30.61%,,,,,,,,
2019,Richard Luhtaru,Estonia,,335.56,55.93%,75/327,77.37%,Silver,,,,,,,
2019,Toomas Tennisberg,Estonia,,315.13,52.52%,98/327,70.34%,Bronze,,,,,,,
2019,Andres Alumets,Estonia,,269.45,44.91%,143/327,56.57%,Bronze,,,,,,,
2019,Jaagup Tamme,Estonia,,188.58,31.43%,229/327,30.28%,,,,,,,,
2018,Martin Širokov,Estonia,,270,45.00%,86/335,74.63%,Bronze,,,,,,,
2018,Richard Luhtaru,Estonia,,244,40.67%,111/335,67.16%,Bronze,,,,,,,
2018,Toomas Tennisberg,Estonia,,206,34.33%,150/335,55.52%,Bronze,,,,,,,
2018,Andres Alumets,Estonia,,87,14.50%,254/335,24.48%,,,,,,,,
2017,Taavet Kalda,Estonia,,250.44,41.74%,74/304,75.99%,Silver,,,,,,,
2017,Tähvend Uustalu,Estonia,,206.99,34.50%,107/304,65.13%,Bronze,,,,,,,
2017,Toomas Tennisberg,Estonia,,133.50,22.25%,159/304,48.03%,,,,,,,,
2017,Martin Širokov,Estonia,,33.00,5.50%,282/304,7.57%,,,,,,,,
2016,Toomas Tennisberg,Estonia,,331,55.17%,68/308,78.25%,Silver,,,,,,,
2016,Oliver Nisumaa,Estonia,,291,48.50%,107/308,65.58%,Bronze,,,,,,,
2016,Andres Unt,Estonia,,226,37.67%,161/308,48.05%,,,,,,,,
2016,Kristjan Kongas,Estonia,,212,35.33%,169/308,45.45%,,,,,,,,
2015,Andres Unt,Estonia,,253.45,42.24%,122/322,62.42%,Bronze,,,,,,,
2015,Toomas Tennisberg,Estonia,,187.45,31.24%,160/322,50.62%,Bronze,,,,,,,
2015,Simmo Saan,Estonia,,132.29,22.05%,207/322,36.02%,,,,,,,,
2015,Oliver Nisumaa,Estonia,,117.00,19.50%,220/322,31.99%,,,,,,,,
2014,Oliver-Matis Lill,Estonia,,323,53.83%,82/311,73.95%,Silver,,,,,,,
2014,Andres Unt,Estonia,,201,33.50%,168/311,46.30%,,,,,,,,
2014,Simmo Saan,Estonia,,90,15.00%,239/311,23.47%,,,,,,,,
2014,Siim Sammul,Estonia,,89,14.83%,242/311,22.51%,,,,,,,,
2013,Andres Erbsen,Estonia,,265,44.17%,123/299,59.20%,Bronze,,,,,,,
2013,Janno Veeorg,Estonia,,259,43.17%,128/299,57.53%,Bronze,,,,,,,
2013,Jaan Toots,Estonia,,229,38.17%,141/299,53.18%,Bronze,,,,,,,
2013,Oliver-Matis Lill,Estonia,,179,29.83%,178/299,40.80%,,,,,,,,
2012,Jaagup Repän,Estonia,,197,32.83%,101/310,67.74%,Bronze,,,,,,,
2012,Janno Veeorg,Estonia,,155,25.83%,156/310,50.00%,,,,,,,,
2012,Andres Erbsen,Estonia,,117,19.50%,196/310,37.10%,,,,,,,,
2012,Simmo Saan,Estonia,,99,16.50%,210/310,32.58%,,,,,,,,
2011,Jaagup Repän,Estonia,,341,56.83%,104/303,66.01%,Bronze,,,,,,,
2011,Ago Allikmaa,Estonia,,240,40.00%,179/303,41.25%,,,,,,,,
