Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Jonni Haapiainen,Finland,,349.20,58.20%,39/353,89.24%,Silver,,,,,,,
2024,Veikko Heikkinen,Finland,,335.70,55.95%,50/353,86.12%,Silver,,,,,,,
2024,Niilo Mikkola,Finland,,153.15,25.52%,259/353,26.91%,,,,,,,,
2024,Antero Nyberg,Finland,,95.31,15.88%,299/353,15.58%,,,,,,,,
2023,Veikko Heikkinen,Finland,,236.0,39.33%,81/350,77.14%,Silver,,,,,,,
2023,Leo Varis,Finland,,216.0,36.00%,101/350,71.43%,Bronze,,,,,,,
2023,Jonni Haapiainen,Finland,,161.0,26.83%,169/350,52.00%,Bronze,,,,,,,
2023,Anni Tapionlinna,Finland,,44.0,7.33%,308/350,12.29%,,,,,,,,
2022,Leo Varis,Finland,,147.30,24.55%,174/349,50.43%,Bronze,,,,,,,
2022,Henrik Aalto,Finland,,147.00,24.50%,175/349,50.14%,Bronze,,,,,,,
2022,Väinö Mäkelä,Finland,,101.40,16.90%,232/349,33.81%,,,,,,,,
2022,Elias Simojoki,Finland,,37.00,6.17%,302/349,13.75%,,,,,,,,
2021,Henrik Aalto,Finland,,315,52.50%,63/351,82.34%,Silver,,,,,,,
2021,Juho Röyskö,Finland,,290,48.33%,84/351,76.35%,Silver,,,,,,,
2021,Leo Varis,Finland,,202,33.67%,174/351,50.71%,,,,,,,,
2021,Juho Arala,Finland,,131,21.83%,297/351,15.67%,,,,,,,,
2020,Roope Salmi,Finland,,315.14,52.52%,99/343,71.43%,Bronze,,,,,,,
2020,Unto Karila,Finland,,277.64,46.27%,134/343,61.22%,Bronze,,,,,,,
2020,Juho Röyskö,Finland,,266.46,44.41%,146/343,57.73%,Bronze,,,,,,,
2020,Henrik Aalto,Finland,,174.00,29.00%,228/343,33.82%,,,,,,,,
2019,Santeri Toivonen,Finland,,280.77,46.80%,130/327,60.55%,Bronze,,,,,,,
2019,Olli Järviniemi,Finland,,256.33,42.72%,157/327,52.29%,Bronze,,,,,,,
2019,Roope Salmi,Finland,,219.00,36.50%,197/327,40.06%,,,,,,,,
2019,Tuukka Yildirim,Finland,,206.53,34.42%,210/327,36.09%,,,,,,,,
2018,Juha Harviainen,Finland,,293,48.83%,65/335,80.90%,Silver,,,,,,,
2018,Roope Salmi,Finland,,103,17.17%,245/335,27.16%,,,,,,,,
2018,Siiri Kuoppala,Finland,,64,10.67%,267/335,20.60%,,,,,,,,
2018,Santeri Toivonen,Finland,,60,10.00%,274/335,18.51%,,,,,,,,
2017,Juha Harviainen,Finland,,215.68,35.95%,102/304,66.78%,Bronze,,,,,,,
2017,Siiri Kuoppala,Finland,,171.05,28.51%,128/304,58.22%,Bronze,,,,,,,
2017,Antti Röyskö,Finland,,164.64,27.44%,130/304,57.57%,Bronze,,,,,,,
2017,Roope Salmi,Finland,,92.76,15.46%,202/304,33.88%,,,,,,,,
2016,Kalle Luopajärvi,Finland,,382,63.67%,41/308,87.01%,Silver,,,,,,,
2016,Hannes Ihalainen,Finland,,296,49.33%,101/308,67.53%,Bronze,,,,,,,
2016,Pietari Kaskela,Finland,,251,41.83%,142/308,54.22%,Bronze,,,,,,,
2016,Juha Harviainen,Finland,,163,27.17%,210/308,32.14%,,,,,,,,
2015,Kalle Luopajärvi,Finland,,415.42,69.24%,34/322,89.75%,Silver,,,,,,,
2015,Sami Kalliomäki,Finland,,289.42,48.24%,99/322,69.57%,Bronze,,,,,,,
2015,Tuukka Korhonen,Finland,,287.18,47.86%,101/322,68.94%,Bronze,,,,,,,
2015,Henrik Lievonen,Finland,,239.00,39.83%,133/322,59.01%,Bronze,,,,,,,
2014,Kalle Luopajärvi,Finland,,375,62.50%,60/311,81.03%,Silver,,,,,,,
2014,Sami Kalliomäki,Finland,,365,60.83%,64/311,79.74%,Silver,,,,,,,
2014,Henrik Lievonen,Finland,,246,41.00%,130/311,58.52%,Bronze,,,,,,,
2014,Petteri Timonen,Finland,,146,24.33%,199/311,36.33%,,,,,,,,
2013,Kalle Luopajärvi,Finland,,289,48.17%,113/299,62.54%,Bronze,,,,,,,
2013,Sami Kalliomäki,Finland,,257,42.83%,130/299,56.86%,Bronze,,,,,,,
2013,Henrik Lievonen,Finland,,107,17.83%,220/299,26.76%,,,,,,,,
2012,Jasse Lahdenperä,Finland,,193,32.17%,107/310,65.81%,Bronze,,,,,,,
2012,Andrei Cramariuc,Finland,,192,32.00%,111/310,64.52%,Bronze,,,,,,,
2012,Sami Kalliomäki,Finland,,150,25.00%,160/310,48.71%,,,,,,,,
2012,Joonatan Saarhelo,Finland,,110,18.33%,203/310,34.84%,,,,,,,,
2011,Andrei Cramariuc,Finland,,320,53.33%,116/303,62.05%,Bronze,,,,,,,
2011,Johannes Laire,Finland,,276,46.00%,148/303,51.49%,Bronze,,,,,,,
2011,Jasse Lahdenperä,Finland,,190,31.67%,207/303,32.01%,,,,,,,,
2010,Johannes Laire,Finland,626,76.34%,69/297,77.10%,Silver,,,,,,,,
2010,Nuutti Hölttä,Finland,554,67.56%,136/297,54.55%,Bronze,,,,,,,,
2010,Joonas Haapala,Finland,484,59.02%,181/297,39.39%,,,,,,,,,
2010,Santtu Keskinen,Finland,444,54.15%,193/297,35.35%,,,,,,,,,
2009,Jussi Kokkala,Finland,425,53.12%,121/301,60.13%,Bronze,,,,,,,,
2009,Nuutti Hölttä,Finland,,,,,,,,,,,,,
2009,Santtu Keskinen,Finland,,,,,,,,,,,,,
2009,Lari Sinisalo,Finland,,,,,,,,,,,,,
2008,Mikko Sysikaski,Finland,,166,27.67%,105/283,63.25%,Bronze,,,,,,,
