Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Oscar Fischler,France,,342.33,57.05%,47/353,86.97%,Silver,,,,,,,
2024,Anatole Bouton,France,,313.25,52.21%,66/353,81.59%,Silver,,,,,,,
2024,Raphaël Pons,France,,287.70,47.95%,91/353,74.50%,Bronze,,,,,,,
2024,Anton Avilov,France,,239.00,39.83%,151/353,57.51%,Bronze,,,,,,,
2023,Oscar Fischler,France,,282.5,47.08%,46/350,87.14%,Silver,,,,,,,
2023,Charles Dai,France,,265.5,44.25%,59/350,83.43%,Silver,,,,,,,
2023,Théo Hollender,France,,162.0,27.00%,167/350,52.57%,Bronze,,,,,,,
2023,Ronan Legros,France,,92.0,15.33%,249/350,29.14%,,,,,,,,
2022,François Vogel,France,,291.03,48.51%,69/349,80.52%,Silver,,,,,,,
2022,Charles Dai,France,,268.00,44.67%,83/349,76.50%,Silver,,,,,,,
2022,Alice Tosel,France,,134.00,22.33%,191/349,45.56%,,,,,,,,
2022,Yann Viegas,France,,85.00,14.17%,247/349,29.51%,,,,,,,,
2021,Oscar Fischler,France,,255,42.50%,111/351,68.66%,Bronze,,,,,,,
2021,Justin Cahuzac,France,,246,41.00%,124/351,64.96%,Bronze,,,,,,,
2021,Alice Tosel,France,,187,31.17%,200/351,43.30%,,,,,,,,
2021,Charles Dai,France,,172,28.67%,239/351,32.19%,,,,,,,,
2020,Rémy Kimbrough,France,,304.00,50.67%,112/343,67.64%,Bronze,,,,,,,
2020,Sven Meyer,France,,274.00,45.67%,136/343,60.64%,Bronze,,,,,,,
2020,Justin Cahuzac,France,,184.00,30.67%,220/343,36.15%,,,,,,,,
2020,Grégoire Le Corre,France,,169.68,28.28%,233/343,32.36%,,,,,,,,
2019,Arthur Léonard,France,,452.65,75.44%,10/327,97.25%,Gold,,,,,,,
2019,Etienne Rossignol,France,,409.24,68.21%,31/327,90.83%,Silver,,,,,,,
2019,Hugo Peyraud-Magnin,France,,362.69,60.45%,55/327,83.49%,Silver,,,,,,,
2019,Rémy Kimbrough,France,,329.99,55.00%,81/327,75.54%,Silver,,,,,,,
2018,Théophane Vallaeys,France,,334,55.67%,30/335,91.34%,Silver,,,,,,,
2018,Etienne Rossignol,France,,323,53.83%,39/335,88.66%,Silver,,,,,,,
