Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Samuel Trajtenberg,United Kingdom,,395.70,65.95%,17/353,95.47%,Gold,,,,,,,
2024,Hanks Chong,United Kingdom,,346.71,57.78%,42/353,88.39%,Silver,,,,,,,
2024,Adavya Goyal,United Kingdom,,278.62,46.44%,106/353,70.25%,Bronze,,,,,,,
2024,Anango Prabhat,United Kingdom,,205.33,34.22%,190/353,46.46%,Honourable Mention,,,,,,,
2023,Erekle Roinishvili,United Kingdom,,371.5,61.92%,16/350,95.71%,Gold,,,,,,,
2023,Hanks Chong,United Kingdom,,216.5,36.08%,100/350,71.71%,Bronze,,,,,,,
2023,Samuel Trajtenberg,United Kingdom,,183.0,30.50%,142/350,59.71%,Bronze,,,,,,,
2023,Akshaiyram Reguram,United Kingdom,,,,,,,,,,,,,
2022,Erekle Roinishvili,United Kingdom,,305.04,50.84%,61/349,82.81%,Silver,,,,,,,
2022,Hanks Chong,United Kingdom,,237.00,39.50%,101/349,71.35%,Bronze,,,,,,,
2022,Ojas Gulati,United Kingdom,,143.00,23.83%,179/349,49.00%,Honourable Mention,,,,,,,
2022,Toby Collins,United Kingdom,,74.40,12.40%,252/349,28.08%,,,,,,,,
2021,Erekle Roinishvili,United Kingdom,,249,41.50%,122/351,65.53%,Bronze,,,,,,,
2021,James Tan,United Kingdom,,237,39.50%,132/351,62.68%,Bronze,,,,,,,
2021,Antoni Pilat,United Kingdom,,220,36.67%,147/351,58.40%,Bronze,,,,,,,
2021,Benedek Szilvasy,United Kingdom,,161,26.83%,257/351,27.07%,,,,,,,,
2020,Euan Ong,United Kingdom,,326.43,54.41%,91/343,73.76%,Bronze,,,,,,,
2020,Aron Thomas,United Kingdom,,301.43,50.24%,116/343,66.47%,Bronze,,,,,,,
2020,James Tan,United Kingdom,,293.04,48.84%,123/343,64.43%,Bronze,,,,,,,
2020,Kevin Lee,United Kingdom,,261.10,43.52%,150/343,56.56%,Bronze,,,,,,,
2019,Benedict Randall Shaw,United Kingdom,,288.74,48.12%,120/327,63.61%,Bronze,,,,,,,
2019,Zachary Smith,United Kingdom,,272.15,45.36%,140/327,57.49%,Bronze,,,,,,,
2019,Euan Ong,United Kingdom,,198.49,33.08%,221/327,32.72%,,,,,,,,
2019,Arthur Conmy,United Kingdom,,120.00,20.00%,280/327,14.68%,,,,,,,,
2018,Shaun Marshall,United Kingdom,,288,48.00%,71/335,79.10%,Silver,,,,,,,
2018,Basim Khajwal,United Kingdom,,219,36.50%,135/335,60.00%,Bronze,,,,,,,
2018,Harvey Yau,United Kingdom,,216,36.00%,141/335,58.21%,Bronze,,,,,,,
2018,Fox Thomson,United Kingdom,,181,30.17%,172/335,48.96%,,,,,,,,
2017,Joseph Benton,United Kingdom,,434.81,72.47%,6/304,98.36%,Gold,,,,,,,
2017,Thomas Read,United Kingdom,,307.37,51.23%,39/304,87.50%,Silver,,,,,,,
2017,Neel Nanda,United Kingdom,,223.09,37.18%,98/304,68.09%,Bronze,,,,,,,
