Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Nikoloz Melikishvili,Georgia,,248.85,41.48%,140/353,60.62%,Bronze,,,,,,,
2024,Irakli Sulamanidze,Georgia,,205.28,34.21%,191/353,46.18%,Honourable Mention,,,,,,,
2024,Otar Tsibadze,Georgia,,202.00,33.67%,196/353,44.76%,Honourable Mention,,,,,,,
2024,Davit Dzadzamia,Georgia,,143.00,23.83%,266/353,24.93%,,,,,,,,
2023,Tarash Dolaberidze,Georgia,,236.0,39.33%,81/350,77.14%,Silver,,,,,,,
2023,Luka Mosiashvili,Georgia,,205.0,34.17%,116/350,67.14%,Bronze,,,,,,,
2023,Luka Meladze,Georgia,,191.5,31.92%,129/350,63.43%,Bronze,,,,,,,
2023,Irakli Sulamanidze,Georgia,,181.0,30.17%,144/350,59.14%,Bronze,,,,,,,
2022,Ketevan Tsimakuridze,Georgia,,263.05,43.84%,85/349,75.93%,Silver,,,,,,,
2022,David Memarnishvili,Georgia,,242.08,40.35%,98/349,72.21%,Bronze,,,,,,,
2022,Luka Mosiashvili,Georgia,,185.60,30.93%,136/349,61.32%,Bronze,,,,,,,
2022,George Chkhaidze,Georgia,,86.75,14.46%,244/349,30.37%,,,,,,,,
2021,Giorgi Nadareishvili,Georgia,,224,37.33%,144/351,59.26%,Bronze,,,,,,,
2021,Archil Basadzishvili,Georgia,,200,33.33%,178/351,49.57%,,,,,,,,
2021,Luka Mosiashvili,Georgia,,199,33.17%,182/351,48.43%,,,,,,,,
2021,Giorgi Kobakhia,Georgia,,177,29.50%,225/351,36.18%,,,,,,,,
2020,Nikoloz Birkadze,Georgia,,520.75,86.79%,15/343,95.92%,Gold,,,,,,,
2020,Teimurazi Toloraia,Georgia,,517.43,86.24%,16/343,95.63%,Gold,,,,,,,
2020,Archil Basadzishvili,Georgia,,338.10,56.35%,86/343,75.22%,Silver,,,,,,,
2020,Luka Mushkudiani,Georgia,,294.14,49.02%,122/343,64.72%,Bronze,,,,,,,
2019,Nikoloz Birkadze,Georgia,,435.75,72.62%,15/327,95.72%,Gold,,,,,,,
2019,Teimurazi Toloraia,Georgia,,326.46,54.41%,85/327,74.31%,Bronze,,,,,,,
2019,Bakari Gamezardashvili,Georgia,,267.15,44.52%,145/327,55.96%,Bronze,,,,,,,
2019,Davit Khvedelidze,Georgia,,166.00,27.67%,245/327,25.38%,,,,,,,,
