Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2011,Elias Konadu Awudu,Ghana,,26,4.33%,275/303,9.57%,,,,,,,,
2010,Elias Konadu Awudu,Ghana,296,36.10%,247/297,17.17%,,,,,,,,,
2010,Jonathan Mishiame,Ghana,150,18.29%,274/297,8.08%,,,,,,,,,
2010,Cecil Arthur,Ghana,0,0.00%,290/297,2.69%,,,,,,,,,
2009,Mena Aba Tanoah Coleman,Ghana,,,,,,,,,,,,,
2009,Priscilla Asare-Debra,Ghana,,,,,,,,,,,,,
2009,Joel Maafo Budu,Ghana,,,,,,,,,,,,,
2009,Elias Konadu Awudu,Ghana,,,,,,,,,,,,,
2008,Priscilla Asare-Debra,Ghana,,,,,,,,,,,,,
2008,Joel Maafo Budu,Ghana,,,,,,,,,,,,,
2008,Elias Konadu Awudu,Ghana,,,,,,,,,,,,,
2008,Ama Peprah Asare,Ghana,,,,,,,,,,,,,
