Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Panagiotis Paskalis,Greece,,286.70,47.78%,93/353,73.94%,Bronze,,,,,,,
2024,Markos Radaios,Greece,,272.20,45.37%,117/353,67.14%,Bronze,,,,,,,
2024,Lazaros Karageorgiou,Greece,,182.62,30.44%,225/353,36.54%,,,,,,,,
2024,Georgios-Diomedes Varvaresos,Greece,,168.00,28.00%,243/353,31.44%,,,,,,,,
2023,Panagiotis Paskalis,Greece,,186.0,31.00%,138/350,60.86%,Bronze,,,,,,,
2023,Markos Radaios,Greece,,113.0,18.83%,230/350,34.57%,,,,,,,,
2023,Lazaros Karageorgiou,Greece,,112.5,18.75%,232/350,34.00%,,,,,,,,
2023,Panagiotis Liampas,Greece,,64.0,10.67%,283/350,19.43%,,,,,,,,
2022,Markos Radaios,Greece,,113.50,18.92%,213/349,39.26%,,,,,,,,
2022,Sokratis Iliadis,Greece,,62.75,10.46%,266/349,24.07%,,,,,,,,
2022,Panagiotis Liampas,Greece,,19.00,3.17%,335/349,4.30%,,,,,,,,
2022,Andreas Rasvanis,Greece,,15.75,2.62%,338/349,3.44%,,,,,,,,
2021,Markos Radaios,Greece,,164,27.33%,249/351,29.34%,,,,,,,,
2021,Panagiotis Liampas,Greece,,162,27.00%,256/351,27.35%,,,,,,,,
2021,Andreas Rasvanis,Greece,,95,15.83%,326/351,7.41%,,,,,,,,
2021,Bokis Dimitrios,Greece,,78,13.00%,333/351,5.41%,,,,,,,,
2020,Evangelos Pipis,Greece,,435.86,72.64%,43/343,87.76%,Silver,,,,,,,
2020,Anastasios Panagopoulos,Greece,,288.93,48.16%,129/343,62.68%,Bronze,,,,,,,
2020,Athanasios Taprantzis,Greece,,66.00,11.00%,303/343,11.95%,,,,,,,,
2020,Panagiotis Chatzimichos,Greece,,11.00,1.83%,336/343,2.33%,,,,,,,,
2019,Anastasios Panagopoulos,Greece,,315.87,52.65%,97/327,70.64%,Bronze,,,,,,,
2019,Dimitrios Rontogiannis,Greece,,219.00,36.50%,197/327,40.06%,,,,,,,,
2019,Evangelos Pipis,Greece,,216.98,36.16%,199/327,39.45%,,,,,,,,
2019,Panagiotis Chatzimichos,Greece,,110.00,18.33%,287/327,12.54%,,,,,,,,
2018,Charilaos Pipis,Greece,,273,45.50%,81/335,76.12%,Silver,,,,,,,
2018,Anastasios Panagopoulos,Greece,,259,43.17%,97/335,71.34%,Bronze,,,,,,,
2018,Evangelos Pipis,Greece,,242,40.33%,115/335,65.97%,Bronze,,,,,,,
2018,Dimitrios Rontogiannis,Greece,,137,22.83%,221/335,34.33%,,,,,,,,
2017,Giannis Tyrovolas,Greece,,145.00,24.17%,147/304,51.97%,Bronze,,,,,,,
2017,Charilaos Pipis,Greece,,137.82,22.97%,151/304,50.66%,Bronze,,,,,,,
2017,Dimitrios Rontogiannis,Greece,,60.03,10.01%,241/304,21.05%,,,,,,,,
2017,Dimitrios Iatrakis,Greece,,20.00,3.33%,294/304,3.62%,,,,,,,,
2016,Aristofanis Rontogiannis,Greece,,311,51.83%,85/308,72.73%,Bronze,,,,,,,
2016,Rafail Ketsetsidis,Greece,,206,34.33%,177/308,42.86%,,,,,,,,
2016,Emmanuil Michalainas,Greece,,200,33.33%,184/308,40.58%,,,,,,,,
2016,Konstantinos Agiannis,Greece,,194,32.33%,189/308,38.96%,,,,,,,,
2015,Aristofanis Rontogiannis,Greece,,270.55,45.09%,109/322,66.46%,Bronze,,,,,,,
2015,Konstantinos Agiannis,Greece,,165.45,27.57%,173/322,46.58%,,,,,,,,
2015,Panagiotis Kostopanagiotis,Greece,,160.46,26.74%,176/322,45.65%,,,,,,,,
2015,Emmanuil Michalainas,Greece,,124.00,20.67%,209/322,35.40%,,,,,,,,
2014,Dimitrios Los,Greece,,236,39.33%,139/311,55.63%,Bronze,,,,,,,
2014,Aristofanis Rontogiannis,Greece,,227,37.83%,149/311,52.41%,Bronze,,,,,,,
2014,Georgios Christoglou,Greece,,146,24.33%,199/311,36.33%,,,,,,,,
2014,Georgios Venizelos,Greece,,59,9.83%,274/311,12.22%,,,,,,,,
2013,Georgios Karagkiaouris,Greece,,214,35.67%,154/299,48.83%,,,,,,,,
2013,Georgios Christoglou,Greece,,112,18.67%,216/299,28.09%,,,,,,,,
2013,Panagiotis Kostopanagiotis,Greece,,70,11.67%,243/299,19.06%,,,,,,,,
2013,Dimitrios Los,Greece,,,,,,,,,,,,,
2012,Evangelos Kipouridis,Greece,,270,45.00%,53/310,83.23%,Silver,,,,,,,
2012,Konstantinos Kanellis,Greece,,150,25.00%,160/310,48.71%,,,,,,,,
2012,Dimitrios Los,Greece,,118,19.67%,193/310,38.06%,,,,,,,,
2012,Sotirios Panagiotou,Greece,,103,17.17%,207/310,33.55%,,,,,,,,
2011,Kyriakos Axiotis,Greece,,313,52.17%,123/303,59.74%,Bronze,,,,,,,
2011,Christos Porios,Greece,,199,33.17%,204/303,33.00%,,,,,,,,
2011,Evangelos Kipouridis,Greece,,190,31.67%,207/303,32.01%,,,,,,,,
2011,Nikolaos Tzamos,Greece,,81,13.50%,252/303,17.16%,,,,,,,,
2010,Gerasimos Arsenis,Greece,600,73.17%,95/297,68.35%,Bronze,,,,,,,,
2010,Kyriakos Axiotis,Greece,416,50.73%,206/297,30.98%,,,,,,,,,
2010,Alexandros Tasos,Greece,335,40.85%,238/297,20.20%,,,,,,,,,
2010,Nikolaos Tzamos,Greece,283,34.51%,251/297,15.82%,,,,,,,,,
2009,Georgios Panagiotakos,Greece,410,51.25%,135/301,55.48%,Bronze,,,,,,,,
2009,Gerasimos Arsenis,Greece,,,,,,,,,,,,,
2009,Apostolis Gaitanidis,Greece,,,,,,,,,,,,,
2009,Georgios Mpitzes,Greece,,,,,,,,,,,,,
2008,Ioannis Chatzimichos,Greece,,214,35.67%,79/283,72.44%,Bronze,,,,,,,
2008,Gerasimos Arsenis,Greece,,,,,,,,,,,,,
2008,Georgios Panagiotakos,Greece,,,,,,,,,,,,,
2008,Georgios Bitzes,Greece,,,,,,,,,,,,,
2007,Ioannis Chatzimichos,Greece,,250,41.67%,96/285,66.67%,Bronze,,,,,,,
2007,Christos-Apos Mantoulidis,Greece,,236,39.33%,114/285,60.35%,Bronze,,,,,,,
2007,Georgios Bitzes,Greece,,,,,,,,,,,,,
2007,Aris Kagias,Greece,,,,,,,,,,,,,
2006,Christos Tzamos,Greece,,371,61.83%,30/282,89.72%,Silver,,,,,,,
2006,Christos-Apos Mantoulidis,Greece,,319,53.17%,72/282,74.82%,Silver,,,,,,,
2006,Ioannis Chatzimichos,Greece,,,,,,,,,,,,,
2006,Dionysios Zindros,Greece,,,,,,,,,,,,,
2005,Georgios Karnas,Greece,,,,,,,,,,,,,
2005,Christos Tzamos,Greece,,,,,,,,,,,,,
2005,Christos-Apos Mantoulidis,Greece,,,,,,,,,,,,,
2005,Ioannis Panageas,Greece,,,,,,,,,,,,,
2004,Eleftherios Katsivelos,Greece,,,,,,,,,,,,,
2004,Ioannis Panageas,Greece,,,,,,,,,,,,,
2004,Michail Zervos,Greece,,,,,,,,,,,,,
2004,Theocharis Athanasakis,Greece,,,,,,,,,,,,,
2004,Christos Savvopoulos,Greece 2,,,,,,,,,,,,,
2004,Michail Bitzes,Greece 2,,,,,,,,,,,,,
2004,Panagiotis Nostimos,Greece 2,,,,,,,,,,,,,
2004,Panagiotis Tigkas,Greece 2,,,,,,,,,,,,,
2003,Andrew Doumanoglou,Greece,,182.0,30.33%,120/265,55.09%,Bronze,,,,,,,
2003,Theocharis Athanasakis,Greece,,,,,,,,,,,,,
2003,Michail Bitzes,Greece,,,,,,,,,,,,,
2003,Christos Savvopoulos,Greece,,,,,,,,,,,,,
2002,Xarlampos Tsimpouris,Greece,,,,,,,,,,,,,
2002,Milos Tziotas,Greece,,,,,,,,,,,,,
2002,Christos Savvopoulos,Greece,,,,,,,,,,,,,
2002,Theocharis Athanasakis,Greece,,,,,,,,,,,,,
2001,Ioannis Tsoukalidis,Greece,,295,49.17%,57/272,79.41%,Silver,,,,,,,
2001,Dimitris Tsitsipis,Greece,,,,,,,,,,,,,
2001,Tim Zadorozhny,Greece,,,,,,,,,,,,,
2001,Panayiotis Lipiridis,Greece,,,,,,,,,,,,,
2000,Ioannis Tsoukalidis,Greece,,350,50.00%,91/278,67.63%,Bronze,,,,,,,
2000,Panayiotis Lipiridis,Greece,,,,,,,,,,,,,
2000,Dimitris Apostolou,Greece,,,,,,,,,,,,,
2000,Kimon Kontosis,Greece,,,,,,,,,,,,,
1999,Charilaos Ernopoulos,Greece,,174,29.00%,104/253,59.29%,Bronze,,,,,,,
1999,Spiros Moyrgoyiannis,Greece,,,,,,,,,,,,,
1999,Kimon Kontosis,Greece,,,,,,,,,,,,,
1999,Ioannis Tsoukalidis,Greece,,,,,,,,,,,,,
1998,Ioannis Tsoukalidis,Greece,,420,60.00%,85/241,65.15%,Bronze,,,,,,,
1998,Vasilieios Vasaitis,Greece,,260,37.14%,132/241,45.64%,,,,,,,,
1998,Athinodoros Panagiotidis,Greece,,210,30.00%,149/241,38.59%,,,,,,,,
1998,Spiros Moyrgoyiannis,Greece,,100,14.29%,184/241,24.07%,,,,,,,,
1997,Athinodoros Panagiotidis,Greece,,292,48.67%,56/221,75.11%,Bronze,,,,,,,
1997,Apostolos Dimitromanolakis,Greece,,247,41.17%,76/221,66.06%,Bronze,,,,,,,
1997,Georgios Tzoumas,Greece,,44,7.33%,196/221,11.76%,,,,,,,,
1997,Ioannis Tsoukalidis,Greece,,29,4.83%,201/221,9.50%,,,,,,,,
1996,Athinodoros Panagiotidis,Greece,,99,49.50%,110/220,50.45%,,,,,,,,
1996,Petros Tsantoulis,Greece,,81,40.50%,134/220,39.55%,,,,,,,,
1996,Athanisios Makris,Greece,,72,36.00%,145/220,34.55%,,,,,,,,
1996,Apostolos Dimitromanolakis,Greece,,68,34.00%,154/220,30.45%,,,,,,,,
1995,Kostas Konstantinidis,Greece,,46,23.00%,153/210,27.62%,,,,,,,,
1995,Tasos Sidiropoulos,Greece,,46,23.00%,153/210,27.62%,,,,,,,,
1995,George Markou,Greece,,42,21.00%,160/210,24.29%,,,,,,,,
1995,Nick Sarris,Greece,,6,3.00%,194/210,8.10%,,,,,,,,
1995,Vasiliki Fragou,Greece,,4,2.00%,197/210,6.67%,,,,,,,,
1994,George Markou,Greece,,,,,,,,,,,,,
1994,Stefanos Piperoglou,Greece,,,,,,,,,,,,,
1994,Bill Ntemos,Greece,,,,,,,,,,,,,
1994,Ilias Volanakis,Greece,,,,,,,,,,,,,
1993,Spyros Papadimitriou,Greece,,133,66.50%,65/155,58.71%,Bronze,,,,,,,
1992,Adonis Kavarnos,Greece,,130,65.00%,78/171,54.97%,Bronze,,,,,,,
1992,Spyros Papadimitriou,Greece,,,,,,,,,,,,,
1992,Thanasis Chrisos,Greece,,,,,,,,,,,,,
1991,Thanasis Chrisos,Greece,,112,56.00%,37/68,47.06%,Bronze,,,,,,,
1991,Panagiotis Kalnis,Greece,,105,52.50%,40/68,42.65%,Bronze,,,,,,,
1991,Tony Printezis,Greece,,105,52.50%,40/68,42.65%,Bronze,,,,,,,
1991,Nikos Tsarbopoulos,Greece 2,,108,54.00%,,,Bronze*,,,,,,,
1991,Aristidis Harbis,Greece 2,,15,7.50%,,,,,,,,,,
1991,Tasos Tsiboukelis,Greece 2,,15,7.50%,,,,,,,,,,
1991,Dimitris Vasiliadis,Greece 2,,15,7.50%,,,,,,,,,,
1991,Alexis Chouchoulas,Greece 2,,5,2.50%,,,,,,,,,,
1990,Panagiotis Kalnis,Greece,,,,,,,,,,,,,
1990,Alexis Chouchoulas,Greece,,,,,,,,,,,,,
1990,Sarlis,Greece,,,,,,,,,,,,,
1989,Apostolos Lerios,Greece,,65,65.00%,15/46,69.57%,Bronze,,,,,,,
1989,D. Mavroidis,Greece,,50,50.00%,24/46,50.00%,,,,,,,,
1989,M. Stavropoulos,Greece,,10,10.00%,38/46,19.57%,,,,,,,,
