Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Dino Hadžić,Croatia,,276.00,46.00%,113/353,68.27%,Bronze,,,,,,,
2024,Nikola Vujica,Croatia,,269.15,44.86%,120/353,66.29%,Bronze,,,,,,,
2024,Jakov Celin,Croatia,,254.65,42.44%,133/353,62.61%,Bronze,,,,,,,
2024,Lovro Tunjić,Croatia,,251.35,41.89%,134/353,62.32%,Bronze,,,,,,,
2023,Fran Babić,Croatia,,217.0,36.17%,98/350,72.29%,Bronze,,,,,,,
2023,Toni Brajko,Croatia,,159.0,26.50%,171/350,51.43%,Bronze,,,,,,,
2023,Ivan Janjić,Croatia,,156.5,26.08%,174/350,50.57%,Bronze,,,,,,,
2023,Lara Semeš,Croatia,,146.0,24.33%,186/350,47.14%,Honourable Mention,,,,,,,
2022,Dorijan Lendvaj,Croatia,,486.95,81.16%,13/349,96.56%,Gold,,,,,,,
2022,Patrick Pavić,Croatia,,470.00,78.33%,20/349,94.56%,Gold,,,,,,,
2022,Matej Vojvodić,Croatia,,256.39,42.73%,90/349,74.50%,Bronze,,,,,,,
2022,Ivan Janjić,Croatia,,134.24,22.37%,190/349,45.85%,Honourable Mention,,,,,,,
2021,Dorijan Lendvaj,Croatia,,432,72.00%,14/351,96.30%,Gold,,,,,,,
2021,Patrick Pavić,Croatia,,415,69.17%,16/351,95.73%,Gold,,,,,,,
2021,Vito Anić,Croatia,,302,50.33%,72/351,79.77%,Silver,,,,,,,
2021,Krešimir Nežmah,Croatia,,246,41.00%,124/351,64.96%,Bronze,,,,,,,
2020,Patrick Pavić,Croatia,,521.43,86.91%,14/343,96.21%,Gold,,,,,,,
2020,Dorijan Lendvaj,Croatia,,476.14,79.36%,31/343,91.25%,Silver,,,,,,,
2020,Krešimir Nežmah,Croatia,,370.62,61.77%,71/343,79.59%,Silver,,,,,,,
2020,Martin Josip Kocijan,Croatia,,308.24,51.37%,106/343,69.39%,Bronze,,,,,,,
2019,Patrick Pavić,Croatia,,399.97,66.66%,34/327,89.91%,Silver,,,,,,,
2019,Krešimir Nežmah,Croatia,,358.95,59.83%,57/327,82.87%,Silver,,,,,,,
2019,Dorijan Lendvaj,Croatia,,287.05,47.84%,123/327,62.69%,Bronze,,,,,,,
2019,Pavel Kliska,Croatia,,281.33,46.89%,128/327,61.16%,Bronze,,,,,,,
2018,Josip Klepec,Croatia,,296,49.33%,57/335,83.28%,Silver,,,,,,,
2018,Paula Vidas,Croatia,,287,47.83%,72/335,78.81%,Silver,,,,,,,
2018,Leonard Inkret,Croatia,,232,38.67%,123/335,63.58%,Bronze,,,,,,,
2018,Dominik Fistric,Croatia,,169,28.17%,186/335,44.78%,,,,,,,,
2017,Josip Klepec,Croatia,,300.36,50.06%,43/304,86.18%,Silver,,,,,,,
2017,Josip Kelava,Croatia,,258.18,43.03%,70/304,77.30%,Silver,,,,,,,
2017,Vilim Lendvaj,Croatia,,255.32,42.55%,72/304,76.64%,Silver,,,,,,,
2017,Adrian Beker,Croatia,,120.00,20.00%,173/304,43.42%,,,,,,,,
2016,Domagoj Bradač,Croatia,,403,67.17%,31/308,90.26%,Silver,,,,,,,
2016,Adrian Beker,Croatia,,314,52.33%,83/308,73.38%,Bronze,,,,,,,
2016,Vilim Lendvaj,Croatia,,281,46.83%,111/308,64.29%,Bronze,,,,,,,
2016,Marin Kišić,Croatia,,210,35.00%,171/308,44.81%,,,,,,,,
2015,Ivan Lazarić,Croatia,,393.02,65.50%,45/322,86.34%,Silver,,,,,,,
2015,Tonko Sabolčec,Croatia,,381.45,63.58%,49/322,85.09%,Silver,,,,,,,
2015,Domagoj Bradač,Croatia,,364.45,60.74%,59/322,81.99%,Silver,,,,,,,
2015,Mihael Liskij,Croatia,,256.45,42.74%,119/322,63.35%,Bronze,,,,,,,
2014,Mislav Balunović,Croatia,,378,63.00%,58/311,81.67%,Silver,,,,,,,
2014,Dominik Gleich,Croatia,,375,62.50%,60/311,81.03%,Silver,,,,,,,
2014,Mislav Bradač,Croatia,,284,47.33%,112/311,64.31%,Bronze,,,,,,,
2014,Tonko Sabolčec,Croatia,,200,33.33%,169/311,45.98%,,,,,,,,
2013,Mislav Balunović,Croatia,,435,72.50%,44/299,85.62%,Silver,,,,,,,
2013,Domagoj Ćevid,Croatia,,383,63.83%,71/299,76.59%,Silver,,,,,,,
2013,Ivan Lazarić,Croatia,,284,47.33%,118/299,60.87%,Bronze,,,,,,,
2013,Mislav Bradač,Croatia,,215,35.83%,151/299,49.83%,,,,,,,,
2012,Marin Tomic,Croatia,,396,66.00%,18/310,94.52%,Gold,,,,,,,
2012,Domagoj Ćevid,Croatia,,309,51.50%,40/310,87.42%,Silver,,,,,,,
2012,Antun Razum,Croatia,,256,42.67%,60/310,80.97%,Silver,,,,,,,
2012,Dominik Gleich,Croatia,,244,40.67%,72/310,77.10%,Silver,,,,,,,
2011,Ivica Kičić,Croatia,,526,87.67%,13/303,96.04%,Gold,,,,,,,
2011,Ivan Katanić,Croatia,,524,87.33%,14/303,95.71%,Gold,,,,,,,
2011,Gustav Matula,Croatia,,478,79.67%,26/303,91.75%,Gold,,,,,,,
2011,Matija Milišić,Croatia,,342,57.00%,103/303,66.34%,Bronze,,,,,,,
2010,Ivica Kičić,Croatia,694,84.63%,15/297,95.29%,Gold,,,,,,,,
2010,Ivan Katanić,Croatia,644,78.54%,56/297,81.48%,Silver,,,,,,,,
2010,Stjepan Glavina,Croatia,637,77.68%,60/297,80.13%,Silver,,,,,,,,
2010,Adrian Satja Kurdija,Croatia,620,75.61%,75/297,75.08%,Silver,,,,,,,,
2009,Stjepan Glavina,Croatia,624,78.00%,21/301,93.36%,Gold,,,,,,,,
2009,Ivan Pilat,Croatia,546,68.25%,46/301,85.05%,Silver,,,,,,,,
2009,Goran Žužić,Croatia,539,67.38%,52/301,83.06%,Silver,,,,,,,,
2009,Jakša Markotić,Croatia,529,66.12%,57/301,81.40%,Silver,,,,,,,,
2008,Goran Žužić,Croatia,,466,77.67%,5/283,98.59%,Gold,,,,,,,
2008,Ivo Sluganovic,Croatia,,272,45.33%,42/283,85.51%,Silver,,,,,,,
2008,Bruno Rahle,Croatia,,152,25.33%,118/283,58.66%,Bronze,,,,,,,
2008,Adrian Satja Kurdija,Croatia,,152,25.33%,118/283,58.66%,Bronze,,,,,,,
2007,Goran Žužić,Croatia,,514,85.67%,4/285,98.95%,Gold,,,,,,,
2007,Igor Čanadi,Croatia,,315,52.50%,55/285,81.05%,Silver,,,,,,,
2007,Domagoj Kusalić,Croatia,,250,41.67%,96/285,66.67%,Bronze,,,,,,,
2007,Relja Medić,Croatia,,250,41.67%,96/285,66.67%,Bronze,,,,,,,
2007,Filip Pavetić,Croatia 2,,256,42.67%,,,Bronze*,,,,,,,
2007,Bruno Rahle,Croatia 2,,188,31.33%,,,Bronze*,,,,,,,
2007,Matija Osrecki,Croatia 2,,,,,,,,,,,,,
2007,Viktor Braut,Croatia 2,,,,,,,,,,,,,
2006,Marko Ivankovic,Croatia,,343,57.17%,53/282,81.56%,Silver,,,,,,,
2006,Igor Bonači,Croatia,,336,56.00%,60/282,79.08%,Silver,,,,,,,
2006,Tomislav Grbin,Croatia,,311,51.83%,78/282,72.70%,Bronze,,,,,,,
2006,Goran Žužić,Croatia,,292,48.67%,89/282,68.79%,Bronze,,,,,,,
