Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,István Ádám Molnár,Hungary,,402.67,67.11%,14/353,96.32%,Gold,,,,,,,
2024,Pál Czanik,Hungary,,308.14,51.36%,71/353,80.17%,Silver,,,,,,,
2024,Zsombor Bata,Hungary,,211.70,35.28%,183/353,48.44%,Honourable Mention,,,,,,,
2024,Tamás Görömbey,Hungary,,195.00,32.50%,203/353,42.78%,,,,,,,,
2023,István Ádám Molnár,Hungary,,209.5,34.92%,107/350,69.71%,Bronze,,,,,,,
2023,Lőrinc Máté,Hungary,,198.0,33.00%,122/350,65.43%,Bronze,,,,,,,
2023,Márton Németh,Hungary,,179.0,29.83%,147/350,58.29%,Bronze,,,,,,,
2023,Pál Czanik,Hungary,,127.0,21.17%,215/350,38.86%,Honourable Mention,,,,,,,
2023,Bernát Tarján,Hungary 2,,270.0,45.00%,,,Silver*,,,,,,,
2023,Máté Fülöp,Hungary 2,,179.0,29.83%,,,Bronze*,,,,,,,
2023,Marcell Németh,Hungary 2,,167.0,27.83%,,,Bronze*,,,,,,,
2023,Bendegúz Péter Vámosi,Hungary 2,,137.0,22.83%,,,Honourable Mention*,,,,,,,
2022,István Ádám Molnár,Hungary,,263.00,43.83%,86/349,75.64%,Silver,,,,,,,
2022,Pál Czanik,Hungary,,228.71,38.12%,112/349,68.19%,Bronze,,,,,,,
2022,Márton Németh,Hungary,,141.15,23.52%,182/349,48.14%,Honourable Mention,,,,,,,
2022,Lőrinc Máté,Hungary,,128.48,21.41%,198/349,43.55%,Honourable Mention,,,,,,,
2021,Gellért Tóth,Hungary,,308,51.33%,68/351,80.91%,Silver,,,,,,,
2021,Kornél Szabó,Hungary,,236,39.33%,133/351,62.39%,Bronze,,,,,,,
2021,Péter Varga,Hungary,,207,34.50%,165/351,53.28%,Bronze,,,,,,,
2021,Márton Németh,Hungary,,148,24.67%,275/351,21.94%,,,,,,,,
2020,Péter Gyimesi,Hungary,,396.75,66.12%,59/343,83.09%,Silver,,,,,,,
2020,Balázs Tóth,Hungary,,373.59,62.27%,70/343,79.88%,Silver,,,,,,,
2020,Nándor Nagy,Hungary,,354.14,59.02%,79/343,77.26%,Silver,,,,,,,
2020,Áron Noszály,Hungary,,348.30,58.05%,81/343,76.68%,Silver,,,,,,,
2019,Balázs Tóth,Hungary,,418.26,69.71%,27/327,92.05%,Gold,,,,,,,
2019,Nándor Nagy,Hungary,,280.47,46.74%,131/327,60.24%,Bronze,,,,,,,
2019,Bálint Molnár,Hungary,,246.33,41.05%,167/327,49.24%,,,,,,,,
2019,Áron Noszály,Hungary,,209.63,34.94%,209/327,36.39%,,,,,,,,
2018,Attila Gáspár,Hungary,,305,50.83%,49/335,85.67%,Silver,,,,,,,
2018,Zoltán Gábor Molnár-Sáska,Hungary,,254,42.33%,104/335,69.25%,Bronze,,,,,,,
2018,Orsolya Lili Janzer,Hungary,,205,34.17%,151/335,55.22%,Bronze,,,,,,,
2018,Áron Noszály,Hungary,,204,34.00%,154/335,54.33%,Bronze,,,,,,,
2017,Attila Gáspár,Hungary,,391.24,65.21%,14/304,95.72%,Gold,,,,,,,
2017,Péter Mernyei,Hungary,,303.00,50.50%,41/304,86.84%,Silver,,,,,,,
2017,Orsolya Lili Janzer,Hungary,,233.08,38.85%,90/304,70.72%,Bronze,,,,,,,
2017,László Radnai,Hungary,,44.00,7.33%,271/304,11.18%,,,,,,,,
