Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Matthew Allan,Indonesia,,324.89,54.15%,56/353,84.42%,Silver,,,,,,,
2024,Aufan Ahmad Mumtaza,Indonesia,,322.69,53.78%,59/353,83.57%,Silver,,,,,,,
2024,Kelven Nathanael,Indonesia,,302.70,50.45%,78/353,78.19%,Silver,,,,,,,
2024,Gunadi Gani,Indonesia,,227.81,37.97%,165/353,53.54%,Bronze,,,,,,,
2023,Vannes Wijaya,Indonesia,,287.0,47.83%,42/350,88.29%,Silver,,,,,,,
2023,Albert Ariel Putra,Indonesia,,284.5,47.42%,44/350,87.71%,Silver,,,,,,,
2023,Matthew Allan,Indonesia,,233.0,38.83%,84/350,76.29%,Silver,,,,,,,
2023,Joel Gunawan,Indonesia,,218.0,36.33%,94/350,73.43%,Bronze,,,,,,,
2022,Albert Yulius Ramahalim,Indonesia,,303.00,50.50%,62/349,82.52%,Silver,,,,,,,
2022,Joseph Oliver Lim,Indonesia,,273.37,45.56%,81/349,77.08%,Silver,,,,,,,
2022,Maximilliano Utomo Quok,Indonesia,,247.50,41.25%,97/349,72.49%,Bronze,,,,,,,
2022,Juan Carlo Vieri,Indonesia,,214.25,35.71%,118/349,66.48%,Bronze,,,,,,,
2022,Vannes Wijaya,Indonesia 2,,279.35,46.56%,,,Silver*,,,,,,,
2022,Andrew,Indonesia 2,,250.91,41.82%,,,Bronze*,,,,,,,
2022,Albert Ariel Putra,Indonesia 2,,236.00,39.33%,,,Bronze*,,,,,,,
2022,Matthew Allan,Indonesia 2,,222.75,37.12%,,,Bronze*,,,,,,,
2021,Pikatan Arya Bramajati,Indonesia,,376,62.67%,28/351,92.31%,Gold,,,,,,,
2021,Nicholas Patrick,Indonesia,,322,53.67%,58/351,83.76%,Silver,,,,,,,
2021,Rama Aryasuta Pangestu,Indonesia,,317,52.83%,61/351,82.91%,Silver,,,,,,,
2021,Edbert Geraldy Cangdinata,Indonesia,,300,50.00%,77/351,78.35%,Silver,,,,,,,
2020,Pikatan Arya Bramajati,Indonesia,,529.43,88.24%,13/343,96.50%,Gold,,,,,,,
2020,Rama Aryasuta Pangestu,Indonesia,,345.62,57.60%,84/343,75.80%,Silver,,,,,,,
2020,Edbert Geraldy Cangdinata,Indonesia,,304.93,50.82%,111/343,67.93%,Bronze,,,,,,,
2020,Dasco Gabriel,Indonesia,,262.96,43.83%,147/343,57.43%,Bronze,,,,,,,
2019,Abdul Malik Nurrokhman,Indonesia,,435.43,72.57%,16/327,95.41%,Gold,,,,,,,
2019,R. Fausta Anugrah Dianparama,Indonesia,,344.17,57.36%,68/327,79.51%,Silver,,,,,,,
2019,Vincent Ling,Indonesia,,333.77,55.63%,77/327,76.76%,Silver,,,,,,,
2019,Moses Mayer,Indonesia,,284.19,47.37%,126/327,61.77%,Bronze,,,,,,,
2018,Steven Wijaya,Indonesia,,326,54.33%,33/335,90.45%,Silver,,,,,,,
2018,Abdul Malik Nurrokhman,Indonesia,,319,53.17%,41/335,88.06%,Silver,,,,,,,
2018,Ahmad Haulian Yoga Pratama,Indonesia,,272,45.33%,84/335,75.22%,Silver,,,,,,,
2018,Muhammad Salman Al Farisi,Indonesia,,230,38.33%,125/335,62.99%,Bronze,,,,,,,
2017,Sergio Vieri,Indonesia,,256.52,42.75%,71/304,76.97%,Silver,,,,,,,
2017,Yehezkiel Raymundo Theodoroes,Indonesia,,227.07,37.84%,95/304,69.08%,Bronze,,,,,,,
2017,Steven Wijaya,Indonesia,,221.95,36.99%,99/304,67.76%,Bronze,,,,,,,
2017,Lung Sin Kwee,Indonesia,,190.00,31.67%,115/304,62.50%,Bronze,,,,,,,
2016,Lung Sin Kwee,Indonesia,,306,51.00%,89/308,71.43%,Bronze,,,,,,,
2016,Stacia Edina Johanna,Indonesia,,289,48.17%,110/308,64.61%,Bronze,,,,,,,
2016,Muhammad Yusuf Sholeh,Indonesia,,256,42.67%,135/308,56.49%,Bronze,,,,,,,
2016,Sergio Vieri,Indonesia,,251,41.83%,142/308,54.22%,Bronze,,,,,,,
2015,Michael Wibawa,Indonesia,,341.42,56.90%,71/322,78.26%,Silver,,,,,,,
2015,Agus Sentosa Hermawan,Indonesia,,334.45,55.74%,76/322,76.71%,Silver,,,,,,,
2015,Muhammad Ayaz Dzulfikar,Indonesia,,269.45,44.91%,112/322,65.53%,Bronze,,,,,,,
2015,Stacia Edina Johanna,Indonesia,,118.45,19.74%,214/322,33.85%,,,,,,,,
2014,Alfonsus Raditya Arsadjaja,Indonesia,,273,45.50%,117/311,62.70%,Bronze,,,,,,,
2014,Muhammad Rais Fathin Mudzakir,Indonesia,,265,44.17%,119/311,62.06%,Bronze,,,,,,,
2014,Zamil Majdy,Indonesia,,240,40.00%,135/311,56.91%,Bronze,,,,,,,
2014,Stefano Chiesa Suryanto,Indonesia,,230,38.33%,143/311,54.34%,Bronze,,,,,,,
2013,Nathan Azaria,Indonesia,,448,74.67%,34/299,88.96%,Silver,,,,,,,
2013,Jonathan Irvin Gunawan,Indonesia,,411,68.50%,58/299,80.94%,Silver,,,,,,,
2013,Ammar Fathin Sabili,Indonesia,,289,48.17%,113/299,62.54%,Bronze,,,,,,,
2013,Stefano Chiesa Suryanto,Indonesia,,277,46.17%,119/299,60.54%,Bronze,,,,,,,
2012,Nathan Azaria,Indonesia,,329,54.83%,37/310,88.39%,Silver,,,,,,,
2012,Jonathan Irvin Gunawan,Indonesia,,232,38.67%,82/310,73.87%,Bronze,,,,,,,
2012,Muhammad Aji Muharrom,Indonesia,,195,32.50%,105/310,66.45%,Bronze,,,,,,,
2012,Cakra Wishnu Wardhana,Indonesia,,181,30.17%,121/310,61.29%,Bronze,,,,,,,
2011,Frederikus Hudi,Indonesia,,366,61.00%,82/303,73.27%,Bronze,,,,,,,
2011,William Gozali,Indonesia,,279,46.50%,145/303,52.48%,Bronze,,,,,,,
2011,Reinhart Abdiel Hermanus,Indonesia,,262,43.67%,159/303,47.85%,,,,,,,,
2011,Jessica Handojo,Indonesia,,244,40.67%,176/303,42.24%,,,,,,,,
2010,Alham Fikri Aji,Indonesia,634,77.32%,63/297,79.12%,Silver,,,,,,,,
2010,Ashar Fuadi,Indonesia,623,75.98%,70/297,76.77%,Silver,,,,,,,,
2010,Christianto Handojo,Indonesia,595,72.56%,103/297,65.66%,Bronze,,,,,,,,
2010,Harta Wijaya,Indonesia,532,64.88%,153/297,48.82%,,,,,,,,,
2009,Angelina Veni Johanna,Indonesia,506,63.25%,69/301,77.41%,Silver,,,,,,,,
2009,Reinardus Surya Pradhitya,Indonesia,502,62.75%,71/301,76.74%,Silver,,,,,,,,
2009,Risan,Indonesia,445,55.62%,102/301,66.45%,Bronze,,,,,,,,
2009,Christianto Handojo,Indonesia,,,,,,,,,,,,,
2008,Irvan Jahja,Indonesia,,361,60.17%,22/283,92.58%,Gold,,,,,,,
2008,Reinardus Surya Pradhitya,Indonesia,,213,35.50%,82/283,71.38%,Bronze,,,,,,,
2008,Risan,Indonesia,,184,30.67%,100/283,65.02%,Bronze,,,,,,,
2008,Listiarso Wastuargo,Indonesia,,153,25.50%,116/283,59.36%,Bronze,,,,,,,
2007,Brian Marshal,Indonesia,,230,38.33%,116/285,59.65%,Bronze,,,,,,,
2007,Riza Oktavian Nugraha Suminto,Indonesia,,208,34.67%,128/285,55.44%,Bronze,,,,,,,
2007,Ricky Jeremiah Djajadi,Indonesia,,205,34.17%,131/285,54.39%,Bronze,,,,,,,
2007,Karol Danutama,Indonesia,,203,33.83%,132/285,54.04%,Bronze,,,,,,,
