Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Kshitij Sodani,India,,376.31,62.72%,21/353,94.33%,Gold,,,,,,,
2024,Sushil Raaja Umasudhan,India,,326.64,54.44%,55/353,84.70%,Silver,,,,,,,
2024,Samik Goyal,India,,311.35,51.89%,67/353,81.30%,Silver,,,,,,,
2024,Yash Thakker,India,,244.11,40.69%,144/353,59.49%,Bronze,,,,,,,
2023,Kshitij Sodani,India,,387.0,64.50%,13/350,96.57%,Gold,,,,,,,
2023,Shreyan Ray,India,,246.5,41.08%,72/350,79.71%,Silver,,,,,,,
2023,Paras Kasmalkar,India,,244.5,40.75%,74/350,79.14%,Silver,,,,,,,
2023,Sushil Raaja Umasudhan,India,,187.5,31.25%,135/350,61.71%,Bronze,,,,,,,
2022,Kshitij Sodani,India,,354.93,59.16%,41/349,88.54%,Silver,,,,,,,
2022,Paras Kasmalkar,India,,296.80,49.47%,66/349,81.38%,Silver,,,,,,,
2022,Ritul Kumar Singh,India,,225.53,37.59%,113/349,67.91%,Bronze,,,,,,,
2022,Harshin Posina,India,,147.00,24.50%,175/349,50.14%,Bronze,,,,,,,
2021,Kshitij Sodani,India,,330,55.00%,52/351,85.47%,Silver,,,,,,,
2021,Udit Sanghi,India,,330,55.00%,52/351,85.47%,Silver,,,,,,,
2021,Pranjal Srivastava,India,,242,40.33%,128/351,63.82%,Bronze,,,,,,,
2021,Aditya Jain,India,,200,33.33%,178/351,49.57%,,,,,,,,
2020,Rajarshi Basu,India,,359.14,59.86%,73/343,79.01%,Silver,,,,,,,
2020,Udit Sanghi,India,,357.94,59.66%,74/343,78.72%,Silver,,,,,,,
2020,Shashwat Chandra,India,,311.73,51.95%,103/343,70.26%,Bronze,,,,,,,
2020,Kshitij Sodani,India,,271.98,45.33%,140/343,59.48%,Bronze,,,,,,,
2019,Adhyyan Sekhsaria,India,,332.93,55.49%,78/327,76.45%,Silver,,,,,,,
2019,Rajarshi Basu,India,,292.03,48.67%,117/327,64.53%,Bronze,,,,,,,
2019,Shashwat Chandra,India,,229.00,38.17%,187/327,43.12%,,,,,,,,
2019,Anay Karnik,India,,195.00,32.50%,226/327,31.19%,,,,,,,,
2018,Adhyyan Sekhsaria,India,,162,27.00%,193/335,42.69%,,,,,,,,
2018,Ramchandra Kishor Apte,India,,110,18.33%,238/335,29.25%,,,,,,,,
2018,Mohammad Zaid,India,,53,8.83%,283/335,15.82%,,,,,,,,
2018,Choudhury Istasis Mishra,India,,31,5.17%,304/335,9.55%,,,,,,,,
2017,Sidhant Bansal,India,,237.00,39.50%,85/304,72.37%,Bronze,,,,,,,
2017,Srijon Mukherjee,India,,232.85,38.81%,91/304,70.39%,Bronze,,,,,,,
2017,Sampriti Panda,India,,221.14,36.86%,100/304,67.43%,Bronze,,,,,,,
2017,Nalin Bhardwaj,India,,33.00,5.50%,282/304,7.57%,,,,,,,,
2016,Srijon Mukherjee,India,,350,58.33%,58/308,81.49%,Silver,,,,,,,
2016,Rajat De,India,,330,55.00%,69/308,77.92%,Silver,,,,,,,
2016,Malvika Raj Joshi,India,,281,46.83%,111/308,64.29%,Bronze,,,,,,,
2016,Sampriti Panda,India,,268,44.67%,121/308,61.04%,Bronze,,,,,,,
2015,Malvika Raj Joshi,India,,437.55,72.92%,28/322,91.61%,Silver,,,,,,,
2015,Tanay Nilesh Kothari,India,,260.55,43.42%,117/322,63.98%,Bronze,,,,,,,
2015,Kushagra Juneja,India,,242.55,40.42%,131/322,59.63%,Bronze,,,,,,,
2015,Arjun Pitchanathan,India,,196.42,32.74%,152/322,53.11%,Bronze,,,,,,,
2014,Akshat Bubna,India,,472,78.67%,16/311,95.18%,Gold,,,,,,,
2014,Malvika Raj Joshi,India,,437,72.83%,34/311,89.39%,Silver,,,,,,,
2014,Pushkar Mishra,India,,221,36.83%,154/311,50.80%,,,,,,,,
2014,Nihal Pednekar,India,,138,23.00%,209/311,33.12%,,,,,,,,
2013,Nikhil Tadigoppula,India,,332,55.33%,91/299,69.90%,Bronze,,,,,,,
2013,Amartya Shankha Biswas,India,,307,51.17%,103/299,65.89%,Bronze,,,,,,,
2013,Nihal Pednekar,India,,238,39.67%,138/299,54.18%,Bronze,,,,,,,
2013,Akshat Bubna,India,,227,37.83%,143/299,52.51%,Bronze,,,,,,,
2012,Amartya Shankha Biswas,India,,232,38.67%,82/310,73.87%,Bronze,,,,,,,
2012,Nikhil Tadigoppula,India,,113,18.83%,200/310,35.81%,,,,,,,,
2012,Kunal Singhal,India,,62,10.33%,250/310,19.68%,,,,,,,,
2012,Chirag Gupta,India,,21,3.50%,288/310,7.42%,,,,,,,,
2011,Akashnil Dutta,India,,373,62.17%,74/303,75.91%,Silver,,,,,,,
2011,Ajay Ravindran,India,,315,52.50%,121/303,60.40%,Bronze,,,,,,,
2011,Abhratanu Dutta,India,,223,37.17%,188/303,38.28%,,,,,,,,
2011,Amartya Shankha Biswas,India,,190,31.67%,207/303,32.01%,,,,,,,,
2010,Anish Shankar,India,660,80.49%,46/297,84.85%,Silver,,,,,,,,
2010,Keshav Dhandhania,India,641,78.17%,57/297,81.14%,Silver,,,,,,,,
2010,Siddharth Krishna,India,592,72.20%,105/297,64.98%,Bronze,,,,,,,,
2010,Archit Karandikar,India,565,68.90%,127/297,57.58%,Bronze,,,,,,,,
2009,Adhiraj Somani,India,520,65.00%,61/301,80.07%,Silver,,,,,,,,
2009,Prashant Vasudevan,India,479,59.88%,82/301,73.09%,Bronze,,,,,,,,
2009,Keshav Dhandhania,India,466,58.25%,91/301,70.10%,Bronze,,,,,,,,
2009,Srivatsan Balakrishnan,India,,,,,,,,,,,,,
2008,Srivatsan Balakrishnan,India,,202,33.67%,88/283,69.26%,Bronze,,,,,,,
2008,Nadeem Moidu,India,,128,21.33%,139/283,51.24%,Bronze,,,,,,,
2008,Pradeep Mathias,India,,127,21.17%,140/283,50.88%,Bronze,,,,,,,
2008,Aayush Singhal,India,,,,,,,,,,,,,
2007,Raziman Thottungal Valapu,India,,300,50.00%,61/285,78.95%,Silver,,,,,,,
2007,Srivatsan Balakrishnan,India,,255,42.50%,88/285,69.47%,Bronze,,,,,,,
2007,Arindam Saha,India,,200,33.33%,133/285,53.68%,Bronze,,,,,,,
2007,B Venkatesh,India,,,,,,,,,,,,,
2006,Harpreet Singh,India,,344,57.33%,50/282,82.62%,Silver,,,,,,,
2006,Swarun Kumar Suresh Kumar,India,,267,44.50%,102/282,64.18%,Bronze,,,,,,,
2006,Prateek Karandikar,India,,241,40.17%,124/282,56.38%,Bronze,,,,,,,
2006,Kshitij Bansal,India,,,,,,,,,,,,,
2005,Kshitij Bansal,India,,420,70.00%,54/276,80.80%,Silver,,,,,,,
2005,Harpreet Singh,India,,400,66.67%,67/276,76.09%,Silver,,,,,,,
