Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Yuan Li,Ireland,,204.62,34.10%,192/353,45.89%,Honourable Mention,,,,,,,
2024,Piotr Stelmaszek,Ireland,,117.85,19.64%,282/353,20.40%,,,,,,,,
2024,Fionn Kimber O'Shea,Ireland,,89.50,14.92%,305/353,13.88%,,,,,,,,
2024,Shuyang Feng,Ireland,,24.00,4.00%,341/353,3.68%,,,,,,,,
2023,Isaac Lee,Ireland,,151.0,25.17%,180/350,48.86%,Honourable Mention,,,,,,,
2023,Ayushi Mahajan,Ireland,,102.0,17.00%,245/350,30.29%,,,,,,,,
2023,Yuan Li,Ireland,,88.0,14.67%,255/350,27.43%,,,,,,,,
2023,Fionn Kimber O'Shea,Ireland,,24.0,4.00%,325/350,7.43%,,,,,,,,
2022,Ayushi Mahajan,Ireland,,72.00,12.00%,253/349,27.79%,,,,,,,,
2022,Isaac Lee,Ireland,,72.00,12.00%,253/349,27.79%,,,,,,,,
2022,Benjamin Faltin,Ireland,,43.40,7.23%,297/349,15.19%,,,,,,,,
2022,Ruadhán Mac Giolla Phádraig,Ireland,,35.00,5.83%,308/349,12.03%,,,,,,,,
2021,Suneet Mahajan,Ireland,,289,48.17%,85/351,76.07%,Silver,,,,,,,
2021,Oisin Davey,Ireland,,217,36.17%,151/351,57.26%,Bronze,,,,,,,
2021,Benjamin Murray,Ireland,,120,20.00%,307/351,12.82%,,,,,,,,
2021,Ayushi Mahajan,Ireland,,119,19.83%,310/351,11.97%,,,,,,,,
2020,Suneet Mahajan,Ireland,,206.32,34.39%,199/343,42.27%,,,,,,,,
2020,Oisin Davey,Ireland,,132.00,22.00%,253/343,26.53%,,,,,,,,
2020,Adam Kelly,Ireland,,30.00,5.00%,326/343,5.25%,,,,,,,,
2020,Harvey Brezina Conniffe,Ireland,,30.00,5.00%,326/343,5.25%,,,,,,,,
2019,Kieran Horgan,Ireland,,302.25,50.38%,102/327,69.11%,Bronze,,,,,,,
2019,Caolan Fleming,Ireland,,200.00,33.33%,219/327,33.33%,,,,,,,,
2019,Oisin Davey,Ireland,,131.00,21.83%,271/327,17.43%,,,,,,,,
2019,Andrew Nash,Ireland,,66.00,11.00%,301/327,8.26%,,,,,,,,
2018,Kieran Horgan,Ireland,,204,34.00%,154/335,54.33%,Bronze,,,,,,,
2018,John Ryan,Ireland,,119,19.83%,230/335,31.64%,,,,,,,,
2018,Oisín O'Duibhir,Ireland,,46,7.67%,291/335,13.43%,,,,,,,,
2018,Caolan Fleming,Ireland,,45,7.50%,293/335,12.84%,,,,,,,,
2017,John Ryan,Ireland,,102.88,17.15%,192/304,37.17%,,,,,,,,
2017,Kieran Horgan,Ireland,,83.05,13.84%,211/304,30.92%,,,,,,,,
2017,Oisín O'Duibhir,Ireland,,74.29,12.38%,225/304,26.32%,,,,,,,,
2017,Aidan Molloy,Ireland,,56.16,9.36%,251/304,17.76%,,,,,,,,
2016,Teofil Camarasu,Ireland,,228,38.00%,160/308,48.38%,,,,,,,,
2016,Kieran Horgan,Ireland,,117,19.50%,235/308,24.03%,,,,,,,,
2016,Eoin Davey,Ireland,,89,14.83%,258/308,16.56%,,,,,,,,
2016,John Ryan,Ireland,,34,5.67%,290/308,6.17%,,,,,,,,
2015,Teofil Camarasu,Ireland,,92.45,15.41%,243/322,24.84%,,,,,,,,
2015,Áron Hoffmann,Ireland,,53.00,8.83%,287/322,11.18%,,,,,,,,
2015,Daniel Mulcahy,Ireland,,37.00,6.17%,299/322,7.45%,,,,,,,,
2015,Noah Donnelly,Ireland,,25.00,4.17%,310/322,4.04%,,,,,,,,
2014,Richard Tynan,Ireland,,257,42.83%,125/311,60.13%,Bronze,,,,,,,
2014,Daniel Mulcahy,Ireland,,143,23.83%,205/311,34.41%,,,,,,,,
2014,Conor Griffin,Ireland,,125,20.83%,214/311,31.51%,,,,,,,,
2014,Áron Hoffmann,Ireland,,44,7.33%,284/311,9.00%,,,,,,,,
2013,Richard Tynan,Ireland,,184,30.67%,174/299,42.14%,,,,,,,,
2013,Maciej Goszczycki,Ireland,,140,23.33%,197/299,34.45%,,,,,,,,
2012,Abdullah Mohammad,Ireland,,63,10.50%,248/310,20.32%,,,,,,,,
2012,Conor Flynn,Ireland,,60,10.00%,253/310,18.71%,,,,,,,,
2012,Maciej Goszczycki,Ireland,,21,3.50%,288/310,7.42%,,,,,,,,
2012,Richard Tynan,Ireland,,0,0.00%,300/310,3.55%,,,,,,,,
2011,Shane Martin Walsh,Ireland,,83,13.83%,251/303,17.49%,,,,,,,,
2011,Sam Ivan Hugh Boles,Ireland,,60,10.00%,259/303,14.85%,,,,,,,,
2011,Thomas Anthony Dunne,Ireland,,27,4.50%,272/303,10.56%,,,,,,,,
2011,Donncha O Cearbhaill,Ireland,,26,4.33%,275/303,9.57%,,,,,,,,
2010,Donncha O Cearbhaill,Ireland,238,29.02%,262/297,12.12%,,,,,,,,,
2010,Jared Auty,Ireland,150,18.29%,274/297,8.08%,,,,,,,,,
2009,David McCarthy,Ireland,400,50.00%,144/301,52.49%,Bronze,,,,,,,,
2009,Brian Walsh,Ireland,,,,,,,,,,,,,
2009,Jared Auty,Ireland,,,,,,,,,,,,,
2009,Simon Peter Free,Ireland,,,,,,,,,,,,,
2008,Kevin Leo,Ireland,,,,,,,,,,,,,
2008,Harry Cameron,Ireland,,,,,,,,,,,,,
2008,Brian Walsh,Ireland,,,,,,,,,,,,,
2007,Stephen Dolan,Ireland,,191,31.83%,139/285,51.58%,Bronze,,,,,,,
2007,Barry Hurley,Ireland,,,,,,,,,,,,,
2007,Katie O'mahony,Ireland,,,,,,,,,,,,,
2007,Joshua Tobin,Ireland,,,,,,,,,,,,,
2006,Stephen Dolan,Ireland,,351,58.50%,47/282,83.69%,Silver,,,,,,,
2006,Barry Hurley,Ireland,,,,,,,,,,,,,
2006,Cian Hughes,Ireland,,,,,,,,,,,,,
2006,Michael Clear,Ireland,,,,,,,,,,,,,
2005,Martin Orr,Ireland,,483,80.50%,25/276,91.30%,Silver,,,,,,,
2005,Alex Clossick,Ireland,,,,,,,,,,,,,
2005,Stephen Dolan,Ireland,,,,,,,,,,,,,
2005,Cian Hughes,Ireland,,,,,,,,,,,,,
2004,Martin Orr,Ireland,,400,66.67%,48/291,83.85%,Silver,,,,,,,
2004,Alex Clossick,Ireland,,,,,,,,,,,,,
2004,Daniel Kersten,Ireland,,,,,,,,,,,,,
2004,Jonathon Bolster,Ireland,,,,,,,,,,,,,
2003,Martin Orr,Ireland,,404.1,67.35%,11/265,96.23%,Gold,,,,,,,
2003,Robert Cunningham,Ireland,,,,,,,,,,,,,
2003,Daniel Kersten,Ireland,,,,,,,,,,,,,
2003,Kenneth Barrett,Ireland,,,,,,,,,,,,,
2002,Martin Orr,Ireland,,178,29.67%,101/276,63.77%,Bronze,,,,,,,
2002,Eamon Phelan,Ireland,,,,,,,,,,,,,
2002,Robert Cunningham,Ireland,,,,,,,,,,,,,
2002,Daniel Irvine,Ireland,,,,,,,,,,,,,
2001,Niall Moran,Ireland,,,,,,,,,,,,,
2001,Daniel Irvine,Ireland,,,,,,,,,,,,,
2001,Eamon Phelan,Ireland,,,,,,,,,,,,,
2001,Nicolas Nash,Ireland,,,,,,,,,,,,,
2000,Liyang Hu,Ireland,,,,,,,,,,,,,
2000,Eoin O Fiachain,Ireland,,,,,,,,,,,,,
2000,Vincent Foley,Ireland,,,,,,,,,,,,,
2000,Eamon Phelan,Ireland,,,,,,,,,,,,,
1999,Ciarán O'Conaire,Ireland,,182,30.33%,98/253,61.66%,Bronze,,,,,,,
1999,Vincent Foley,Ireland,,,,,,,,,,,,,
1999,Oisin Suttle,Ireland,,,,,,,,,,,,,
1999,Sean Byrne,Ireland,,,,,,,,,,,,,
1998,Robert Beattie,Ireland,,360,51.43%,108/241,55.60%,Bronze,,,,,,,
1998,Ciarán O'Conaire,Ireland,,220,31.43%,144/241,40.66%,,,,,,,,
1998,James Martin,Ireland,,120,17.14%,173/241,28.63%,,,,,,,,
1998,Oisin Suttle,Ireland,,60,8.57%,197/241,18.67%,,,,,,,,
1997,Eoin Curran,Ireland,,302,50.33%,55/221,75.57%,Silver,,,,,,,
1997,Robert Beattie,Ireland,,218,36.33%,99/221,55.66%,Bronze,,,,,,,
1997,Paul Mcclave,Ireland,,147,24.50%,143/221,35.75%,,,,,,,,
1997,Colin Watson,Ireland,,45,7.50%,195/221,12.22%,,,,,,,,
1996,Eoin Curran,Ireland,,138,69.00%,66/220,70.45%,Bronze,,,,,,,
1996,Colin Watson,Ireland,,111,55.50%,95/220,57.27%,Bronze,,,,,,,
1996,Robert Beattie,Ireland,,92,46.00%,116/220,47.73%,,,,,,,,
1996,Andrew Mccarthy,Ireland,,47,23.50%,182/220,17.73%,,,,,,,,
