Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Amirali Asgari,Iran,,401.12,66.85%,17/353*,95.47%,Gold,,,,,,,
2024,Amirhossein Farkhondeh Far,Iran,,326.85,54.48%,53/353*,85.27%,Silver,,,,,,,
2024,Amirreza Dorosti,Iran,,315.89,52.65%,65/353*,81.87%,Silver,,,,,,,
2024,Parsa Farjpoursarabi,Iran,,271.39,45.23%,119/353*,66.57%,Bronze,,,,,,,
2023,Parsa Pordeli Behrouz,Iran,,378.0,63.00%,15/350,96.00%,Gold,,,,,,,
2023,Soheil Mohammadkhani,Iran,,257.5,42.92%,64/350,82.00%,Silver,,,,,,,
2023,Fateme Tamehri,Iran,,250.0,41.67%,66/350,81.43%,Silver,,,,,,,
2023,Amirhossein Vahiditabar,Iran,,239.0,39.83%,76/350,78.57%,Silver,,,,,,,
2022,Koosha Moosavi,Iran,,505.04,84.17%,10/349,97.42%,Gold,,,,,,,
2022,Alireza Kaviani,Iran,,490.00,81.67%,12/349,96.85%,Gold,,,,,,,
2022,Alireza Samimi,Iran,,343.50,57.25%,45/349,87.39%,Silver,,,,,,,
2022,Ariya Hemmati,Iran,,109.00,18.17%,222/349,36.68%,,,,,,,,
2021,Alireza Keshavarz Hedayati,Iran,,403,67.17%,21/351,94.30%,Gold,,,,,,,
2021,Alireza Kaviani,Iran,,353,58.83%,33/351,90.88%,Silver,,,,,,,
2021,Ali Safary,Iran,,351,58.50%,36/351,90.03%,Silver,,,,,,,
2021,Ali Shahali,Iran,,351,58.50%,36/351,90.03%,Silver,,,,,,,
2020,Shayan Pardis,Iran,,536.62,89.44%,10/343,97.38%,Gold,,,,,,,
2020,Kasra Mazaheri,Iran,,486.40,81.07%,26/343,92.71%,Gold,,,,,,,
2020,Ali Safary,Iran,,479.62,79.94%,29/343,91.84%,Gold,,,,,,,
2020,Abolfazl Soltani,Iran,,420.24,70.04%,47/343,86.59%,Silver,,,,,,,
2019,Mahdi Jafari Raviz,Iran,,464.11,77.35%,8/327,97.86%,Gold,,,,,,,
2019,Arshia Soltani Moakhar,Iran,,410.52,68.42%,30/327,91.13%,Silver,,,,,,,
2019,Seyyed Mehrshad Mirmohammadi,Iran,,397.50,66.25%,36/327,89.30%,Silver,,,,,,,
2019,Kasra Mazaheri,Iran,,331.87,55.31%,79/327,76.15%,Silver,,,,,,,
2018,Mohammad Mahdavi,Iran,,336,56.00%,25/335,92.84%,Gold,,,,,,,
2018,Keivan Rezaei,Iran,,294,49.00%,60/335,82.39%,Silver,,,,,,,
2018,Mehrdad Saberi,Iran,,280,46.67%,79/335,76.72%,Silver,,,,,,,
2018,Seyed Mahdi Sadegh Shobeiri,Iran,,248,41.33%,109/335,67.76%,Bronze,,,,,,,
2017,Seyed Mohammad Hossein Nematollahi,Iran,,374.03,62.34%,18/304,94.41%,Gold,,,,,,,
2017,Arash Mahmoudian Bidgoli,Iran,,330.90,55.15%,30/304,90.46%,Silver,,,,,,,
2017,Mohammad Saneian,Iran,,287.72,47.95%,49/304,84.21%,Silver,,,,,,,
2017,Hamidreza Hedayati,Iran,,283.62,47.27%,52/304,83.22%,Silver,,,,,,,
2017,Ali Ahmadi,Iran 2,,324.44,54.07%,,,Silver*,,,,,,,
2017,Amir Azarmehr,Iran 2,,283.91,47.32%,,,Silver*,,,,,,,
2017,Iman Gholami,Iran 2,,270.15,45.02%,,,Silver*,,,,,,,
2017,Ali Shafiee,Iran 2,,254.82,42.47%,,,Silver*,,,,,,,
2016,Ali Bahjati,Iran,,462,77.00%,11/308,96.75%,Gold,,,,,,,
2016,Arash Mahmoudian Bidgoli,Iran,,447,74.50%,13/308,96.10%,Gold,,,,,,,
2016,AmirMohammad Dehghan,Iran,,403,67.17%,31/308,90.26%,Silver,,,,,,,
2016,Seyed Parsa Mirtaheri,Iran,,360,60.00%,54/308,82.79%,Silver,,,,,,,
2015,Ali Haghani,Iran,,520.02,86.67%,6/322,98.45%,Gold,,,,,,,
2015,Ali Bahjati,Iran,,490.55,81.76%,15/322,95.65%,Gold,,,,,,,
