Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Kristinn Hrafn Daníelsson,Iceland,115.50,19.25%,283/353,20.11%,,,,,,,,,
2024,Eva Sóllilja Einarsdóttir,Iceland,93.31,15.55%,303/353,14.45%,,,,,,,,,
2024,Þórhallur Tryggvason,Iceland,76.35,12.72%,320/353,9.63%,,,,,,,,,
2023,Benedikt Vilji Magnússon,Iceland,141.0,23.50%,199/350,43.43%,Honourable Mention,,,,,,,,
2023,Kirill Zolotuskiy,Iceland,59.0,9.83%,287/350,18.29%,,,,,,,,,
2023,Kristinn Hrafn Daníelsson,Iceland,22.0,3.67%,326/350,7.14%,,,,,,,,,
2023,Róbert Kristian Freysson,Iceland,22.0,3.67%,326/350,7.14%,,,,,,,,,
2022,Benedikt Vilji Magnússon,Iceland,174.27,29.05%,149/349,57.59%,Bronze,,,,,,,,
2022,Kirill Zolotuskiy,Iceland,67.25,11.21%,259/349,26.07%,,,,,,,,,
2022,Einar Andri Víðisson,Iceland,23.00,3.83%,327/349,6.59%,,,,,,,,,
2021,Benedikt Vilji Magnússon,Iceland,152,25.33%,272/351,22.79%,,,,,,,,,
2021,Samúel Arnar Hafsteinsson,Iceland,114,19.00%,314/351,10.83%,,,,,,,,,
2021,Elvar Árni Bjarnason,Iceland,62,10.33%,341/351,3.13%,,,,,,,,,
2021,Brynjar Haraldsson,Iceland,,,,,,,,,,,,,
2020,Benedikt Vilji Magnússon,Iceland,275.64,45.94%,135/343,60.93%,Bronze,,,,,,,,
2020,Giovanni Gaio,Iceland,109.00,18.17%,270/343,21.57%,,,,,,,,,
2020,Samúel Arnar Hafsteinsson,Iceland,21.00,3.50%,330/343,4.08%,,,,,,,,,
2020,Elvar Árni Bjarnason,Iceland,0.00,0.00%,341/343,0.87%,,,,,,,,,
2019,Bjarni Dagur Thor Kárason,Iceland,96.00,16.00%,289/327,11.93%,,,,,,,,,
2019,Ásþór Björnsson,Iceland,61.00,10.17%,304/327,7.34%,,,,,,,,,
2018,Gamithra Marga,Iceland,34,5.67%,302/335,10.15%,,,,,,,,,
2018,Bjarni Dagur Thor Kárason,Iceland,31,5.17%,304/335,9.55%,,,,,,,,,
2017,Bernhard Linn Hilmarsson,Iceland,173.23,28.87%,125/304,59.21%,Bronze,,,,,,,,
