Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Daniel Weber,Israel,,439.50,73.25%,4/353*,99.15%,Gold,,,,,,,
2024,Elazar Koren,Israel,,396.88,66.15%,17/353*,95.47%,Gold,,,,,,,
2024,Alon Tanay,Israel,,371.88,61.98%,27/353*,92.63%,Gold,,,,,,,
2024,Itamar Nir,Israel,,243.72,40.62%,145/353*,59.21%,Bronze,,,,,,,
2023,Alon Tanay,Israel,,362.5,60.42%,19/350,94.86%,Gold,,,,,,,
2023,Daniel Weber,Israel,,345.5,57.58%,24/350,93.43%,Gold,,,,,,,
2023,Elazar Koren,Israel,,334.5,55.75%,28/350,92.29%,Gold,,,,,,,
2023,Yuval Vaknin,Israel,,145.0,24.17%,188/350,46.57%,Honourable Mention,,,,,,,
2022,Daniel Weber,Israel,,425.75,70.96%,27/349,92.55%,Gold,,,,,,,
2022,Eitan Elbaum,Israel,,306.45,51.08%,58/349,83.67%,Silver,,,,,,,
2022,Alon Tanay,Israel,,298.31,49.72%,64/349,81.95%,Silver,,,,,,,
2022,Elazar Koren,Israel,,255.50,42.58%,92/349,73.93%,Bronze,,,,,,,
2021,Yanir Edri,Israel,,300,50.00%,77/351,78.35%,Silver,,,,,,,
2021,Gonen Gazit,Israel,,292,48.67%,82/351,76.92%,Silver,,,,,,,
2021,Yoav Katz,Israel,,275,45.83%,95/351,73.22%,Bronze,,,,,,,
2021,Lior Yehezkely,Israel,,220,36.67%,147/351,58.40%,Bronze,,,,,,,
2020,Almog Wald,Israel,,483.62,80.60%,27/343,92.42%,Gold,,,,,,,
2020,Noam Licht,Israel,,403.60,67.27%,54/343,84.55%,Silver,,,,,,,
2020,Daniel Agassy,Israel,,402.62,67.10%,55/343,84.26%,Silver,,,,,,,
2020,Inbar Wald,Israel,,202.32,33.72%,204/343,40.82%,,,,,,,,
2019,Noam Gutterman,Israel,,400.91,66.82%,32/327,90.52%,Silver,,,,,,,
2019,Almog Wald,Israel,,386.07,64.34%,41/327,87.77%,Silver,,,,,,,
