Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,James Ray Bamber,Italy,,285.70,47.62%,97/353,72.80%,Bronze,,,,,,,
2024,Alessandro Lombardo,Italy,,282.69,47.12%,104/353,70.82%,Bronze,,,,,,,
2024,Luca Baglietto,Italy,,277.11,46.19%,109/353,69.41%,Bronze,,,,,,,
2024,Francesco Vercellesi,Italy,,272.47,45.41%,116/353,67.42%,Bronze,,,,,,,
2023,Francesco Vercellesi,Italy,,198.0,33.00%,122/350,65.43%,Bronze,,,,,,,
2023,Alessandro Lombardo,Italy,,177.0,29.50%,148/350,58.00%,Bronze,,,,,,,
2023,Luca Baglietto,Italy,,142.0,23.67%,197/350,44.00%,Honourable Mention,,,,,,,
2023,Elia Soldati,Italy,,109.0,18.17%,238/350,32.29%,,,,,,,,
2022,Filippo Casarin,Italy,,285.61,47.60%,73/349,79.37%,Silver,,,,,,,
2022,Valerio Stancanelli,Italy,,213.90,35.65%,120/349,65.90%,Bronze,,,,,,,
2022,Davide Bartoli,Italy,,209.78,34.96%,125/349,64.47%,Bronze,,,,,,,
2022,Francesco Lugli,Italy,,184.45,30.74%,138/349,60.74%,Bronze,,,,,,,
2021,Filippo Casarin,Italy,,329,54.83%,54/351,84.90%,Silver,,,,,,,
2021,Tommaso Dossi,Italy,,297,49.50%,79/351,77.78%,Silver,,,,,,,
2021,Davide Bartoli,Italy,,220,36.67%,147/351,58.40%,Bronze,,,,,,,
2021,Valerio Stancanelli,Italy,,214,35.67%,154/351,56.41%,Bronze,,,,,,,
2020,Davide Bartoli,Italy,,380.75,63.46%,63/343,81.92%,Silver,,,,,,,
2020,Alessandro Bortolin,Italy,,241.00,40.17%,166/343,51.90%,Bronze,,,,,,,
2020,Filippo Casarin,Italy,,173.00,28.83%,231/343,32.94%,,,,,,,,
2020,Valerio Stancanelli,Italy,,139.32,23.22%,249/343,27.70%,,,,,,,,
2019,Federico Stazi,Italy,,323.02,53.84%,89/327,73.09%,Bronze,,,,,,,
2019,Fabrizio Brioni,Italy,,319.67,53.28%,93/327,71.87%,Bronze,,,,,,,
2019,Alessandro Bortolin,Italy,,294.27,49.05%,115/327,65.14%,Bronze,,,,,,,
2019,Jakob Nogler,Italy,,249.58,41.60%,164/327,50.15%,,,,,,,,
2018,Federico Stazi,Italy,,265,44.17%,89/335,73.73%,Bronze,,,,,,,
