Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Raed Naseer,Jordan,94.50,15.75%,300/353,15.30%,,,,,,,,,
2024,Aybak Samiz,Jordan,72.31,12.05%,322/353,9.07%,,,,,,,,,
2024,Malik Sadaqa,Jordan,68.00,11.33%,326/353,7.93%,,,,,,,,,
2024,Sami Almajali,Jordan,66.00,11.00%,328/353,7.37%,,,,,,,,,
2023,Malik Sadaqa,Jordan,124.0,20.67%,218/350,38.00%,Honourable Mention,,,,,,,,
2023,Raed Naseer,Jordan,65.0,10.83%,282/350,19.71%,,,,,,,,,
2023,Muhammad Saad,Jordan,16.0,2.67%,333/350,5.14%,,,,,,,,,
2023,Zaid Hanandeh,Jordan,0.0,0.00%,343/350,2.29%,,,,,,,,,
2022,Muhammad Saad,Jordan,27.75,4.62%,319/349,8.88%,,,,,,,,,
2022,Malik Sadaqa,Jordan,25.00,4.17%,324/349,7.45%,,,,,,,,,
2022,Raed Naseer,Jordan,21.75,3.62%,331/349,5.44%,,,,,,,,,
2022,Mohammad Alwarawreh,Jordan,,,,,,,,,,,,,
2021,Wesam Naseer,Jordan,203,33.83%,170/351,51.85%,Bronze,,,,,,,,
2021,Muhammad Saad,Jordan,120,20.00%,307/351,12.82%,,,,,,,,,
2021,Noor Al-Shamayleh,Jordan,111,18.50%,319/351,9.40%,,,,,,,,,
2021,Malik Sadaqa,Jordan,79,13.17%,332/351,5.70%,,,,,,,,,
2020,Khaleel Al-Adhami,Jordan,326.43,54.41%,91/343,73.76%,Bronze,,,,,,,,
2020,Wesam Naseer,Jordan,183.32,30.55%,221/343,35.86%,,,,,,,,,
2020,Mohammad Alwarawreh,Jordan,75.00,12.50%,294/343,14.58%,,,,,,,,,
2020,Noor Al-Bzour,Jordan,10.00,1.67%,338/343,1.75%,,,,,,,,,
2019,Khaleel Al-Adhami,Jordan,354.82,59.14%,61/327,81.65%,Silver,,,,,,,,
2019,Muhannad Alwarawreh,Jordan,272.08,45.35%,141/327,57.19%,Bronze,,,,,,,,
2018,Mohammad Alkilani,Jordan,255,42.50%,102/335,69.85%,Bronze,,,,,,,,
2018,Muhannad Alwarawreh,Jordan,179,29.83%,174/335,48.36%,,,,,,,,,
2018,Khaleel Al-Adhami,Jordan,85,14.17%,258/335,23.28%,,,,,,,,,
2018,Ahmad Naser,Jordan,80,13.33%,261/335,22.39%,,,,,,,,,
2017,Sarah Abu Elayyan,Jordan,68.76,11.46%,232/304,24.01%,,,,,,,,,
2017,Ahmad Naser,Jordan,48.88,8.15%,258/304,15.46%,,,,,,,,,
2017,Mohammad Alkilani,Jordan,33.33,5.55%,281/304,7.89%,,,,,,,,,
2016,Mohammad Abuaboud,Jordan,218,36.33%,166/308,46.43%,,,,,,,,,
2016,Mohammad Abuejheisheh,Jordan,51,8.50%,279/308,9.74%,,,,,,,,,
2016,Mohammad Alkilani,Jordan,38,6.33%,288/308,6.82%,,,,,,,,,
2016,Amal Taha,Jordan,16,2.67%,300/308,2.92%,,,,,,,,,
2015,Mohammad Abuaboud,Jordan,91.00,15.17%,246/322,23.91%,,,,,,,,,
2015,Jood Hajeer,Jordan,57.00,9.50%,282/322,12.73%,,,,,,,,,
2015,Sami Daoud,Jordan,35.00,5.83%,306/322,5.28%,,,,,,,,,
2015,Mohammad Abuejheisheh,Jordan,20.00,3.33%,311/322,3.73%,,,,,,,,,
2014,Bashar Al-Atoum,Jordan,43,7.17%,288/311,7.72%,,,,,,,,,
2014,Jamal Sa'd,Jordan,33,5.50%,294/311,5.79%,,,,,,,,,
2014,Jood Hajeer,Jordan,26,4.33%,300/311,3.86%,,,,,,,,,
2014,Laith Alnaser,Jordan,0,0.00%,308/311,1.29%,,,,,,,,,
2004,Amer Al-Lahham,Jordan,,,,,,,,,,,,,
2004,Khalil Abu-Dahab,Jordan,,,,,,,,,,,,,
2004,Omar Al-Ajlouny,Jordan,,,,,,,,,,,,,
2004,Rami Abu Alsuod,Jordan,,,,,,,,,,,,,
2003,Khalil Abu-Dahab,Jordan,,,,,,,,,,,,,
2003,Abdelrahman Ijjeh,Jordan,,,,,,,,,,,,,
2003,Omar Al-Ajlouny,Jordan,,,,,,,,,,,,,
2003,Rami Abu Alsuod,Jordan,,,,,,,,,,,,,
