Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Shogo Amacho,Japan,,410.72,68.45%,13/353,96.60%,Gold,,,,,,,
2024,Katsuki Ota,Japan,,402.17,67.03%,15/353,96.03%,Gold,,,,,,,
2024,Yuya Hirasawa,Japan,,359.11,59.85%,31/353,91.50%,Silver,,,,,,,
2024,Ryotaro Hayashi,Japan,,342.81,57.13%,46/353,87.25%,Silver,,,,,,,
2023,Yuki Tanaka,Japan,,457.5,76.25%,4/350,99.14%,Gold,,,,,,,
2023,Shogo Amacho,Japan,,411.5,68.58%,9/350,97.71%,Gold,,,,,,,
2023,Daiki Kodama,Japan,,360.5,60.08%,21/350,94.29%,Gold,,,,,,,
2023,Hibiki Nishiwaki,Japan,,344.5,57.42%,25/350,93.14%,Gold,,,,,,,
2022,Daiki Kodama,Japan,,479.68,79.95%,16/349,95.70%,Gold,,,,,,,
2022,Yuto Watanabe,Japan,,479.00,79.83%,17/349,95.42%,Gold,,,,,,,
2022,Yui Tamura,Japan,,457.89,76.31%,23/349,93.70%,Gold,,,,,,,
2022,Yuki Tanaka,Japan,,454.49,75.75%,24/349,93.41%,Gold,,,,,,,
2021,Ryomei Sugai,Japan,,475,79.17%,6/351,98.58%,Gold,,,,,,,
2021,Daiki Kodama,Japan,,376,62.67%,28/351,92.31%,Gold,,,,,,,
2021,Yuto Watanabe,Japan,,342,57.00%,41/351,88.60%,Silver,,,,,,,
2021,Rintaro Matsuo,Japan,,336,56.00%,47/351,86.89%,Silver,,,,,,,
2020,Rintaro Matsuo,Japan,,497.62,82.94%,22/343,93.88%,Gold,,,,,,,
2020,Masataka Yoneda,Japan,,496.62,82.77%,23/343,93.59%,Gold,,,,,,,
2020,Hirotaka Yoneda,Japan,,426.67,71.11%,44/343,87.46%,Silver,,,,,,,
2020,Tomohito Hoshii,Japan,,381.71,63.62%,62/343,82.22%,Silver,,,,,,,
2019,Masataka Yoneda,Japan,,420.89,70.15%,25/327,92.66%,Gold,,,,,,,
2019,Koichi Namekata,Japan,,411.46,68.58%,29/327,91.44%,Silver,,,,,,,
2019,Yasutaka Hiraki,Japan,,381.89,63.65%,43/327,87.16%,Silver,,,,,,,
2019,Sora Todaka,Japan,,367.33,61.22%,52/327,84.40%,Silver,,,,,,,
2018,Wataru Inoue,Japan,,428,71.33%,6/335,98.51%,Gold,,,,,,,
2018,Hiroaki Hosokawa,Japan,,291,48.50%,67/335,80.30%,Silver,,,,,,,
2018,Ikumi Shimizu,Japan,,264,44.00%,91/335,73.13%,Bronze,,,,,,,
2018,Koichi Namekata,Japan,,233,38.83%,121/335,64.18%,Bronze,,,,,,,
2018,Masataka Yoneda,Japan 2,,362,60.33%,,,Gold*,,,,,,,
2018,Hirotaka Yoneda,Japan 2,,320,53.33%,,,Silver*,,,,,,,
2018,Yasutaka Hiraki,Japan 2,,305,50.83%,,,Silver*,,,,,,,
2018,Riku Kishida,Japan 2,,259,43.17%,,,Bronze*,,,,,,,
2017,Yuta Takaya,Japan,,589.52,98.25%,1/304,100.00%,Gold,,,,,,,
2017,Riku Kawasaki,Japan,,445.66,74.28%,4/304,99.01%,Gold,,,,,,,
2017,Satoru Kawaharai,Japan,,445.56,74.26%,5/304,98.68%,Gold,,,,,,,
2017,Keiya Sakabe,Japan,,278.09,46.35%,57/304,81.58%,Silver,,,,,,,
2016,Takuya Inoue,Japan,,491,81.83%,5/308,98.70%,Gold,,,,,,,
2016,Yuta Takaya,Japan,,432,72.00%,15/308,95.45%,Gold,,,,,,,
2016,Riku Kawasaki,Japan,,374,62.33%,44/308,86.04%,Silver,,,,,,,
2016,Takahiro Masuda,Japan,,368,61.33%,50/308,84.09%,Silver,,,,,,,
2015,Yuta Takaya,Japan,,505.42,84.24%,10/322,97.20%,Gold,,,,,,,
2015,Takahiro Masuda,Japan,,470.45,78.41%,16/322,95.34%,Gold,,,,,,,
2015,Takuya Inoue,Japan,,440.42,73.40%,27/322,91.93%,Gold,,,,,,,
2015,Akio Matsuzaki,Japan,,314.55,52.42%,88/322,72.98%,Bronze,,,,,,,
2014,Yuta Takaya,Japan,,472,78.67%,16/311,95.18%,Gold,,,,,,,
2014,Hirotaka Isa,Japan,,423,70.50%,40/311,87.46%,Silver,,,,,,,
2014,Ken Ogura,Japan,,414,69.00%,46/311,85.53%,Silver,,,,,,,
2014,Ryoma Sato,Japan,,231,38.50%,142/311,54.66%,Bronze,,,,,,,
2013,Tsuyoki Kumazaki,Japan,,501,83.50%,16/299,94.98%,Gold,,,,,,,
2013,Soh Kumabe,Japan,,437,72.83%,39/299,87.29%,Silver,,,,,,,
2013,Kohji Liu,Japan,,400,66.67%,60/299,80.27%,Silver,,,,,,,
