Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Maxim Tsoy,Kazakhstan,,322.89,53.81%,57/353,84.14%,Silver,,,,,,,
2024,Mansur Taimas,Kazakhstan,,307.19,51.20%,73/353,79.60%,Silver,,,,,,,
2024,Nazar Serazitdinov,Kazakhstan,,289.81,48.30%,86/353,75.92%,Silver,,,,,,,
2024,Akhmet Issa,Kazakhstan,,240.47,40.08%,148/353,58.36%,Bronze,,,,,,,
2023,Taimas Korganbayev,Kazakhstan,,247.0,41.17%,70/350,80.29%,Silver,,,,,,,
2023,Nazar Serazitdinov,Kazakhstan,,153.0,25.50%,175/350,50.29%,Bronze,,,,,,,
2023,Mansur Mamadakhunov,Kazakhstan,,148.0,24.67%,184/350,47.71%,Honourable Mention,,,,,,,
2023,Van Li,Kazakhstan,,141.0,23.50%,199/350,43.43%,Honourable Mention,,,,,,,
2022,Zhambyl Maksotov,Kazakhstan,,278.00,46.33%,78/349,77.94%,Silver,,,,,,,
2022,Mukhammadarif Sakhmoldin,Kazakhstan,,257.94,42.99%,87/349,75.36%,Silver,,,,,,,
2022,Taimas Korganbayev,Kazakhstan,,239.00,39.83%,100/349,71.63%,Bronze,,,,,,,
2022,Van Li,Kazakhstan,,160.90,26.82%,165/349,53.01%,Bronze,,,,,,,
2021,Zhambyl Maksotov,Kazakhstan,,268,44.67%,102/351,71.23%,Bronze,,,,,,,
2021,Mansur Mukimbekov,Kazakhstan,,254,42.33%,112/351,68.38%,Bronze,,,,,,,
2021,Altair Ashurov,Kazakhstan,,252,42.00%,114/351,67.81%,Bronze,,,,,,,
2021,Mukhammadarif Sakhmoldin,Kazakhstan,,225,37.50%,140/351,60.40%,Bronze,,,,,,,
2020,Temirlan Baibolov,Kazakhstan,,403.62,67.27%,53/343,84.84%,Silver,,,,,,,
2020,Zhambyl Maksotov,Kazakhstan,,230.32,38.39%,176/343,48.98%,,,,,,,,
2020,Timur Ratnikov,Kazakhstan,,219.93,36.66%,187/343,45.77%,,,,,,,,
2020,Parassat Kyzyrkanov,Kazakhstan,,210.46,35.08%,194/343,43.73%,,,,,,,,
2019,Batyr Sardarbekov,Kazakhstan,,422.81,70.47%,23/327,93.27%,Gold,,,,,,,
2019,Daniyar Zakarin,Kazakhstan,,351.24,58.54%,64/327,80.73%,Silver,,,,,,,
2019,Temirlan Baibolov,Kazakhstan,,301.37,50.23%,104/327,68.50%,Bronze,,,,,,,
2019,Zhan Kurbanbayev,Kazakhstan,,262.67,43.78%,152/327,53.82%,Bronze,,,,,,,
2018,Daniyar Zakarin,Kazakhstan,,303,50.50%,51/335,85.07%,Silver,,,,,,,
2018,Nurbakyt Madibek,Kazakhstan,,262,43.67%,93/335,72.54%,Bronze,,,,,,,
2018,Sanzhar Bidaibek,Kazakhstan,,203,33.83%,157/335,53.43%,Bronze,,,,,,,
2018,Nurlykhan Kairly,Kazakhstan,,189,31.50%,166/335,50.75%,Bronze,,,,,,,
2017,Nurbakyt Madibek,Kazakhstan,,278.04,46.34%,58/304,81.25%,Silver,,,,,,,
2017,Sanzhar Bidaibek,Kazakhstan,,227.55,37.92%,94/304,69.41%,Bronze,,,,,,,
2017,Askhat Zhalgasov,Kazakhstan,,201.32,33.55%,108/304,64.80%,Bronze,,,,,,,
2017,Nurlykhan Kairly,Kazakhstan,,162.00,27.00%,134/304,56.25%,Bronze,,,,,,,
2016,Nurbakyt Madibek,Kazakhstan,,411,68.50%,29/308,90.91%,Silver,,,,,,,
2016,Sanzhar Bidaibek,Kazakhstan,,353,58.83%,55/308,82.47%,Silver,,,,,,,
2016,Nazarbek Altybay,Kazakhstan,,328,54.67%,74/308,76.30%,Silver,,,,,,,
2016,Shaikhitdin Nezametdinov,Kazakhstan,,272,45.33%,118/308,62.01%,Bronze,,,,,,,
2015,Bekzhan Bekbolatuly,Kazakhstan,,415.55,69.26%,33/322,90.06%,Silver,,,,,,,
2015,Meirambek Omyrzak,Kazakhstan,,414.90,69.15%,35/322,89.44%,Silver,,,,,,,
2015,Nazarbek Altybay,Kazakhstan,,402.55,67.09%,41/322,87.58%,Silver,,,,,,,
