Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Ian Bobrus,Kyrgyzstan,302.28,50.38%,79/353,77.90%,Silver,,,,,,,,
2024,Alihan Aidarbekov,Kyrgyzstan,291.81,48.63%,84/353,76.49%,Silver,,,,,,,,
2024,Baitoro Mairambekov,Kyrgyzstan,250.31,41.72%,138/353,61.19%,Bronze,,,,,,,,
2024,Abdulaziz Lebiev,Kyrgyzstan,203.31,33.88%,193/353,45.61%,Honourable Mention,,,,,,,,
2023,Aidar Munduzbaev,Kyrgyzstan,325.0,54.17%,32/350,91.14%,Silver,,,,,,,,
2023,Tengiz Bekkoyonov,Kyrgyzstan,211.0,35.17%,106/350,70.00%,Bronze,,,,,,,,
2023,Alihan Aidarbekov,Kyrgyzstan,167.0,27.83%,160/350,54.57%,Bronze,,,,,,,,
2023,Baitoro Mairambekov,Kyrgyzstan,151.0,25.17%,180/350,48.86%,Honourable Mention,,,,,,,,
2022,Aidar Munduzbaev,Kyrgyzstan,232.30,38.72%,105/349,70.20%,Bronze,,,,,,,,
2022,Tengiz Bekkoyonov,Kyrgyzstan,189.00,31.50%,134/349,61.89%,Bronze,,,,,,,,
2022,Daniyar Beishekeev,Kyrgyzstan,169.00,28.17%,155/349,55.87%,Bronze,,,,,,,,
2022,Talant Diykanbaev,Kyrgyzstan,142.00,23.67%,180/349,48.71%,Honourable Mention,,,,,,,,
2021,Islam Davletov,Kyrgyzstan,261,43.50%,108/351,69.52%,Bronze,,,,,,,,
2021,Artur Aidarov,Kyrgyzstan,252,42.00%,114/351,67.81%,Bronze,,,,,,,,
2021,Daniyar Beishekeev,Kyrgyzstan,225,37.50%,140/351,60.40%,Bronze,,,,,,,,
2021,Tengiz Bekkoyonov,Kyrgyzstan,213,35.50%,155/351,56.13%,Bronze,,,,,,,,
2020,Islam Davletov,Kyrgyzstan,197.71,32.95%,205/343,40.52%,,,,,,,,,
2020,Artur Aidarov,Kyrgyzstan,196.86,32.81%,207/343,39.94%,,,,,,,,,
2020,Shabdan Batyrkulov,Kyrgyzstan,190.00,31.67%,214/343,37.90%,,,,,,,,,
2020,Omurbek Dzhamalov,Kyrgyzstan,154.00,25.67%,240/343,30.32%,,,,,,,,,
2019,Omurbek Dzhamalov,Kyrgyzstan,296.91,49.48%,112/327,66.06%,Bronze,,,,,,,,
2019,Shabdan Batyrkulov,Kyrgyzstan,277.32,46.22%,136/327,58.72%,Bronze,,,,,,,,
2019,Talantbek Zhenishbek uulu,Kyrgyzstan,263.76,43.96%,149/327,54.74%,Bronze,,,,,,,,
2019,Mirbek Bakirov,Kyrgyzstan,185.00,30.83%,231/327,29.66%,,,,,,,,,
2018,Omurbek Dzhamalov,Kyrgyzstan,159,26.50%,197/335,41.49%,,,,,,,,,
2018,Akbarzhon Madaminov,Kyrgyzstan,152,25.33%,206/335,38.81%,,,,,,,,,
2018,Talantbek Zhenishbek uulu,Kyrgyzstan,87,14.50%,254/335,24.48%,,,,,,,,,
2018,Shabdan Batyrkulov,Kyrgyzstan,60,10.00%,274/335,18.51%,,,,,,,,,
2017,Amangeldi Zhusubaliev,Kyrgyzstan,195.40,32.57%,111/304,63.82%,Bronze,,,,,,,,
2017,Bolot Bekbolotov,Kyrgyzstan,107.61,17.93%,190/304,37.83%,,,,,,,,,
2017,Arsen Kasymov,Kyrgyzstan,89.66,14.94%,204/304,33.22%,,,,,,,,,
2017,Akbarzhon Madaminov,Kyrgyzstan,46.00,7.67%,266/304,12.83%,,,,,,,,,
2016,Azret Kenzhaliev,Kyrgyzstan,243,40.50%,149/308,51.95%,Bronze,,,,,,,,
2016,Amangeldi Zhusubaliev,Kyrgyzstan,205,34.17%,178/308,42.53%,,,,,,,,,
