Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Eunseong Kim,Republic of Korea,,362.64,60.44%,29/353,92.07%,Gold,,,,,,,
2024,Mingyu Woo,Republic of Korea,,357.40,59.57%,33/353,90.93%,Silver,,,,,,,
2024,Heewoo Jung,Republic of Korea,,346.89,57.81%,41/353,88.67%,Silver,,,,,,,
2024,Min-chan Jung,Republic of Korea,,341.64,56.94%,48/353,86.69%,Silver,,,,,,,
2023,Sanghoon Park,Republic of Korea,,353.5,58.92%,22/350,94.00%,Gold,,,,,,,
2023,Donghyeon Lee,Republic of Korea,,334.5,55.75%,28/350,92.29%,Gold,,,,,,,
2023,Sungho Lee,Republic of Korea,,267.0,44.50%,57/350,84.00%,Silver,,,,,,,
2023,Ditbul Ban,Republic of Korea,,263.5,43.92%,61/350,82.86%,Silver,,,,,,,
2022,Taehwan Jang,Republic of Korea,,459.05,76.51%,22/349,93.98%,Gold,,,,,,,
2022,Younguk Jo,Republic of Korea,,431.28,71.88%,26/349,92.84%,Gold,,,,,,,
2022,Ditbul Ban,Republic of Korea,,380.00,63.33%,38/349,89.40%,Silver,,,,,,,
2022,Sanghoon Park,Republic of Korea,,354.10,59.02%,42/349,88.25%,Silver,,,,,,,
2021,Ditbul Ban,Republic of Korea,,474,79.00%,7/351,98.29%,Gold,,,,,,,
2021,Junhyuk Song,Republic of Korea,,371,61.83%,31/351,91.45%,Silver,,,,,,,
2021,Seohyun Choi,Republic of Korea,,336,56.00%,47/351,86.89%,Silver,,,,,,,
2021,Taehwan Jang,Republic of Korea,,250,41.67%,120/351,66.10%,Bronze,,,,,,,
2020,Eun Soo Choe,Republic of Korea,,593.00,98.83%,2/343,99.71%,Gold,,,,,,,
2020,Junhyuk Song,Republic of Korea,,532.94,88.82%,12/343,96.79%,Gold,,,,,,,
2020,Sungjae Im,Republic of Korea,,477.24,79.54%,30/343,91.55%,Silver,,,,,,,
2020,Ditbul Ban,Republic of Korea,,386.14,64.36%,61/343,82.51%,Silver,,,,,,,
2019,Sebin Kim,Republic of Korea,,435.30,72.55%,18/327,94.80%,Gold,,,,,,,
2019,Gyojun Youn,Republic of Korea,,425.97,71.00%,22/327,93.58%,Gold,,,,,,,
2019,Yujin Im,Republic of Korea,,396.41,66.07%,37/327,88.99%,Silver,,,,,,,
2019,Onjo Lee,Republic of Korea,,328.61,54.77%,83/327,74.92%,Bronze,,,,,,,
2018,Younghun Roh,Republic of Korea,,373,62.17%,12/335,96.72%,Gold,,,,,,,
2018,Taekyu Kang,Republic of Korea,,362,60.33%,17/335,95.22%,Gold,,,,,,,
2018,Sebin Kim,Republic of Korea,,360,60.00%,18/335,94.93%,Gold,,,,,,,
2018,Gyojun Youn,Republic of Korea,,295,49.17%,58/335,82.99%,Silver,,,,,,,
2017,Jeyoun Si,Republic of Korea,,386.21,64.37%,16/304,95.07%,Gold,,,,,,,
2017,Donghyun Kim,Republic of Korea,,303.49,50.58%,40/304,87.17%,Silver,,,,,,,
2017,William Gyuho Suh,Republic of Korea,,264.42,44.07%,68/304,77.96%,Silver,,,,,,,
2017,Hyunsoo Kim,Republic of Korea,,133.32,22.22%,160/304,47.70%,,,,,,,,
2016,Jaehyun Koo,Republic of Korea,,432,72.00%,15/308,95.45%,Gold,,,,,,,
2016,Seungwon Shin,Republic of Korea,,425,70.83%,22/308,93.18%,Gold,,,,,,,
2016,Hyunsoo Kim,Republic of Korea,,400,66.67%,35/308,88.96%,Silver,,,,,,,
2016,William Gyuho Suh,Republic of Korea,,351,58.50%,57/308,81.82%,Silver,,,,,,,
2015,Jeehak Yoon,Republic of Korea,,600.00,100.00%,1/322,100.00%,Gold,,,,,,,
2015,Sunghyeon Jo,Republic of Korea,,518.11,86.35%,7/322,98.14%,Gold,,,,,,,
2015,Hanpil Kang,Republic of Korea,,443.70,73.95%,25/322,92.55%,Gold,,,,,,,
2015,Jaehyun Koo,Republic of Korea,,389.55,64.92%,46/322,86.02%,Silver,,,,,,,
2014,Jeehak Yoon,Republic of Korea,,457,76.17%,21/311,93.57%,Gold,,,,,,,
2014,Seokhwan Choi,Republic of Korea,,449,74.83%,24/311,92.60%,Gold,,,,,,,
2014,Sunghyeon Jo,Republic of Korea,,433,72.17%,37/311,88.42%,Silver,,,,,,,
2014,Changsu Lee,Republic of Korea,,242,40.33%,134/311,57.23%,Bronze,,,,,,,
2013,Geunwoo Bae,Republic of Korea,,524,87.33%,7/299,97.99%,Gold,,,,,,,
2013,Seokhwan Choi,Republic of Korea,,500,83.33%,17/299,94.65%,Gold,,,,,,,
2013,Bumsoo Park,Republic of Korea,,464,77.33%,32/299,89.63%,Silver,,,,,,,
2013,Jeongwoo Ji,Republic of Korea,,437,72.83%,39/299,87.29%,Silver,,,,,,,
2012,Bumsoo Park,Republic of Korea,,422,70.33%,13/310,96.13%,Gold,,,,,,,
2012,Jeongwoo Ji,Republic of Korea,,252,42.00%,65/310,79.35%,Silver,,,,,,,
2012,Hyeonseop Lee,Republic of Korea,,233,38.83%,80/310,74.52%,Bronze,,,,,,,
2012,Jihoon Yoon,Republic of Korea,,188,31.33%,115/310,63.23%,Bronze,,,,,,,
2011,Myungwoo Chun,Republic of Korea,,431,71.83%,45/303,85.48%,Silver,,,,,,,
2011,Taegyu Lee,Republic of Korea,,377,62.83%,70/303,77.23%,Silver,,,,,,,
2011,Seung Yong Lee,Republic of Korea,,370,61.67%,76/303,75.25%,Silver,,,,,,,
2011,Hoseok Ryu,Republic of Korea,,291,48.50%,138/303,54.79%,Bronze,,,,,,,
2010,Dong Gu Kang,Republic of Korea,689,84.02%,21/297,93.27%,Gold,,,,,,,,
