Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2013,Yaqoub Adel Alyakoub,Kuwait,,31,5.17%,283/299,5.69%,,,,,,,,
2013,Yousef Husain,Kuwait,,0,0.00%,292/299,2.68%,,,,,,,,
2013,Ali Husain,Kuwait,,0,0.00%,292/299,2.68%,,,,,,,,
2013,Esmael Moqaddem,Kuwait,,0,0.00%,292/299,2.68%,,,,,,,,
2012,Muhsen Hazem Saleh,Kuwait,,34,5.67%,274/310,11.94%,,,,,,,,
2012,Yaqoub Adel Alyakoub,Kuwait,,12,2.00%,292/310,6.13%,,,,,,,,
2012,Ali Al Mumin,Kuwait,,0,0.00%,300/310,3.55%,,,,,,,,
2012,Yousef Husain,Kuwait,,0,0.00%,300/310,3.55%,,,,,,,,
2011,Muhsen Hazem Saleh,Kuwait,,61,10.17%,258/303,15.18%,,,,,,,,
2011,Khaled Mohammad Alhendi,Kuwait,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Talal Alsheqaih,Kuwait,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Yaqoub Adel Alyakoub,Kuwait,,0,0.00%,287/303,5.61%,,,,,,,,
2010,Talal Alsheqaih,Kuwait,100,12.20%,278/297,6.73%,,,,,,,,,
2010,Abdulaziz Alqallaf,Kuwait,58,7.07%,287/297,3.70%,,,,,,,,,
2010,Abdalla Mohammed,Kuwait,0,0.00%,290/297,2.69%,,,,,,,,,
2010,Ebraheem Ashkanani,Kuwait,0,0.00%,290/297,2.69%,,,,,,,,,
2009,Waleed Khalid Alabdulhadi,Kuwait,,,,,,,,,,,,,
2009,Sultan Waleed Abdullah,Kuwait,,,,,,,,,,,,,
2009,Alaa Ahmad Husain,Kuwait,,,,,,,,,,,,,
2009,Eissa Mohammad Almezen,Kuwait,,,,,,,,,,,,,
2008,Yousef Alsaffar,Kuwait,,,,,,,,,,,,,
2008,Waleed Khalid Alabdulhadi,Kuwait,,,,,,,,,,,,,
2008,Ruqayyah Hussain,Kuwait,,,,,,,,,,,,,
2008,Alaa Ahmad Husain,Kuwait,,,,,,,,,,,,,
2006,Ahmad Anki,Kuwait,,,,,,,,,,,,,
2006,Majed Al-Qabandi,Kuwait,,,,,,,,,,,,,
2006,Abdulaziz Al-Otaibi,Kuwait,,,,,,,,,,,,,
2006,Jafar Abdulrasoul,Kuwait,,,,,,,,,,,,,
2004,Munirah Al-Shatti,Kuwait,,,,,,,,,,,,,
2004,Ali Mubarak,Kuwait,,,,,,,,,,,,,
2004,Majed Al-Qabandi,Kuwait,,,,,,,,,,,,,
2004,Shouq Al-Sharrah,Kuwait,,,,,,,,,,,,,
2002,Saleh Alsaffar,Kuwait,,,,,,,,,,,,,
2002,Ibrahim Almayas,Kuwait,,,,,,,,,,,,,
2002,Ali Mubarak,Kuwait,,,,,,,,,,,,,
2001,Ali Alqattan,Kuwait,,,,,,,,,,,,,
2001,Jasem Alateyah,Kuwait,,,,,,,,,,,,,
2001,Mohammad Ghuloum,Kuwait,,,,,,,,,,,,,
2000,Abdulmosen Alajmi,Kuwait,,,,,,,,,,,,,
2000,Bashar Alastad,Kuwait,,,,,,,,,,,,,
2000,Mohammad Ghuloum,Kuwait,,,,,,,,,,,,,
2000,Ahmed Alhashimi,Kuwait,,,,,,,,,,,,,
1996,Ahmed Dashti,Kuwait,,8,4.00%,212/220,4.09%,,,,,,,,
1996,Ali Ismail,Kuwait,,7,3.50%,213/220,3.64%,,,,,,,,
1995,Jasem Mutlaq,Kuwait,,17,8.50%,182/210,13.81%,,,,,,,,
1995,Sami Al-Awadhi,Kuwait,,12,6.00%,186/210,11.90%,,,,,,,,
1995,Naif Mohamad,Kuwait,,4,2.00%,197/210,6.67%,,,,,,,,
1994,Sami Al-Awadhi,Kuwait,,,,,,,,,,,,,
1994,Jasem Mutlaq,Kuwait,,,,,,,,,,,,,
1994,Homoud Musailem,Kuwait,,,,,,,,,,,,,
1994,Khalid Al-Ansari,Kuwait,,,,,,,,,,,,,
1992,Abdel Aziz Ali Abdallah,Kuwait,,,,,,,,,,,,,
1992,Waleed Saduon Al Auwaisch,Kuwait,,,,,,,,,,,,,
1992,Imad Adnan Mohammed,Kuwait,,,,,,,,,,,,,
1992,Mohammed Abdel Amir Hassan,Kuwait,,,,,,,,,,,,,
1990,Ghanim,Kuwait,,,,,,,,,,,,,
1990,Muhammed Ramadan,Kuwait,,,,,,,,,,,,,
1990,Al-Rashidi,Kuwait,,,,,,,,,,,,,
1990,Bukhomad,Kuwait,,,,,,,,,,,,,
