Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Mousa Hamed,Libya,,127.50,21.25%,276/353,22.10%,,,,,,,,
2024,Albara Abdulhafith,Libya,,90.00,15.00%,304/353,14.16%,,,,,,,,
2024,Ahmed Albakoush,Libya,,15.00,2.50%,343/353,3.12%,,,,,,,,
2024,Fadel Elsenusi,Libya,,15.00,2.50%,343/353,3.12%,,,,,,,,
2014,Ali Elforjani,Libya,,10,1.67%,304/311,2.57%,,,,,,,,
2014,Safwan Bouna,Libya,,5,0.83%,306/311,1.93%,,,,,,,,
2014,Hussain Alwalid,Libya,,0,0.00%,308/311,1.29%,,,,,,,,
2012,Ali Qasim,Libya,,12,2.00%,292/310,6.13%,,,,,,,,
2012,Ahmed Khaled,Libya,,0,0.00%,300/310,3.55%,,,,,,,,
2012,Amira Sherif,Libya,,0,0.00%,300/310,3.55%,,,,,,,,
2012,Safwan Bouna,Libya,,0,0.00%,300/310,3.55%,,,,,,,,
2010,Amna AboTurkia,Libya,100,12.20%,278/297,6.73%,,,,,,,,,
2010,Eyman Gabril,Libya,100,12.20%,278/297,6.73%,,,,,,,,,
2010,Wafa Elshibani,Libya,100,12.20%,278/297,6.73%,,,,,,,,,
2010,Masoud Abuadba,Libya,0,0.00%,290/297,2.69%,,,,,,,,,
2009,Wafa Elshibani,Libya,,,,,,,,,,,,,
2009,Ahmed Mohamed Sahoub,Libya,,,,,,,,,,,,,
2009,Shada Saleh Alsiwi,Libya,,,,,,,,,,,,,
2009,Isslam Awad Elkasah,Libya,,,,,,,,,,,,,
