Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Malitha Bandara,Sri Lanka,,201.70,33.62%,197/353,44.48%,,,,,,,,
2024,Deera Wijesundara,Sri Lanka,,172.81,28.80%,237/353,33.14%,,,,,,,,
2024,Praveen Athauda-Arachchi,Sri Lanka,,149.81,24.97%,261/353,26.35%,,,,,,,,
2024,Mindiya Karunasinghe,Sri Lanka,,99.61,16.60%,293/353,17.28%,,,,,,,,
2023,Sithija Abhishek Kotuwewatta,Sri Lanka,,201.0,33.50%,119/350,66.29%,Bronze,,,,,,,
2023,Mindiya Karunasinghe,Sri Lanka,,79.0,13.17%,269/350,23.43%,,,,,,,,
2023,Minindu Jayasekara,Sri Lanka,,49.0,8.17%,299/350,14.86%,,,,,,,,
2023,Shithila Mahabaduge,Sri Lanka,,38.0,6.33%,314/350,10.57%,,,,,,,,
2022,Chirath Nirodha,Sri Lanka,,46.00,7.67%,290/349,17.19%,,,,,,,,
2022,Minindu Jayasekara,Sri Lanka,,45.35,7.56%,292/349,16.62%,,,,,,,,
2022,Shithila Mahabaduge,Sri Lanka,,29.00,4.83%,316/349,9.74%,,,,,,,,
2022,Apiram Rajamohan,Sri Lanka,,19.75,3.29%,334/349,4.58%,,,,,,,,
2021,Sithija Abhishek Kotuwewatta,Sri Lanka,,198,33.00%,184/351,47.86%,,,,,,,,
2021,Chirath Nirodha,Sri Lanka,,146,24.33%,279/351,20.80%,,,,,,,,
2021,Lakshith Nishshanke,Sri Lanka,,136,22.67%,290/351,17.66%,,,,,,,,
2021,Apiram Rajamohan,Sri Lanka,,75,12.50%,335/351,4.84%,,,,,,,,
2020,Lakshith Nishshanke,Sri Lanka,,150.00,25.00%,241/343,30.03%,,,,,,,,
2020,Sithija Abhishek Kotuwewatta,Sri Lanka,,99.32,16.55%,277/343,19.53%,,,,,,,,
2020,Thithiesha Mahabaduge,Sri Lanka,,77.93,12.99%,291/343,15.45%,,,,,,,,
2020,Chirath Nirodha,Sri Lanka,,36.00,6.00%,319/343,7.29%,,,,,,,,
