Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Marijonas Salvijus Keturakis,Lithuania,,256.70,42.78%,132/353,62.89%,Bronze,,,,,,,
2024,Tomas Marcinkevičius,Lithuania,,223.00,37.17%,172/353,51.56%,Bronze,,,,,,,
2024,Kipras Deksnys,Lithuania,,185.97,31.00%,220/353,37.96%,Honourable Mention,,,,,,,
2024,Aidas Agejevas,Lithuania,,160.83,26.80%,248/353,30.03%,,,,,,,,
2023,Martynas Šmaižys,Lithuania,,231.0,38.50%,86/350,75.71%,Silver,,,,,,,
2023,Nedas Bolevičius,Lithuania,,151.5,25.25%,179/350,49.14%,,,,,,,,
2023,Liudas Staniulis,Lithuania,,116.0,19.33%,224/350,36.29%,,,,,,,,
2023,Gustas Mickus,Lithuania,,63.0,10.50%,285/350,18.86%,,,,,,,,
2022,Aldas Lenkšas,Lithuania,,276.77,46.13%,80/349,77.36%,Silver,,,,,,,
2022,Augustinas Jučas,Lithuania,,129.50,21.58%,196/349,44.13%,,,,,,,,
2022,Nedas Bolevičius,Lithuania,,65.00,10.83%,263/349,24.93%,Honourable Mention,,,,,,,
2022,Joris Pevcevičius,Lithuania,,62.50,10.42%,267/349,23.78%,,,,,,,,
2021,Modestas Gujis,Lithuania,,252,42.00%,114/351,67.81%,Bronze,,,,,,,
2021,Dovydas Vadišius,Lithuania,,239,39.83%,131/351,62.96%,Bronze,,,,,,,
2021,Aldas Lenkšas,Lithuania,,233,38.83%,134/351,62.11%,Bronze,,,,,,,
2021,Augustinas Jučas,Lithuania,,187,31.17%,200/351,43.30%,,,,,,,,
2020,Rokas Urbonas,Lithuania,,326.43,54.41%,91/343,73.76%,Bronze,,,,,,,
2020,Aldas Lenkšas,Lithuania,,308.71,51.45%,105/343,69.68%,Bronze,,,,,,,
2020,Dovydas Vadišius,Lithuania,,306.39,51.06%,108/343,68.80%,Bronze,,,,,,,
2020,Modestas Gujis,Lithuania,,186.32,31.05%,218/343,36.73%,,,,,,,,
2019,Gediminas Lelešius,Lithuania,,392.81,65.47%,39/327,88.38%,Silver,,,,,,,
2019,Tautvydas Jasiūnas,Lithuania,,377.68,62.95%,44/327,86.85%,Silver,,,,,,,
