Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Ansis Gustavs Andersons,Latvia,,366.64,61.11%,28/353,92.35%,Gold,,,,,,,
2024,Adriāns Piliksers,Latvia,,154.33,25.72%,256/353,27.76%,,,,,,,,
2024,Andrejs Piroženoks,Latvia,,130.70,21.78%,274/353,22.66%,,,,,,,,
2024,Edvards Freimanis,Latvia,,112.73,18.79%,286/353,19.26%,,,,,,,,
2023,Matīss Kristiņš,Latvia,,301.0,50.17%,37/350,89.71%,Silver,,,,,,,
2023,Ansis Gustavs Andersons,Latvia,,296.5,49.42%,39/350,89.14%,Silver,,,,,,,
2023,Adriāns Piliksers,Latvia,,163.5,27.25%,164/350,53.43%,Bronze,,,,,,,
2023,Valters Kalniņš,Latvia,,91.5,15.25%,251/350,28.57%,,,,,,,,
2022,Ansis Gustavs Andersons,Latvia,,232.35,38.73%,104/349,70.49%,Bronze,,,,,,,
2022,Matīss Kristiņš,Latvia,,155.00,25.83%,168/349,52.15%,Bronze,,,,,,,
2022,Valters Kalniņš,Latvia,,113.90,18.98%,212/349,39.54%,,,,,,,,
2022,Krišjānis Petručeņa,Latvia,,54.00,9.00%,277/349,20.92%,,,,,,,,
2021,Matīss Kristiņš,Latvia,,215,35.83%,153/351,56.70%,Bronze,,,,,,,
2021,Valters Kalniņš,Latvia,,206,34.33%,167/351,52.71%,Bronze,,,,,,,
2021,Ansis Gustavs Andersons,Latvia,,180,30.00%,221/351,37.32%,,,,,,,,
2021,Artis Vijups,Latvia,,166,27.67%,246/351,30.20%,,,,,,,,
2020,Matīss Kristiņš,Latvia,,291.28,48.55%,126/343,63.56%,Bronze,,,,,,,
2020,Kārlis Šusters,Latvia,,290.02,48.34%,127/343,63.27%,Bronze,,,,,,,
2020,Dzintars Klušs,Latvia,,243.62,40.60%,163/343,52.77%,Bronze,,,,,,,
2020,Jegors Baļzins,Latvia,,205.36,34.23%,201/343,41.69%,,,,,,,,
2019,Matīss Kristiņš,Latvia,,297.18,49.53%,110/327,66.67%,Bronze,,,,,,,
2019,Kārlis Šusters,Latvia,,296.92,49.49%,111/327,66.36%,Bronze,,,,,,,
2019,Renāts Jurševskis,Latvia,,236.00,39.33%,174/327,47.09%,,,,,,,,
2019,Vladimirs Ščigoļevs,Latvia,,212.92,35.49%,202/327,38.53%,,,,,,,,
2018,Roberts Leonārs Svarinskis,Latvia,,266,44.33%,88/335,74.03%,Bronze,,,,,,,
2018,Renāts Jurševskis,Latvia,,203,33.83%,157/335,53.43%,Bronze,,,,,,,
2018,Eduards Gaņkins,Latvia,,199,33.17%,162/335,51.94%,Bronze,,,,,,,
2018,Iļja Čaikovskis,Latvia,,192,32.00%,165/335,51.04%,Bronze,,,,,,,
2017,Ingus Jānis Pretkalniņš,Latvia,,236.06,39.34%,87/304,71.71%,Bronze,,,,,,,
2017,Roberts Leonārs Svarinskis,Latvia,,123.68,20.61%,169/304,44.74%,,,,,,,,
2017,Aleksandrs Zajakins,Latvia,,102.25,17.04%,193/304,36.84%,,,,,,,,
2017,Raitis Rūsiņš Kriķis,Latvia,,58.00,9.67%,245/304,19.74%,,,,,,,,
2016,Aleksejs Popovs,Latvia,,417,69.50%,23/308,92.86%,Gold,,,,,,,
2016,Ingus Jānis Pretkalniņš,Latvia,,265,44.17%,124/308,60.06%,Bronze,,,,,,,
2016,Daniels Keziks,Latvia,,182,30.33%,199/308,35.71%,,,,,,,,
2016,Aleksandrs Zajakins,Latvia,,166,27.67%,209/308,32.47%,,,,,,,,
2015,Aleksejs Zajakins,Latvia,,469.00,78.17%,17/322,95.03%,Gold,,,,,,,
2015,Aleksejs Popovs,Latvia,,266.55,44.42%,115/322,64.60%,Bronze,,,,,,,
2015,Kristaps Čivkulis,Latvia,,235.45,39.24%,136/322,58.07%,Bronze,,,,,,,
2015,Ingus Jānis Pretkalniņš,Latvia,,117.00,19.50%,220/322,31.99%,,,,,,,,
2014,Aleksejs Zajakins,Latvia,,447,74.50%,33/311,89.71%,Silver,,,,,,,
2014,Aleksejs Popovs,Latvia,,349,58.17%,72/311,77.17%,Silver,,,,,,,
2014,Kristaps Čivkulis,Latvia,,340,56.67%,78/311,75.24%,Silver,,,,,,,
2014,Ingus Jānis Pretkalniņš,Latvia,,187,31.17%,176/311,43.73%,,,,,,,,
2013,Aleksejs Zajakins,Latvia,,438,73.00%,38/299,87.63%,Silver,,,,,,,
2013,Ojārs Vilmārs Ratnieks,Latvia,,353,58.83%,78/299,74.25%,Bronze,,,,,,,
2013,Aleksejs Popovs,Latvia,,327,54.50%,94/299,68.90%,Bronze,,,,,,,
2013,Mihails Smoļins,Latvia,,165,27.50%,183/299,39.13%,,,,,,,,
2012,Ojārs Vilmārs Ratnieks,Latvia,,178,29.67%,126/310,59.68%,Bronze,,,,,,,
2012,Aleksejs Popovs,Latvia,,176,29.33%,131/310,58.06%,Bronze,,,,,,,
2012,Nikita Larka,Latvia,,143,23.83%,168/310,46.13%,,,,,,,,
2012,Marks Zeļdes,Latvia,,129,21.50%,179/310,42.58%,,,,,,,,
2011,Eduards Kaļiņičenko,Latvia,,491,81.83%,21/303,93.40%,Gold,,,,,,,
2011,Kārlis Seņko,Latvia,,248,41.33%,171/303,43.89%,,,,,,,,
2011,Ēriks Gopaks,Latvia,,196,32.67%,205/303,32.67%,,,,,,,,
2011,Aleksejs Popovs,Latvia,,128,21.33%,237/303,22.11%,,,,,,,,
2010,Eduards Kaļiņičenko,Latvia,645,78.66%,54/297,82.15%,Silver,,,,,,,,
2010,Normunds Vilciņš,Latvia,621,75.73%,72/297,76.09%,Silver,,,,,,,,
2010,Pēteris Eriņš,Latvia,611,74.51%,84/297,72.05%,Bronze,,,,,,,,
2010,Oļegs Ošmjans,Latvia,598,72.93%,100/297,66.67%,Bronze,,,,,,,,
2009,Eduards Kaļiņičenko,Latvia,526,65.75%,59/301,80.73%,Silver,,,,,,,,
2009,Mārtiņš Frolovs,Latvia,472,59.00%,85/301,72.09%,Bronze,,,,,,,,
2009,Oļegs Ošmjans,Latvia,452,56.50%,99/301,67.44%,Bronze,,,,,,,,
2009,Normunds Vilciņš,Latvia,431,53.88%,113/301,62.79%,Bronze,,,,,,,,
2008,Pāvels Cupikovs,Latvia,,307,51.17%,28/283,90.46%,Silver,,,,,,,
2008,Oļegs Ošmjans,Latvia,,154,25.67%,114/283,60.07%,Bronze,,,,,,,
2008,Eduards Kaļiņičenko,Latvia,,147,24.50%,127/283,55.48%,Bronze,,,,,,,
2008,Mārtiņš Frolovs,Latvia,,,,,,,,,,,,,
2007,Oļegs Ošmjans,Latvia,,,,,,,,,,,,,
2007,Pāvels Cupikovs,Latvia,,,,,,,,,,,,,
2007,Andrejs Vihrovs,Latvia,,,,,,,,,,,,,
2007,Vadims Fjodorovs,Latvia,,,,,,,,,,,,,
2006,Sergejs Beļajevs,Latvia,,343,57.17%,53/282,81.56%,Silver,,,,,,,
2006,Igors Stepanovs,Latvia,,258,43.00%,111/282,60.99%,Bronze,,,,,,,
2006,Pāvels Cupikovs,Latvia,,250,41.67%,119/282,58.16%,Bronze,,,,,,,
2006,Gints Gailītis,Latvia,,,,,,,,,,,,,
2005,Oļegs Urziks,Latvia,,418,69.67%,55/276,80.43%,Silver,,,,,,,
2005,Igors Stepanovs,Latvia,,409,68.17%,65/276,76.81%,Silver,,,,,,,
2005,Sergejs Beļajevs,Latvia,,328,54.67%,105/276,62.32%,Bronze,,,,,,,
2005,Sergejs Pogorelovs,Latvia,,,,,,,,,,,,,
2004,Artūrs Verza,Latvia,,415,69.17%,40/291,86.60%,Silver,,,,,,,
2004,Sergejs Pogorelovs,Latvia,,400,66.67%,48/291,83.85%,Silver,,,,,,,
2004,Pāvels Andrejevs,Latvia,,380,63.33%,60/291,79.73%,Silver,,,,,,,
2004,Oļegs Urziks,Latvia,,290,48.33%,124/291,57.73%,Bronze,,,,,,,
2003,Kārlis Gaņģis,Latvia,,284.1,47.35%,52/265,80.75%,Silver,,,,,,,
2003,Artūrs Verza,Latvia,,210.0,35.00%,103/265,61.51%,Bronze,,,,,,,
2003,Oļegs Urziks,Latvia,,202.3,33.72%,109/265,59.25%,Bronze,,,,,,,
2003,Pāvels Andrejevs,Latvia,,,,,,,,,,,,,
2002,Aleksandrs Belovs,Latvia,,361,60.17%,10/276,96.74%,Gold,,,,,,,
2002,Andrejs Ivanovs,Latvia,,329,54.83%,18/276,93.84%,Gold,,,,,,,
2002,Sergejs Kozlovičs,Latvia,,,,,,,,,,,,,
2002,Kārlis Gaņģis,Latvia,,,,,,,,,,,,,
2001,Ģirts Folkmanis,Latvia,,324,54.00%,42/272,84.93%,Silver,,,,,,,
2001,Vladimirs Redjko,Latvia,,260,43.33%,71/272,74.26%,Bronze,,,,,,,
2001,Ervīns Bebris,Latvia,,198,33.00%,99/272,63.97%,Bronze,,,,,,,
2001,Ivars Atteka,Latvia,,188,31.33%,106/272,61.40%,Bronze,,,,,,,
2000,Viesturs Zariņš,Latvia,,478,68.29%,37/278,87.05%,Silver,,,,,,,
2000,Igors Gorbovickis,Latvia,,430,61.43%,54/278,80.94%,Silver,,,,,,,
2000,Konstantīns Hamiduļļins,Latvia,,380,54.29%,75/278,73.38%,Bronze,,,,,,,
2000,Vladimirs Redjko,Latvia,,360,51.43%,87/278,69.06%,Bronze,,,,,,,
1999,Jānis Sermuliņš,Latvia,,355,59.17%,18/253,93.28%,Gold,,,,,,,
1999,Artūrs Žogla,Latvia,,203,33.83%,80/253,68.77%,Bronze,,,,,,,
1999,Dmitrijs Rutko,Latvia,,150,25.00%,117/253,54.15%,Bronze,,,,,,,
1999,Pēteris Paikens,Latvia,,138,23.00%,124/253,51.38%,Bronze,,,,,,,
