Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Ayman Riad Solh,Morocco,283.21,47.20%,101/353,71.67%,Bronze,,,,,,,,
2024,Mahdi Benkhadra,Morocco,187.31,31.22%,219/353,38.24%,Honourable Mention,,,,,,,,
2024,Yassir Salama,Morocco,104.50,17.42%,289/353,18.41%,,,,,,,,,
2024,Mohammed Cherki,Morocco,53.00,8.83%,331/353,6.52%,,,,,,,,,
2023,Ayman Riad Solh,Morocco,131.0,21.83%,211/350,40.00%,Honourable Mention,,,,,,,,
2023,Mouad Oujout,Morocco,51.0,8.50%,294/350,16.29%,,,,,,,,,
2023,Akram El Omrani,Morocco,50.5,8.42%,297/350,15.43%,,,,,,,,,
2023,Mohammed Amine Moutahid,Morocco,29.5,4.92%,317/350,9.71%,,,,,,,,,
2022,Ayman Riad Solh,Morocco,230.50,38.42%,110/349,68.77%,Bronze,,,,,,,,
2022,Nabil Boudra,Morocco,113.00,18.83%,214/349,38.97%,,,,,,,,,
2022,Akram El Omrani,Morocco,35.50,5.92%,307/349,12.32%,,,,,,,,,
2022,Soufien El Mazlouzi,Morocco,31.75,5.29%,312/349,10.89%,,,,,,,,,
2021,Ayman Riad Solh,Morocco,174,29.00%,227/351,35.61%,,,,,,,,,
2021,Nabil Boudra,Morocco,158,26.33%,262/351,25.64%,,,,,,,,,
2021,Aymane Moutei,Morocco,138,23.00%,287/351,18.52%,,,,,,,,,
2021,Mohamed Benomar El Mdeghri,Morocco,122,20.33%,305/351,13.39%,,,,,,,,,
2020,Mohamed ElKhatri,Morocco,252.25,42.04%,153/343,55.69%,Bronze,,,,,,,,
2020,Nabil Boudra,Morocco,145.78,24.30%,243/343,29.45%,,,,,,,,,
2020,Aymane Moutei,Morocco,114.24,19.04%,265/343,23.03%,,,,,,,,,
2020,Ayman Riad Solh,Morocco,75.00,12.50%,294/343,14.58%,,,,,,,,,
2019,Anouar Achghaf,Morocco,195.71,32.62%,225/327,31.50%,,,,,,,,,
2019,Aymane Lotfi,Morocco,147.00,24.50%,261/327,20.49%,,,,,,,,,
2019,Mohamed ElKhatri,Morocco,127.20,21.20%,274/327,16.51%,,,,,,,,,
2019,Mohamed Reda Glioula,Morocco,49.00,8.17%,309/327,5.81%,,,,,,,,,
2018,Anouar Achghaf,Morocco,69,11.50%,265/335,21.19%,,,,,,,,,
2018,Houssam Hanafi,Morocco,14,2.33%,314/335,6.57%,,,,,,,,,
2018,Anass Choukri,Morocco,10,1.67%,320/335,4.78%,,,,,,,,,
2018,Bilal Elbouardi,Morocco,5,0.83%,328/335,2.39%,,,,,,,,,
2017,Walid Astaoui,Morocco,45.00,7.50%,268/304,12.17%,,,,,,,,,
2017,Houssam Hanafi,Morocco,20.00,3.33%,294/304,3.62%,,,,,,,,,
2017,Ayman Boutadghhart,Morocco,0.00,0.00%,300/304,1.64%,,,,,,,,,
2017,Anass Choukri,Morocco,0.00,0.00%,300/304,1.64%,,,,,,,,,
1990,Amine,Morocco,,,,,,,,,,,,,
1990,Hicham,Morocco,,,,,,,,,,,,,
1990,Fatima Toukhati,Morocco,,,,,,,,,,,,,
