Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Timur Degteari,Moldova,,305.19,50.87%,75/353,79.04%,Silver,,,,,,,
2024,Mihai Esanu,Moldova,,218.81,36.47%,175/353,50.71%,Bronze,,,,,,,
2024,Marian Soltan,Moldova,,199.50,33.25%,200/353,43.63%,Honourable Mention,,,,,,,
2024,Alin Popescu,Moldova,,195.19,32.53%,202/353,43.06%,,,,,,,,
2023,Victor Vorona,Moldova,,277.0,46.17%,53/350,85.14%,Silver,,,,,,,
2023,Timur Degteari,Moldova,,184.5,30.75%,141/350,60.00%,Bronze,,,,,,,
2023,Veaceslav Guzun,Moldova,,172.0,28.67%,155/350,56.00%,Bronze,,,,,,,
2023,Alexandru Andrei,Moldova,,145.0,24.17%,188/350,46.57%,Honourable Mention,,,,,,,
2022,Victor Purice,Moldova,,186.97,31.16%,135/349,61.60%,Bronze,,,,,,,
2022,Victor Vorona,Moldova,,134.00,22.33%,191/349,45.56%,Honourable Mention,,,,,,,
2022,Veaceslav Guzun,Moldova,,55.75,9.29%,275/349,21.49%,,,,,,,,
2022,Marian Soltan,Moldova,,44.40,7.40%,295/349,15.76%,,,,,,,,
2021,Victor Purice,Moldova,,216,36.00%,152/351,56.98%,Bronze,,,,,,,
2021,Mihai Spinei,Moldova,,183,30.50%,216/351,38.75%,,,,,,,,
2021,Stanislav Brega,Moldova,,181,30.17%,218/351,38.18%,,,,,,,,
2021,Alexandru Andrei,Moldova,,147,24.50%,276/351,21.65%,,,,,,,,
2019,Alexandru Rudi,Moldova,,343.49,57.25%,69/327,79.20%,Silver,,,,,,,
2019,Gabriel Cojocaru,Moldova,,299.78,49.96%,108/327,67.28%,Bronze,,,,,,,
2019,Claudiu Babin,Moldova,,201.32,33.55%,217/327,33.94%,,,,,,,,
2019,Victor Melinceanu,Moldova,,138.50,23.08%,262/327,20.18%,,,,,,,,
2018,Alexandru Rudi,Moldova,,256,42.67%,99/335,70.75%,Bronze,,,,,,,
2018,Gabriel Cojocaru,Moldova,,256,42.67%,99/335,70.75%,Bronze,,,,,,,
2018,Corneliu Pașa,Moldova,,141,23.50%,219/335,34.93%,,,,,,,,
2018,Claudiu Babin,Moldova,,81,13.50%,259/335,22.99%,,,,,,,,
2017,Gabriel Cojocaru,Moldova,,271.70,45.28%,65/304,78.95%,Silver,,,,,,,
2017,Alexandru Rudi,Moldova,,184.77,30.80%,118/304,61.51%,Bronze,,,,,,,
2017,Corneliu Pașa,Moldova,,50.00,8.33%,257/304,15.79%,,,,,,,,
2017,Claudiu Babin,Moldova,,46.50,7.75%,264/304,13.49%,,,,,,,,
2016,Marcel Bezdrighin,Moldova,,328,54.67%,74/308,76.30%,Silver,,,,,,,
2016,Mihail Tarigradschi,Moldova,,312,52.00%,84/308,73.05%,Bronze,,,,,,,
2016,Gabriel Cojocaru,Moldova,,225,37.50%,162/308,47.73%,,,,,,,,
2016,Daniel Grosu,Moldova,,139,23.17%,223/308,27.92%,,,,,,,,
2015,Mihail Tarigradschi,Moldova,,270.00,45.00%,111/322,65.84%,Bronze,,,,,,,
2015,Marcel Bezdrighin,Moldova,,235.45,39.24%,136/322,58.07%,Bronze,,,,,,,
2015,Mihail Chihai,Moldova,,91.00,15.17%,246/322,23.91%,,,,,,,,
2015,Valeriu Motroi,Moldova,,62.00,10.33%,280/322,13.35%,,,,,,,,
2014,Victor Ciuntu,Moldova,,224,37.33%,151/311,51.77%,Bronze,,,,,,,
2014,Ion Mosnoi,Moldova,,165,27.50%,191/311,38.91%,,,,,,,,
2014,Anatolii Guzovatii,Moldova,,157,26.17%,195/311,37.62%,,,,,,,,
2014,Marcel Bezdrighin,Moldova,,125,20.83%,214/311,31.51%,,,,,,,,
2012,Victor Luncasu,Moldova,,86,14.33%,222/310,28.71%,,,,,,,,
2012,Catalin Vlas,Moldova,,83,13.83%,225/310,27.74%,,,,,,,,
2012,Victor Ciuntu,Moldova,,81,13.50%,232/310,25.48%,,,,,,,,
2012,Ion Ureche,Moldova,,44,7.33%,268/310,13.87%,,,,,,,,
2011,Victor Ciuntu,Moldova,,173,28.83%,219/303,28.05%,,,,,,,,
2011,Ion Caliman,Moldova,,111,18.50%,243/303,20.13%,,,,,,,,
2011,Andrian Moroi,Moldova,,106,17.67%,244/303,19.80%,,,,,,,,
2011,Nicusor Chiciuc,Moldova,,52,8.67%,264/303,13.20%,,,,,,,,
2010,Maxim Ciuntu,Moldova,428,52.20%,201/297,32.66%,,,,,,,,,
2010,Daniel Mogoreanu,Moldova,404,49.27%,209/297,29.97%,,,,,,,,,
2010,Iulian Gramatki,Moldova,403,49.15%,210/297,29.63%,,,,,,,,,
2010,Victor Ciuntu,Moldova,252,30.73%,256/297,14.14%,,,,,,,,,
2009,Pavel Gutu,Moldova,,,,,,,,,,,,,
2009,Vladimir Cernov,Moldova,,,,,,,,,,,,,
2009,Artiom Casapu,Moldova,,,,,,,,,,,,,
2009,Daniel Mogoreanu,Moldova,,,,,,,,,,,,,
2008,Mihaela Rusu,Moldova,,,,,,,,,,,,,
2008,Mircea Grecu,Moldova,,,,,,,,,,,,,
2008,Maxim Ciuntu,Moldova,,,,,,,,,,,,,
2008,Constantin Berzan,Moldova,,,,,,,,,,,,,
2007,Alexandru Iacob,Moldova,,238,39.67%,113/285,60.70%,Bronze,,,,,,,
2007,Mircea Grecu,Moldova,,215,35.83%,123/285,57.19%,Bronze,,,,,,,
2007,Maxim Ciuntu,Moldova,,,,,,,,,,,,,
2007,Constantin Berzan,Moldova,,,,,,,,,,,,,
2006,Mircea Grecu,Moldova,,,,,,,,,,,,,
2006,Vladimir Vanovschi,Moldova,,,,,,,,,,,,,
2006,Alexandr Zamorzaev Oreleanshii,Moldova,,,,,,,,,,,,,
2006,Dmitri Gaisan,Moldova,,,,,,,,,,,,,
2005,Simion Filip,Moldova,,275,45.83%,137/276,50.72%,Bronze,,,,,,,
2005,Mircea Grecu,Moldova,,,,,,,,,,,,,
2005,Dumitru Ciubatii,Moldova,,,,,,,,,,,,,
2005,Vladimir Vanovschi,Moldova,,,,,,,,,,,,,
2004,Constantin Dolghier,Moldova,,335,55.83%,91/291,69.07%,Bronze,,,,,,,
2004,Dumitru Ciubatii,Moldova,,325,54.17%,98/291,66.67%,Bronze,,,,,,,
2004,Constantin Jucovschi,Moldova,,325,54.17%,98/291,66.67%,Bronze,,,,,,,
2004,Vladimir Panteleev,Moldova,,,,,,,,,,,,,
2003,Constantin Jucovschi,Moldova,,191.5,31.92%,115/265,56.98%,Bronze,,,,,,,
2003,Sorbalo Eugen,Moldova,,179.8,29.97%,122/265,54.34%,Bronze,,,,,,,
2003,Eugen Sorbalo,Moldova,,,,,,,,,,,,,
2003,Constantin Dolghier,Moldova,,,,,,,,,,,,,
2002,Dumitru Ciubatii,Moldova,,204,34.00%,83/276,70.29%,Bronze,,,,,,,
2002,Constantin Jucovschi,Moldova,,141,23.50%,135/276,51.45%,Bronze,,,,,,,
2002,Dumitru Codreanu,Moldova,,140,23.33%,136/276,51.09%,Bronze,,,,,,,
2002,Eugen Sorbalo,Moldova,,,,,,,,,,,,,
2001,Dumitru Codreanu,Moldova,,264,44.00%,69/272,75.00%,Bronze,,,,,,,
2001,Corneliu Margine,Moldova,,157,26.17%,128/272,53.31%,Bronze,,,,,,,
2001,Constantin Jucovschi,Moldova,,145,24.17%,134/272,51.10%,Bronze,,,,,,,
2001,Dumitru Daniliuc,Moldova,,,,,,,,,,,,,
2000,Dumitru Codreanu,Moldova,,370,52.86%,81/278,71.22%,Bronze,,,,,,,
2000,Denis Bogdanas,Moldova,,361,51.57%,86/278,69.42%,Bronze,,,,,,,
2000,Andrei Bejenari,Moldova,,,,,,,,,,,,,
2000,Corneliu Margine,Moldova,,,,,,,,,,,,,
1999,Alexandru Andoni,Moldova,,336,56.00%,23/253,91.30%,Silver,,,,,,,
1999,Corneliu Margine,Moldova,,,,,,,,,,,,,
1999,Constantin Jucovschi,Moldova,,,,,,,,,,,,,
1999,Arcadie Cracan,Moldova,,,,,,,,,,,,,
1998,Alexandru Andoni,Moldova,,490,70.00%,59/241,75.93%,Silver,,,,,,,
1998,Nicolai Brinza,Moldova,,290,41.43%,125/241,48.55%,,,,,,,,
1998,Adrian Cucu,Moldova,,80,11.43%,193/241,20.33%,,,,,,,,
1998,Marius Vetrici,Moldova,,30,4.29%,212/241,12.45%,,,,,,,,
1997,Alexandru Andoni,Moldova,,282,47.00%,61/221,72.85%,Bronze,,,,,,,
1997,Nicolai Brinza,Moldova,,274,45.67%,65/221,71.04%,Bronze,,,,,,,
1997,Dan Stratila,Moldova,,208,34.67%,110/221,50.68%,Bronze,,,,,,,
1997,Adrian Cucu,Moldova,,24,4.00%,203/221,8.60%,,,,,,,,
1996,Alexandru Andoni,Moldova,,81,40.50%,134/220,39.55%,,,,,,,,
1996,Artiom Alhazov,Moldova,,75,37.50%,142/220,35.91%,,,,,,,,
1996,Dan Stratila,Moldova,,63,31.50%,165/220,25.45%,,,,,,,,
1996,Nicolai Brinza,Moldova,,54,27.00%,175/220,20.91%,,,,,,,,
