Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,José Andrés Lemus Velazquez,Mexico,,225.61,37.60%,169/353,52.41%,Bronze,,,,,,,
2024,Santiago de la Torre Zamudio,Mexico,,212.33,35.39%,182/353,48.73%,Honourable Mention,,,,,,,
2024,Logan Guerrero Díaz,Mexico,,202.83,33.80%,195/353,45.04%,Honourable Mention,,,,,,,
2024,Emmanuel Buenrostro Briseño,Mexico,,194.83,32.47%,204/353,42.49%,Honourable Mention,,,,,,,
2023,Cynthia Naely López Estrada,Mexico,,118.0,19.67%,223/350,36.57%,,,,,,,,
2023,Jorge Sebastián Reyes Canul,Mexico,,107.0,17.83%,240/350,31.71%,,,,,,,,
2023,Alejandro Ozymandias Cepeda Beltran,Mexico,,84.0,14.00%,262/350,25.43%,,,,,,,,
2023,Alier Sanchez y Sanchez,Mexico,,78.5,13.08%,270/350,23.14%,,,,,,,,
2022,Alier Sanchez y Sanchez,Mexico,,175.13,29.19%,147/349,58.17%,Bronze,,,,,,,
2022,Cynthia Naely López Estrada,Mexico,,166.92,27.82%,158/349,55.01%,Bronze,,,,,,,
2022,Alejandro Ozymandias Cepeda Beltran,Mexico,,155.32,25.89%,167/349,52.44%,Bronze,,,,,,,
2022,Juan Pablo Amezcua González,Mexico,,65.50,10.92%,262/349,25.21%,,,,,,,,
2021,José Ángel Cázares Torres,Mexico,,195,32.50%,187/351,47.01%,,,,,,,,
2021,Víctor Armando Jaramillo Moreno,Mexico,,187,31.17%,200/351,43.30%,,,,,,,,
2021,Fernanda Sarahy Mancilla Núñez,Mexico,,159,26.50%,258/351,26.78%,,,,,,,,
2021,Alejandro Ozymandias Cepeda Beltran,Mexico,,116,19.33%,312/351,11.40%,,,,,,,,
2020,Héctor Fernando Ricárdez Lara,Mexico,,248.33,41.39%,158/343,54.23%,Bronze,,,,,,,
2020,José Ángel Cázares Torres,Mexico,,238.32,39.72%,170/343,50.73%,Bronze,,,,,,,
2020,Gabriel Ricardo Rodriguez Castillo,Mexico,,106.00,17.67%,272/343,20.99%,,,,,,,,
2020,Alejandro Ozymandias Cepeda Beltran,Mexico,,76.00,12.67%,292/343,15.16%,,,,,,,,
2019,Héctor Fernando Ricárdez Lara,Mexico,,283.15,47.19%,127/327,61.47%,Bronze,,,,,,,
2019,Sebastian Sánchez Lara,Mexico,,262.22,43.70%,153/327,53.52%,Bronze,,,,,,,
2019,Diego Emir García Moreno,Mexico,,223.08,37.18%,194/327,40.98%,,,,,,,,
2019,José Ángel Cázares Torres,Mexico,,198.00,33.00%,222/327,32.42%,,,,,,,,
2018,Diego García Rodríguez del Campo,Mexico,,233,38.83%,121/335,64.18%,Bronze,,,,,,,
2018,Julián Rodríguez Cárdenas,Mexico,,156,26.00%,199/335,40.90%,,,,,,,,
2018,José Ángel Cázares Torres,Mexico,,139,23.17%,220/335,34.63%,,,,,,,,
