Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Damjan Davkov,North Macedonia,,350.81,58.47%,38/353,89.52%,Silver,,,,,,,
2024,Blagoj Rujanoski Stojanovski,North Macedonia,,194.81,32.47%,205/353,42.21%,Honourable Mention,,,,,,,
2024,Viktor Maksimoski,North Macedonia,,127.00,21.17%,277/353,21.81%,,,,,,,,
2024,Sofija Velkovska,North Macedonia,,99.33,16.55%,294/353,17.00%,,,,,,,,
2023,Damjan Davkov,North Macedonia,,180.0,30.00%,146/350,58.57%,Bronze,,,,,,,
2023,Marko Petrov,North Macedonia,,139.0,23.17%,202/350,42.57%,Honourable Mention,,,,,,,
2023,Blagoj Rujanoski Stojanovski,North Macedonia,,111.0,18.50%,233/350,33.71%,,,,,,,,
2023,Ivan Zanov,North Macedonia,,85.0,14.17%,261/350,25.71%,,,,,,,,
2022,Blagojche Pavleski,North Macedonia,,386.64,64.44%,37/349,89.68%,Silver,,,,,,,
2022,Marko Tanevski,North Macedonia,,229.25,38.21%,111/349,68.48%,Bronze,,,,,,,
2022,Teo Kitanovski,North Macedonia,,181.39,30.23%,140/349,60.17%,Bronze,,,,,,,
2022,Sofija Velkovska,North Macedonia,,39.00,6.50%,300/349,14.33%,,,,,,,,
2021,Andrej Shekerov,North Macedonia,,195,32.50%,187/351,47.01%,,,,,,,,
2021,Marko Tanevski,North Macedonia,,170,28.33%,241/351,31.62%,,,,,,,,
2021,Blagojche Pavleski,North Macedonia,,163,27.17%,252/351,28.49%,,,,,,,,
2021,Teo Kitanovski,North Macedonia,,146,24.33%,279/351,20.80%,,,,,,,,
2020,Blagojche Pavleski,North Macedonia,,303.22,50.54%,115/343,66.76%,Bronze,,,,,,,
2020,Andrej Shekerov,North Macedonia,,268.93,44.82%,144/343,58.31%,Bronze,,,,,,,
2020,Andrej Velichkovski,North Macedonia,,262.00,43.67%,148/343,57.14%,Bronze,,,,,,,
2020,Teo Kitanovski,North Macedonia,,162.93,27.16%,237/343,31.20%,,,,,,,,
2019,Andrej Velichkovski,North Macedonia,,320.65,53.44%,92/327,72.17%,Bronze,,,,,,,
2019,Andrej Shekerov,North Macedonia,,252.27,42.05%,161/327,51.07%,Bronze,,,,,,,
2019,Martin Dinev,North Macedonia,,248.42,41.40%,165/327,49.85%,,,,,,,,
2019,Blagojche Pavleski,North Macedonia,,216.00,36.00%,200/327,39.14%,,,,,,,,
2018,Vladimir Maksimovski,North Macedonia,,314,52.33%,44/335,87.16%,Silver,,,,,,,
2018,Andrej Velichkovski,North Macedonia,,200,33.33%,161/335,52.24%,Bronze,,,,,,,
2018,Martin Dinev,North Macedonia,,175,29.17%,177/335,47.46%,,,,,,,,
2018,Filip Mihov,North Macedonia,,119,19.83%,230/335,31.64%,,,,,,,,
2017,Filip Mihov,North Macedonia,,176.79,29.46%,121/304,60.53%,Bronze,,,,,,,
2017,Dimitar Bajraktarov,North Macedonia,,134.59,22.43%,154/304,49.67%,,,,,,,,
2017,Marko Kjalasan,North Macedonia,,102.00,17.00%,194/304,36.51%,,,,,,,,
2017,Vladimir Maksimovski,North Macedonia,,82.18,13.70%,214/304,29.93%,,,,,,,,
2016,Vladimir Maksimovski,North Macedonia,,315,52.50%,81/308,74.03%,Bronze,,,,,,,
2016,Dimitar Bajraktarov,North Macedonia,,231,38.50%,158/308,49.03%,,,,,,,,
2016,Dushan Terzikj,North Macedonia,,113,18.83%,239/308,22.73%,,,,,,,,
2016,Nikola Stojkoski,North Macedonia,,108,18.00%,247/308,20.13%,,,,,,,,
2015,Kliment Serafimov,North Macedonia,,168.00,28.00%,172/322,46.89%,,,,,,,,
2015,Boris Tanchovski,North Macedonia,,153.02,25.50%,185/322,42.86%,,,,,,,,
2015,Dimitar Bajraktarov,North Macedonia,,137.00,22.83%,198/322,38.82%,,,,,,,,
2015,Hristijan Gjorshevski,North Macedonia,,47.00,7.83%,290/322,10.25%,,,,,,,,
2014,Bojan Serafimov,North Macedonia,,355,59.17%,68/311,78.46%,Silver,,,,,,,
2014,Vasil Kuzevski,North Macedonia,,319,53.17%,90/311,71.38%,Bronze,,,,,,,
2014,Kliment Serafimov,North Macedonia,,265,44.17%,119/311,62.06%,Bronze,,,,,,,
2014,Filip Bedjovski,North Macedonia,,65,10.83%,268/311,14.15%,,,,,,,,
2013,Bojan Serafimov,North Macedonia,,332,55.33%,91/299,69.90%,Bronze,,,,,,,
2013,Kliment Serafimov,North Macedonia,,192,32.00%,169/299,43.81%,,,,,,,,
2013,Vasil Kuzevski,North Macedonia,,137,22.83%,201/299,33.11%,,,,,,,,
2013,Rosica Dejanovska,North Macedonia,,92,15.33%,231/299,23.08%,,,,,,,,
2012,Bojan Serafimov,North Macedonia,,193,32.17%,107/310,65.81%,Bronze,,,,,,,
2012,Hristijan Bogoevski,North Macedonia,,178,29.67%,126/310,59.68%,Bronze,,,,,,,
2012,Kliment Serafimov,North Macedonia,,131,21.83%,178/310,42.90%,,,,,,,,
2012,Jovan Krajevski,North Macedonia,,95,15.83%,212/310,31.94%,,,,,,,,
2011,Predrag Gruevski,North Macedonia,,365,60.83%,86/303,71.95%,Bronze,,,,,,,
2011,Hristijan Bogoevski,North Macedonia,,290,48.33%,142/303,53.47%,Bronze,,,,,,,
2011,Jovan Krajevski,North Macedonia,,232,38.67%,185/303,39.27%,,,,,,,,
2011,Dejan Bozhinovski,North Macedonia,,216,36.00%,192/303,36.96%,,,,,,,,
2010,Predrag Gruevski,North Macedonia,600,73.17%,95/297,68.35%,Bronze,,,,,,,,
2010,Hristijan Bogoevski,North Macedonia,494,60.24%,176/297,41.08%,,,,,,,,,
2010,Mladen Dimovski,North Macedonia,392,47.80%,215/297,27.95%,,,,,,,,,
2010,Jovan Krajevski,North Macedonia,386,47.07%,222/297,25.59%,,,,,,,,,
2009,Gjorgji Janceski,North Macedonia,,,,,,,,,,,,,
2009,Deniz Dzhumkar,North Macedonia,,,,,,,,,,,,,
2009,Hristijan Bogoevski,North Macedonia,,,,,,,,,,,,,
2009,Mladen Dimovski,North Macedonia,,,,,,,,,,,,,
2008,Andrej Risteski,North Macedonia,,,,,,,,,,,,,
2008,Vasja Pavlov,North Macedonia,,,,,,,,,,,,,
2008,Nenad Ancev,North Macedonia,,,,,,,,,,,,,
2008,Filip Talimdzioski,North Macedonia,,,,,,,,,,,,,
2007,Viktor Simjanoski,North Macedonia,,,,,,,,,,,,,
2007,Andrej Risteski,North Macedonia,,,,,,,,,,,,,
2007,Igor Kulev,North Macedonia,,,,,,,,,,,,,
2007,Martin Ancevski,North Macedonia,,,,,,,,,,,,,
2006,Stefan Trajkovski,North Macedonia,,,,,,,,,,,,,
2006,Dimitar Misev,North Macedonia,,,,,,,,,,,,,
2006,Adela Maznikar,North Macedonia,,,,,,,,,,,,,
2006,Bojan Kostadinov,North Macedonia,,,,,,,,,,,,,
2005,Bojan Kostadinov,North Macedonia,,,,,,,,,,,,,
2005,Andrej Risteski,North Macedonia,,,,,,,,,,,,,
2005,Alen Stojanov,North Macedonia,,,,,,,,,,,,,
2005,Nikola Postolov,North Macedonia,,,,,,,,,,,,,
2004,Aleksandar Shurbevski,North Macedonia,,,,,,,,,,,,,
2004,Jordan Soklevski,North Macedonia,,,,,,,,,,,,,
2004,Nikola Postolov,North Macedonia,,,,,,,,,,,,,
2004,Zoran Dimov,North Macedonia,,,,,,,,,,,,,
2003,Nikola Postolov,North Macedonia,,174.5,29.08%,127/265,52.45%,Bronze,,,,,,,
2003,Vladimir Arsov,North Macedonia,,,,,,,,,,,,,
2003,Petar Adamovski,North Macedonia,,,,,,,,,,,,,
2003,Daniel Lazarovski,North Macedonia,,,,,,,,,,,,,
2002,Vesna Stojanovska,North Macedonia,,,,,,,,,,,,,
2002,Darko Aleksovski,North Macedonia,,,,,,,,,,,,,
2002,Nikolce Mihajlovski,North Macedonia,,,,,,,,,,,,,
2002,Vasil Atanasov,North Macedonia,,,,,,,,,,,,,
2001,Dimitar Nikolov,North Macedonia,,,,,,,,,,,,,
2001,Vasil Atanasov,North Macedonia,,,,,,,,,,,,,
2001,Vesna Stojanovska,North Macedonia,,,,,,,,,,,,,
2001,Darko Aleksovski,North Macedonia,,,,,,,,,,,,,
2000,Igor Zlatkov,North Macedonia,,,,,,,,,,,,,
2000,Mile Tanturovski,North Macedonia,,,,,,,,,,,,,
2000,Valentin Gjorgjioski,North Macedonia,,,,,,,,,,,,,
2000,Vlatko Kolovski,North Macedonia,,,,,,,,,,,,,
1999,Vlatko Kolovski,North Macedonia,,148,24.67%,120/253,52.96%,Bronze,,,,,,,
1999,Vladimir Jakimov,North Macedonia,,,,,,,,,,,,,
1999,Mile Tanturovski,North Macedonia,,,,,,,,,,,,,
1999,Kostadin Balajcaliev,North Macedonia,,,,,,,,,,,,,
1998,Dragan Sekulovski,North Macedonia,,200,28.57%,152/241,37.34%,,,,,,,,
1998,Oliver Boskovski,North Macedonia,,60,8.57%,197/241,18.67%,,,,,,,,
1998,Vladica Sark,North Macedonia,,30,4.29%,212/241,12.45%,,,,,,,,
1998,Kostadin Balajcaliev,North Macedonia,,0,0.00%,222/241,8.30%,,,,,,,,
1997,Zarko Aleksovski,North Macedonia,,235,39.17%,84/221,62.44%,Bronze,,,,,,,
1997,Vladica Sark,North Macedonia,,140,23.33%,148/221,33.48%,,,,,,,,
1997,Martin Mladenovski,North Macedonia,,110,18.33%,163/221,26.70%,,,,,,,,
1997,Ognen Ivanovski,North Macedonia,,100,16.67%,169/221,23.98%,,,,,,,,
1996,Zarko Aleksovski,North Macedonia,,142,71.00%,62/220,72.27%,Bronze,,,,,,,
1996,Andrej Bogdanov,North Macedonia,,116,58.00%,84/220,62.27%,Bronze,,,,,,,
1996,Boro Jakimovski,North Macedonia,,86,43.00%,122/220,45.00%,,,,,,,,
1996,Igor Trajkovski,North Macedonia,,81,40.50%,134/220,39.55%,,,,,,,,
