Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2004,Atanas Atanasov,Malta,280,46.67%,130/291,55.67%,Bronze,,,,,,,,
2004,Karl Cassar,Malta,,,,,,,,,,,,,
2004,Ranier Bonnici,Malta,,,,,,,,,,,,,
2004,Stephen Fenech,Malta,,,,,,,,,,,,,
2002,Christian Colombo,Malta,,,,,,,,,,,,,
2002,Joel Azzopardi,Malta,,,,,,,,,,,,,
1995,Angelo Dalli,Malta,94,47.00%,98/210,53.81%,Bronze,,,,,,,,
1995,Sinclair Calleja,Malta,37,18.50%,167/210,20.95%,,,,,,,,,
1995,Paulseph-John Farrugia,Malta,28,14.00%,172/210,18.57%,,,,,,,,,
1995,Jonathan Jones,Malta,2,1.00%,201/210,4.76%,,,,,,,,,
1994,Tony Borg,Malta,,,,,,,,,,,,,
1994,Francois Grech,Malta,,,,,,,,,,,,,
1994,Julian Esposito,Malta,,,,,,,,,,,,,
1994,Brian Laudi,Malta,,,,,,,,,,,,,
1992,Vincent Vella,Malta,,,,,,,,,,,,,
1992,Stephen Vella,Malta,,,,,,,,,,,,,
1992,Albert Muscat,Malta,,,,,,,,,,,,,
1992,Paul Gafa,Malta,,,,,,,,,,,,,
