Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Balsa Radulovic,Montenegro,53.00,8.83%,331/353,6.52%,,,,,,,,,
2023,Egor Georgievskii,Montenegro,144.5,24.08%,191/350,45.71%,Honourable Mention,,,,,,,,
2023,Marko Petrovic,Montenegro,66.0,11.00%,280/350,20.29%,,,,,,,,,
2023,Luka Kankaraš,Montenegro,16.0,2.67%,333/350,5.14%,,,,,,,,,
2023,Alan Adzagic,Montenegro,0.0,0.00%,343/350,2.29%,,,,,,,,,
2022,Egor Georgievskii,Montenegro,178.00,29.67%,144/349,59.03%,Bronze,,,,,,,,
2021,Matija Delic,Montenegro,169,28.17%,243/351,31.05%,,,,,,,,,
2021,Jovan Kascelan,Montenegro,158,26.33%,262/351,25.64%,,,,,,,,,
2021,Egor Georgievskii,Montenegro,157,26.17%,265/351,24.79%,,,,,,,,,
2021,Filip Dosljak,Montenegro,138,23.00%,287/351,18.52%,,,,,,,,,
2020,Filip Dosljak,Montenegro,98.78,16.46%,278/343,19.24%,,,,,,,,,
2020,Matija Delic,Montenegro,19.00,3.17%,335/343,2.62%,,,,,,,,,
2019,Kosta Vukicevic,Montenegro,154.00,25.67%,252/327,23.24%,,,,,,,,,
2019,Jovan Kascelan,Montenegro,124.00,20.67%,277/327,15.60%,,,,,,,,,
2018,Kosta Vukicevic,Montenegro,106,17.67%,241/335,28.36%,,,,,,,,,
2018,Filip Radovic,Montenegro,10,1.67%,320/335,4.78%,,,,,,,,,
2017,Miodrag Racic,Montenegro,32.66,5.44%,289/304,5.26%,,,,,,,,,
2016,Velibor Dosljak,Montenegro,127,21.17%,231/308,25.32%,,,,,,,,,
2015,Dejan Todorovic,Montenegro,155.45,25.91%,180/322,44.41%,,,,,,,,,
2015,Velibor Dosljak,Montenegro,143.13,23.86%,191/322,40.99%,,,,,,,,,
2014,Dejan Todorovic,Montenegro,111,18.50%,218/311,30.23%,,,,,,,,,
2014,Petar Milosavljevic,Montenegro,50,8.33%,280/311,10.29%,,,,,,,,,
2014,Petar Djerkovic,Montenegro,25,4.17%,302/311,3.22%,,,,,,,,,
2013,Luka Bulatović,Montenegro,144,24.00%,195/299,35.12%,,,,,,,,,
2013,Andrej Karadzic,Montenegro,45,7.50%,271/299,9.70%,,,,,,,,,
2013,Ilija Radosavovic,Montenegro,36,6.00%,279/299,7.02%,,,,,,,,,
2012,Luka Bulatović,Montenegro,40,6.67%,272/310,12.58%,,,,,,,,,
2011,Vuk Pejović,Montenegro,53,8.83%,262/303,13.86%,,,,,,,,,
2011,Lazar Radinović,Montenegro,47,7.83%,267/303,12.21%,,,,,,,,,
2011,Luka Bulatović,Montenegro,44,7.33%,268/303,11.88%,,,,,,,,,
2011,Kosta Pavlović,Montenegro,19,3.17%,280/303,7.92%,,,,,,,,,
