Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Onolt Khurtsbilguun,Mongolia,,277.85,46.31%,107/353,69.97%,Bronze,,,,,,,
2024,Irmuun Chinbat,Mongolia,,274.77,45.80%,114/353,67.99%,Bronze,,,,,,,
2024,Tamir Jamiyangarav,Mongolia,,133.50,22.25%,273/353,22.95%,,,,,,,,
2024,Erkhem Ganzorig,Mongolia,,96.00,16.00%,296/353,16.43%,,,,,,,,
2023,Turkhuu Batbayar,Mongolia,,186.0,31.00%,138/350,60.86%,Bronze,,,,,,,
2023,Enerelt Delgerdalai,Mongolia,,175.0,29.17%,150/350,57.43%,Bronze,,,,,,,
2023,Onolt Khurtsbilguun,Mongolia,,158.0,26.33%,173/350,50.86%,Bronze,,,,,,,
2023,Khishigdemberel Bayarkhuu,Mongolia,,64.0,10.67%,283/350,19.43%,,,,,,,,
2022,Jangar Enkhbaatar,Mongolia,,171.00,28.50%,154/349,56.16%,Bronze,,,,,,,
2022,Bat-Erdene Batsukh,Mongolia,,163.67,27.28%,161/349,54.15%,Bronze,,,,,,,
2022,Enerelt Delgerdalai,Mongolia,,112.00,18.67%,215/349,38.68%,,,,,,,,
2022,Belgutei Byambadorj,Mongolia,,97.00,16.17%,235/349,32.95%,,,,,,,,
2021,Nyamdavaa Amar,Mongolia,,324,54.00%,57/351,84.05%,Silver,,,,,,,
2021,Belgutei Byambadorj,Mongolia,,187,31.17%,200/351,43.30%,,,,,,,,
2021,Bilguudei Shinezul,Mongolia,,186,31.00%,210/351,40.46%,,,,,,,,
2021,Bat-Erdene Batsukh,Mongolia,,174,29.00%,227/351,35.61%,,,,,,,,
2020,Nyamdavaa Amar,Mongolia,,483.62,80.60%,27/343,92.42%,Gold,,,,,,,
2020,Badrangiikh Bat-Orgil,Mongolia,,110.64,18.44%,268/343,22.16%,,,,,,,,
2020,Bilguudei Shinezul,Mongolia,,58.00,9.67%,310/343,9.91%,,,,,,,,
2020,Khangal Battur,Mongolia,,56.00,9.33%,311/343,9.62%,,,,,,,,
2019,Nyamdavaa Amar,Mongolia,,341.49,56.91%,71/327,78.59%,Silver,,,,,,,
2019,Tugsgerel Lkhagvasuren,Mongolia,,212.58,35.43%,203/327,38.23%,,,,,,,,
2019,Turbat Enkhbat,Mongolia,,177.00,29.50%,235/327,28.44%,,,,,,,,
2019,Khulegu Batnasan,Mongolia,,64.33,10.72%,302/327,7.95%,,,,,,,,
2018,Tenuun Olonbaatar,Mongolia,,253,42.17%,105/335,68.96%,Bronze,,,,,,,
2018,Tugsgerel Lkhagvasuren,Mongolia,,156,26.00%,199/335,40.90%,,,,,,,,
2018,Batmend Batsaikhan,Mongolia,,153,25.50%,204/335,39.40%,,,,,,,,
2018,Nyamdavaa Amar,Mongolia,,97,16.17%,250/335,25.67%,,,,,,,,
2017,Batjargal Altangerel,Mongolia,,133.00,22.17%,161/304,47.37%,,,,,,,,
2017,Bilegdemberel Sumiyabayar,Mongolia,,85.74,14.29%,210/304,31.25%,,,,,,,,
2017,Altangerel Baatar,Mongolia,,80.01,13.34%,216/304,29.28%,,,,,,,,
2017,Lkhagvasuren Zagdsuren,Mongolia,,43.66,7.28%,272/304,10.86%,,,,,,,,
2016,Battulga Enkhbayar,Mongolia,,211,35.17%,170/308,45.13%,,,,,,,,
2016,Batjargal Altangerel,Mongolia,,177,29.50%,204/308,34.09%,,,,,,,,
2016,Ankhdalai Otgonbaatar,Mongolia,,127,21.17%,231/308,25.32%,,,,,,,,
2016,Bat-Orshikh Gombojav,Mongolia,,85,14.17%,261/308,15.58%,,,,,,,,
2015,Battulga Enkhbayar,Mongolia,,108.45,18.07%,228/322,29.50%,,,,,,,,
2015,Akjarkyn Tumurkhan,Mongolia,,108.45,18.07%,228/322,29.50%,,,,,,,,
2015,Batjargal Altangerel,Mongolia,,73.00,12.17%,265/322,18.01%,,,,,,,,
2015,Bat-Orshikh Gombojav,Mongolia,,56.00,9.33%,284/322,12.11%,,,,,,,,
2014,Enkhsanaa Natsagdorj,Mongolia,,220,36.67%,157/311,49.84%,,,,,,,,
2014,Tamir Boldbaatar,Mongolia,,90,15.00%,239/311,23.47%,,,,,,,,
2014,Javkhlan Batsaikhan,Mongolia,,86,14.33%,247/311,20.90%,,,,,,,,
2014,Battulga Tsogtgerel,Mongolia,,31,5.17%,295/311,5.47%,,,,,,,,
2013,Bayarkhuu Lodoidamba,Mongolia,,207,34.50%,158/299,47.49%,,,,,,,,
