Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2002,Bachir Bachir,Mozambique,,,,,,,,,,,,,
2002,Decio Macamo,Mozambique,,,,,,,,,,,,,
2002,Sonia Raithatha,Mozambique,,,,,,,,,,,,,
2001,Adao Baptista,Mozambique,,,,,,,,,,,,,
2001,Sonia Raithatha,Mozambique,,,,,,,,,,,,,
2001,Decio Macamo,Mozambique,,,,,,,,,,,,,
2001,Bachir Bachir,Mozambique,,,,,,,,,,,,,
2000,Guy Cid Palaio,Mozambique,,,,,,,,,,,,,
2000,Daniel Taj,Mozambique,,,,,,,,,,,,,
2000,Azarias Tomas Muchanga,Mozambique,,,,,,,,,,,,,
1999,Daniel Taj,Mozambique,,,,,,,,,,,,,
1999,Azarias Tomas Muchanga,Mozambique,,,,,,,,,,,,,
1999,Marco Morgado,Mozambique,,,,,,,,,,,,,
1999,Guy Cid Palaio,Mozambique,,,,,,,,,,,,,
1998,Alda Tomo,Mozambique,,0,0.00%,222/241,8.30%,,,,,,,,
1998,Arsɏio Fabiao,Mozambique,,0,0.00%,222/241,8.30%,,,,,,,,
1998,Azarias Tomas Muchanga,Mozambique,,0,0.00%,222/241,8.30%,,,,,,,,
1998,Daniel Taj,Mozambique,,0,0.00%,222/241,8.30%,,,,,,,,
1997,Alda Tomo,Mozambique,0,0.00%,215/221,3.17%,,,,,,,,,
1997,Orvalho Phagule,Mozambique,0,0.00%,215/221,3.17%,,,,,,,,,
