Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Isaac Kai Sheng Hew,Malaysia,344.61,57.44%,44/353,87.82%,Silver,,,,,,,,
2024,Kwong Weng Loh,Malaysia,308.13,51.35%,72/353,79.89%,Silver,,,,,,,,
2024,Chang Jun Lim,Malaysia,234.50,39.08%,158/353,55.52%,Bronze,,,,,,,,
2024,Yan Xun Khor,Malaysia,213.27,35.55%,181/353,49.01%,Honourable Mention,,,,,,,,
2023,Hua Zhi Vee,Malaysia,238.5,39.75%,77/350,78.29%,Silver,,,,,,,,
2023,Kwong Weng Loh,Malaysia,143.0,23.83%,195/350,44.57%,Honourable Mention,,,,,,,,
2023,Isaac Kai Sheng Hew,Malaysia,61.0,10.17%,286/350,18.57%,,,,,,,,,
2023,Yong Li Neo,Malaysia,49.0,8.17%,299/350,14.86%,,,,,,,,,
2022,Isaac Kai Sheng Hew,Malaysia,257.06,42.84%,89/349,74.79%,Bronze,,,,,,,,
2022,Hua Zhi Vee,Malaysia,250.20,41.70%,95/349,73.07%,Bronze,,,,,,,,
2022,Shao Qian Chew,Malaysia,224.14,37.36%,114/349,67.62%,Bronze,,,,,,,,
2022,Hau Ye Heng,Malaysia,175.33,29.22%,146/349,58.45%,Bronze,,,,,,,,
2021,Hua Zhi Vee,Malaysia,248,41.33%,123/351,65.24%,Bronze,,,,,,,,
2021,Kwong Weng Loh,Malaysia,223,37.17%,145/351,58.97%,Bronze,,,,,,,,
2021,Shao Qian Chew,Malaysia,210,35.00%,158/351,55.27%,Bronze,,,,,,,,
2021,Je Qin Chooi,Malaysia,197,32.83%,186/351,47.29%,,,,,,,,,
2020,Zi Song Yeoh,Malaysia,412.00,68.67%,50/343,85.71%,Silver,,,,,,,,
2020,Kenneth Yong,Malaysia,186.93,31.16%,217/343,37.03%,,,,,,,,,
2020,Amos Li Sheng Tan,Malaysia,137.00,22.83%,251/343,27.11%,,,,,,,,,
2020,Hau Ye Heng,Malaysia,96.00,16.00%,283/343,17.78%,,,,,,,,,
2019,Jia Jun Lee,Malaysia,285.89,47.65%,125/327,62.08%,Bronze,,,,,,,,
2019,Kel Zin Tan,Malaysia,224.00,37.33%,193/327,41.28%,,,,,,,,,
2019,Ming Yean Lim,Malaysia,211.59,35.27%,205/327,37.61%,,,,,,,,,
2019,Li Xuan Tan,Malaysia,96.00,16.00%,289/327,11.93%,,,,,,,,,
2018,Zi Song Yeoh,Malaysia,367,61.17%,14/335,96.12%,Gold,,,,,,,,
2018,Jia Jun Lee,Malaysia,106,17.67%,241/335,28.36%,,,,,,,,,
2018,Jia Qing Tan,Malaysia,97,16.17%,250/335,25.67%,,,,,,,,,
2018,Wei Xin Tan,Malaysia,92,15.33%,252/335,25.07%,,,,,,,,,
2017,Zi Song Yeoh,Malaysia,237.67,39.61%,83/304,73.03%,Bronze,,,,,,,,
2017,Jia Qing Tan,Malaysia,118.95,19.82%,175/304,42.76%,,,,,,,,,
2017,Jen Khai Yew,Malaysia,114.50,19.08%,178/304,41.78%,,,,,,,,,
2017,Zhi Wei Gan,Malaysia,43.03,7.17%,273/304,10.53%,,,,,,,,,
2016,Zi Song Yeoh,Malaysia,291,48.50%,107/308,65.58%,Bronze,,,,,,,,
2016,Jia Jen Ng,Malaysia,101,16.83%,250/308,19.16%,,,,,,,,,
2016,Uday Kantilal Patel,Malaysia,100,16.67%,252/308,18.51%,,,,,,,,,
2015,Justin Lim Kai Ze,Malaysia,248.45,41.41%,126/322,61.18%,Bronze,,,,,,,,
2015,Jia Jen Ng,Malaysia,135.45,22.57%,201/322,37.89%,,,,,,,,,
2015,Jen Khai Yew,Malaysia,111.46,18.58%,224/322,30.75%,,,,,,,,,
2015,Kai Hsien Boo,Malaysia,40.00,6.67%,296/322,8.39%,,,,,,,,,
2014,Si Wei How,Malaysia,312,52.00%,95/311,69.77%,Bronze,,,,,,,,
2014,Yun Kai Lim,Malaysia,254,42.33%,127/311,59.49%,Bronze,,,,,,,,
2014,Fu Yong Quah,Malaysia,171,28.50%,185/311,40.84%,,,,,,,,,
2014,Jia Jen Ng,Malaysia,140,23.33%,206/311,34.08%,,,,,,,,,
2013,Si Yu How,Malaysia,433,72.17%,45/299,85.28%,Silver,,,,,,,,
2013,Ying Hong Tham,Malaysia,359,59.83%,75/299,75.25%,Silver,,,,,,,,
2013,Si Wei How,Malaysia,210,35.00%,156/299,48.16%,,,,,,,,,
2013,Yun Kai Lim,Malaysia,140,23.33%,197/299,34.45%,,,,,,,,,
2012,Ying Hong Tham,Malaysia,123,20.50%,187/310,40.00%,,,,,,,,,
2012,Yi Hang Ho,Malaysia,115,19.17%,199/310,36.13%,,,,,,,,,
2012,Zun Yuan Lim,Malaysia,62,10.33%,250/310,19.68%,,,,,,,,,
2012,Chin Lip Soh,Malaysia,12,2.00%,292/310,6.13%,,,,,,,,,
