Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Daniel Emeka-Ilozor,Nigeria,,183.15,30.52%,224/353,36.83%,Honourable Mention,,,,,,,
2024,Nzubechukwu Chendo,Nigeria,,0.00,0.00%,350/353,1.13%,,,,,,,,
2022,Moyinoluwa David Orimoloye,Nigeria,,40.00,6.67%,298/349,14.90%,,,,,,,,
2022,Daniel Emeka-Ilozor,Nigeria,,33.50,5.58%,310/349,11.46%,,,,,,,,
2022,Joseph Achimugu,Nigeria,,31.75,5.29%,312/349,10.89%,,,,,,,,
2022,Ayomipe Treasure Moyinlorun,Nigeria,,0.00,0.00%,346/349,1.15%,,,,,,,,
2021,Daniel Emeka-Ilozor,Nigeria,,84,14.00%,330/351,6.27%,,,,,,,,
2021,Moyinoluwa David Orimoloye,Nigeria,,77,12.83%,334/351,5.13%,,,,,,,,
2021,Joseph Achimugu,Nigeria,,75,12.50%,335/351,4.84%,,,,,,,,
2021,Benedict Ukwenya,Nigeria,,14,2.33%,351/351,0.28%,,,,,,,,
2020,Daniel Emeka-Ilozor,Nigeria,,42.00,7.00%,315/343,8.45%,,,,,,,,
2020,Adegoke Salako,Nigeria,,11.00,1.83%,336/343,2.33%,,,,,,,,
2020,Godson Ajodo,Nigeria,,0.00,0.00%,341/343,0.87%,,,,,,,,
2019,Chibuoyim Faith Wilson Ogbonna,Nigeria,,112.81,18.80%,286/327,12.84%,,,,,,,,
2019,Ufedo Peter Sule Achimugu,Nigeria,,34.00,5.67%,316/327,3.67%,,,,,,,,
2018,Elyon Osariemwen Nosa-Aifesehi,Nigeria,,10,1.67%,320/335,4.78%,,,,,,,,
2018,Glory OluwaTimilehin Akinbile,Nigeria,,0,0.00%,331/335,1.49%,,,,,,,,
2018,Joel Chibueze Ndoh,Nigeria,,0,0.00%,331/335,1.49%,,,,,,,,
2017,Chibuoyim Faith Wilson Ogbonna,Nigeria,,33.00,5.50%,282/304,7.57%,,,,,,,,
2017,Daniel Olukare,Nigeria,,0.00,0.00%,300/304,1.64%,,,,,,,,
2016,Chibuoyim Faith Wilson Ogbonna,Nigeria,,26,4.33%,293/308,5.19%,,,,,,,,
2016,Bright Dumadi Lesi,Nigeria,,9,1.50%,304/308,1.62%,,,,,,,,
2016,Ufedo Peter Sule Achimugu,Nigeria,,0,0.00%,306/308,0.97%,,,,,,,,
2016,Tanitoluwa Olamiji Adebayo,Nigeria,,0,0.00%,306/308,0.97%,,,,,,,,
2015,Emmanuel Oriolowo Niyi,Nigeria,,0.00,0.00%,317/322,1.86%,,,,,,,,
2015,Chibuoyim Faith Wilson Ogbonna,Nigeria,,0.00,0.00%,317/322,1.86%,,,,,,,,
2015,Victoria Tamuno-Miebaka Okumgba,Nigeria,,0.00,0.00%,317/322,1.86%,,,,,,,,
2015,Fodunbosade Abisodun Ologunde,Nigeria,,0.00,0.00%,317/322,1.86%,,,,,,,,
2014,PrinceWill Chukwuemeka Okoroafor,Nigeria,,0,0.00%,308/311,1.29%,,,,,,,,
2014,Emmanuel Opeke Ameh,Nigeria,,0,0.00%,308/311,1.29%,,,,,,,,
2012,Nosa Aikodon,Nigeria,,34,5.67%,274/310,11.94%,,,,,,,,
2012,Aminu Folawiyo,Nigeria,,0,0.00%,300/310,3.55%,,,,,,,,
2012,Bindir Umar,Nigeria,,0,0.00%,300/310,3.55%,,,,,,,,
2012,Oluwatosin Joshua,Nigeria,,0,0.00%,300/310,3.55%,,,,,,,,
2011,Bindir Umar,Nigeria,,10,1.67%,281/303,7.59%,,,,,,,,
2011,Aghogho Premobowei Etibo,Nigeria,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Alexander Abu Benjamin,Nigeria,,0,0.00%,287/303,5.61%,,,,,,,,
2011,Salihi Abdullahi,Nigeria,,0,0.00%,287/303,5.61%,,,,,,,,
2010,Komioluwa Ajenifuja,Nigeria,168,20.49%,271/297,9.09%,,,,,,,,,
2010,Daisy Isibor,Nigeria,0,0.00%,290/297,2.69%,,,,,,,,,
2010,Premobowei Etibo,Nigeria,,,,,,,,,,,,,
2010,Micheal Bello,Nigeria,,,,,,,,,,,,,
2009,Emmanuel Godswill Johnny,Nigeria,,,,,,,,,,,,,
2009,Orobosa Osazuwa,Nigeria,,,,,,,,,,,,,
2009,Abdul-Malik Komioluwa Ajenifuja,Nigeria,,,,,,,,,,,,,
2009,Daniel Amoto Omeiza,Nigeria,,,,,,,,,,,,,
2008,Ogonna Okoye,Nigeria,,,,,,,,,,,,,
2008,Babatubde Bashiru,Nigeria,,,,,,,,,,,,,
2008,Ayotunde Lawanson,Nigeria,,,,,,,,,,,,,
2008,Aisha Bello,Nigeria,,,,,,,,,,,,,
1991,Joseph Adegbesan,Nigeria,,19,9.50%,61/68,11.76%,,,,,,,,
1991,Imo Etuk,Nigeria,,18,9.00%,62/68,10.29%,,,,,,,,
1991,Chinelo Ezeh,Nigeria,,15,7.50%,63/68,8.82%,,,,,,,,
