Year,Contestant,Country,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Score Abs.,Score Rel.,Rank Abs.,Rank Rel.,Award
,,,,,,,,,,,,,,,
2024,Chenyu Lin,Netherlands,,277.67,46.28%,108/353,69.69%,Bronze,,,,,,,
2024,Jelle van der Drift,Netherlands,,271.47,45.24%,118/353,66.86%,Bronze,,,,,,,
2024,Boas Bakker,Netherlands,,153.81,25.64%,257/353,27.48%,,,,,,,,
2024,Lucas Kuunders,Netherlands,,75.00,12.50%,321/353,9.35%,,,,,,,,
2023,Jeroen Krijgsman,Netherlands,,116.0,19.33%,224/350,36.29%,Honourable Mention,,,,,,,
2023,William Rijksen,Netherlands,,109.0,18.17%,238/350,32.29%,Honourable Mention,,,,,,,
2023,Emil Riedeman,Netherlands,,46.0,7.67%,303/350,13.71%,,,,,,,,
2023,Boas Bakker,Netherlands,,44.5,7.42%,307/350,12.57%,,,,,,,,
2022,Andy van Horssen,Netherlands,,309.13,51.52%,55/349,84.53%,Silver,,,,,,,
2022,Daan de Groot,Netherlands,,257.80,42.97%,88/349,75.07%,Silver,,,,,,,
2022,Olaf Herman,Netherlands,,50.00,8.33%,284/349,18.91%,,,,,,,,
2022,Jona Bedaux,Netherlands,,47.00,7.83%,287/349,18.05%,,,,,,,,
2021,Marco Meijer,Netherlands,,439,73.17%,13/351,96.58%,Gold,,,,,,,
2021,Andy van Horssen,Netherlands,,225,37.50%,140/351,60.40%,Bronze,,,,,,,
2021,Vu Khoi Pham,Netherlands,,141,23.50%,285/351,19.09%,,,,,,,,
2021,Daan de Groot,Netherlands,,87,14.50%,329/351,6.55%,,,,,,,,
2020,Marco Meijer,Netherlands,,403.75,67.29%,52/343,85.13%,Silver,,,,,,,
2020,Marijn Adriaanse,Netherlands,,212.43,35.41%,192/343,44.31%,,,,,,,,
2020,Thomas Bosch,Netherlands,,209.71,34.95%,195/343,43.44%,,,,,,,,
2020,Jeroen op de Beek,Netherlands,,197.14,32.86%,206/343,40.23%,,,,,,,,
2019,Marco Meijer,Netherlands,,301.53,50.26%,103/327,68.81%,Bronze,,,,,,,
2019,Gijs Pennings,Netherlands,,170.95,28.49%,240/327,26.91%,,,,,,,,
2019,Annejan van den Dool,Netherlands,,164.00,27.33%,247/327,24.77%,,,,,,,,
2019,Charlie van Diepen,Netherlands,,132.33,22.05%,269/327,18.04%,,,,,,,,
2018,Arend Mellendijk,Netherlands,,262,43.67%,93/335,72.54%,Bronze,,,,,,,
2018,Ernest Van Wijland,Netherlands,,216,36.00%,141/335,58.21%,Bronze,,,,,,,
2018,Reijer van Harten,Netherlands,,173,28.83%,179/335,46.87%,,,,,,,,
2018,Robert Koprinkov,Netherlands,,120,20.00%,229/335,31.94%,,,,,,,,
2017,Arend Mellendijk,Netherlands,,158.65,26.44%,136/304,55.59%,Bronze,,,,,,,
2017,Ernest Van Wijland,Netherlands,,76.30,12.72%,219/304,28.29%,,,,,,,,
2017,Reijer van Harten,Netherlands,,74.83,12.47%,222/304,27.30%,,,,,,,,
2017,Robert Koprinkov,Netherlands,,58.84,9.81%,243/304,20.39%,,,,,,,,
2016,Pim Spelier,Netherlands,,181,30.17%,200/308,35.39%,,,,,,,,
2016,Johannes Heuseveldt,Netherlands,,117,19.50%,235/308,24.03%,,,,,,,,
2016,Andor Cornelis Michels,Netherlands,,71,11.83%,274/308,11.36%,,,,,,,,
2016,Jelmer Sybren Firet,Netherlands,,35,5.83%,289/308,6.49%,,,,,,,,
2015,Ludo Pulles,Netherlands,,233.45,38.91%,140/322,56.83%,Bronze,,,,,,,
2015,Johannes Heuseveldt,Netherlands,,119.77,19.96%,212/322,34.47%,,,,,,,,
2015,Tom Jacob Smeding,Netherlands,,86.06,14.34%,252/322,22.05%,,,,,,,,
2015,Max Meijer,Netherlands,,37.00,6.17%,299/322,7.45%,,,,,,,,
2014,Jorn Rowan Hoofwijk,Netherlands,,223,37.17%,152/311,51.45%,Bronze,,,,,,,
2014,Jonathan Heek,Netherlands,,164,27.33%,192/311,38.59%,,,,,,,,
2014,Noah Goldsmid,Netherlands,,129,21.50%,212/311,32.15%,,,,,,,,
2014,Michiel Siebe Visser,Netherlands,,109,18.17%,219/311,29.90%,,,,,,,,
2013,Koen Wolters,Netherlands,,374,62.33%,74/299,75.59%,Silver,,,,,,,
2013,Jorn Rowan Hoofwijk,Netherlands,,240,40.00%,137/299,54.52%,Bronze,,,,,,,
2013,Bouke van der Bijl,Netherlands,,220,36.67%,147/299,51.17%,Bronze,,,,,,,
2013,Jorrit Dorrestijn,Netherlands,,156,26.00%,187/299,37.79%,,,,,,,,
2012,Bouke van der Bijl,Netherlands,,162,27.00%,148/310,52.58%,Bronze,,,,,,,
2012,Koen Wolters,Netherlands,,87,14.50%,220/310,29.35%,,,,,,,,
2012,Pieter Bos,Netherlands,,82,13.67%,230/310,26.13%,,,,,,,,
2012,Willem Melching,Netherlands,,51,8.50%,260/310,16.45%,,,,,,,,
2011,Bas Nieuwenhuizen,Netherlands,,401,66.83%,59/303,80.86%,Silver,,,,,,,
2011,Kees Ligtenberg,Netherlands,,310,51.67%,126/303,58.75%,Bronze,,,,,,,
2011,Patrick Kostjens,Netherlands,,164,27.33%,225/303,26.07%,,,,,,,,
2011,Jorrit Dorrestijn,Netherlands,,86,14.33%,249/303,18.15%,,,,,,,,
2010,Bas Nieuwenhuizen,Netherlands,655,79.88%,52/297,82.83%,Silver,,,,,,,,
2010,David Venhoek,Netherlands,586,71.46%,108/297,63.97%,Bronze,,,,,,,,
2010,Matthijs Tijink,Netherlands,546,66.59%,142/297,52.53%,Bronze,,,,,,,,
2010,Laurent van den Bos,Netherlands,434,52.93%,198/297,33.67%,,,,,,,,,
2009,Jelle van den Hooff,Netherlands,651,81.38%,11/301,96.68%,Gold,,,,,,,,
2009,David Venhoek,Netherlands,401,50.12%,142/301,53.16%,Bronze,,,,,,,,
2009,Raymond van Bommel,Netherlands,400,50.00%,144/301,52.49%,Bronze,,,,,,,,
2009,Matthijs Tijink,Netherlands,,,,,,,,,,,,,
2008,Jelle van den Hooff,Netherlands,,264,44.00%,48/283,83.39%,Silver,,,,,,,
2008,Erik Massop,Netherlands,,255,42.50%,53/283,81.63%,Silver,,,,,,,
2008,Doeke Wolf,Netherlands,,220,36.67%,76/283,73.50%,Bronze,,,,,,,
2008,David Venhoek,Netherlands,,147,24.50%,127/283,55.48%,Bronze,,,,,,,
2007,Thijs Marinussen,Netherlands,,218,36.33%,120/285,58.25%,Bronze,,,,,,,
2007,Erik Massop,Netherlands,,,,,,,,,,,,,
